編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWPMLLKNHHGFAH48CC,28,117.41,住家用,鋼筋混凝土造,83年2月8日,五層,,
RPVQMLLKNHHGFAH48CC,14,114.88,店舖、辦公室,鋼筋混凝土造,97年4月2日,十五層,,
RPRTMLLKNHHGFAH38CC,42,39.08,套房．辦公室,鋼筋混凝土造,69年10月7日,十二層,,
RPRTMLLKNHHGFAH38CC,42,12.14,共同使用部份,鋼筋混凝土造,69年10月7日,十二層,,
RPWPMLLKNHHGFAH48CC,28,4.43,共同使用部份,鋼筋混凝土造,83年2月8日,五層,,
RPPVMLLKNHHGFAH38CC,28,101.60,住家用,鋼筋混凝土造,83年5月6日,七層,,
RPPVMLLKNHHGFAH38CC,28,32.67,共同使用部份,鋼筋混凝土造,83年5月6日,七層,,
RPUUMLLKNHHGFAH78CC,23,86.08,住家用,鋼筋混凝土造,88年7月1日,九層,,
RPUUMLLKNHHGFAH78CC,23,14.76,共同使用部份,鋼筋混凝土造,88年7月1日,九層,,
RPUUMLLKNHHGFAH78CC,23,16.08,共同使用部份,鋼筋混凝土造,88年7月1日,九層,,
RPQVMLLKNHHGFAH48CC,4,143.33,店舖、店舖（附屬儲藏室）,鋼筋混凝土造,107年5月7日,二十四層,,
RPQVMLLKNHHGFAH48CC,4,18.12,共同使用部份,鋼筋混凝土造,107年5月7日,二十四層,,
RPQVMLLKNHHGFAH48CC,4,92.30,共同使用部份,鋼筋混凝土造,107年5月7日,二十四層,,
RPXTMLLKNHHGFAH98CC,10,133.52,辦公室（附屬機電空間）,鋼筋混凝土造,100年11月15日,五層,,
RPXTMLLKNHHGFAH98CC,10,35.74,本共有部分之項目有（附屬電梯、樓梯間及水箱）等３項。,鋼筋混凝土造,100年11月15日,五層,,
RPXUMLLKNHHGFAH09CC,12,123.48,商業用,鋼筋混凝土造,99年9月17日,七層,,
RPXUMLLKNHHGFAH09CC,12,6.99,本共有部分之項目有：防空避難室兼停車空間等二項。,鋼筋混凝土造,99年9月17日,七層,,
RPXUMLLKNHHGFAH09CC,12,28.87,本共有部分之項目有：樓梯間等一項。,鋼筋混凝土造,99年9月17日,七層,,
RPVVMLLKNHHGFAH98CC,1,64.05,店舖,鋼筋混凝土造,110年6月1日,十五層,,
RPVVMLLKNHHGFAH98CC,1,57.85,本共有部分之項目有：管委會使用空間、公共服務空間、梯間、消防水箱、電梯機房、水箱、台電配電場所、防空避難室兼停車空間、停車空間等９項。,鋼筋混凝土造,110年6月1日,十五層,,
RPSTMLLKNHHGFAH48CC,11,67.21,住家用,鋼筋混凝土造,100年5月9日,十四層,,
RPSTMLLKNHHGFAH48CC,11,29.15,本共有部分之項目有附屬（停車空間、水箱、消防泵浦室、發電機房、梯間、防空避難室兼停車空間、台電受電室、電信室、開放空間、管理室、穿廊、機房）等１２項。,鋼筋混凝土造,100年5月9日,十四層,,
RPRWMLLKNHHGFAH68CC,27,63.34,住家用,鋼筋混凝土造,84年4月19日,十九層,,
RPRWMLLKNHHGFAH68CC,27,11.13,共同使用部份,鋼筋混凝土造,84年4月19日,二十層,,
RPRWMLLKNHHGFAH68CC,27,2.24,共同使用部份,鋼筋混凝土造,84年4月19日,十九層,,
RPUQMLLKNHHGFBH48CC,1,46.23,集合住宅,鋼筋混凝土造,110年10月12日,十一層,,
RPUQMLLKNHHGFBH48CC,1,21.25,本共有部份之項目有：停車空間、汙水機房、消防幫浦室、水箱、緊急發電機室、電信室、台電配電場所、停車空間兼防空避難室、管委會使用空間、樓梯間、機械室、梯廳、車道及垃圾儲藏室等十四項。,鋼筋混凝土造,110年10月12日,十一層,,
RPSQMLLKNHHGFBH28CC,27,24.71,住家用,鋼筋混凝土造,83年12月9日,十層,,
RPSQMLLKNHHGFBH28CC,27,6.78,共同使用部份,鋼筋混凝土造,83年12月9日,十層,,
RPSQMLLKNHHGFBH28CC,27,1.90,共同使用部份,鋼筋混凝土造,83年12月9日,十層,,
RPUTMLLKNHHGFBH78CC,9,107.12,集合住宅,鋼筋混凝土造,102年3月6日,十五層,,
RPUTMLLKNHHGFBH78CC,9,25.22,本建物主要用途為：樓梯間、電梯間、水箱、機械室。,鋼筋混凝土造,102年3月6日,十五層,,
RPUTMLLKNHHGFBH78CC,9,56.66,本建物主要用途為：防空避難室兼停車空間、停車空間、管委會使用空間、台電配電場所、垃圾集中處、電信機房、發電機房、汙水機房、消防機房等９項。,鋼筋混凝土造,102年3月6日,十五層,,
RPWNMLLKNHHGFDH58CC,26,60.15,住家用,鋼筋混凝土造,84年11月7日,十二層,,
RPWNMLLKNHHGFDH58CC,26,11.19,停車場兼防空避難室,鋼筋混凝土造,84年11月7日,十二層,,
RPWNMLLKNHHGFDH58CC,26,8.24,電梯、樓梯、屋頂突出物、機房、水箱、門廳,鋼筋混凝土造,84年11月7日,十二層,,
RPPTMLLKNHHGFBH28CC,24,78.93,住家用,鋼筋混凝土造,87年5月14日,八層,,
RPPTMLLKNHHGFBH28CC,24,34.51,共同使用部份,鋼筋混凝土造,87年5月14日,八層,,
RPTTMLLKNHHGFBH68CC,28,89.60,住家用,鋼筋混凝土造,83年8月18日,十四層,,
RPTTMLLKNHHGFBH68CC,28,7.21,共同使用部份,鋼筋混凝土造,83年8月18日,十四層,,
RPUOMLLKNHHGFDH48CC,27,94.67,住家用,鋼筋混凝土造,84年3月24日,十層,,
RPTTMLLKNHHGFBH68CC,28,7.13,共同使用部份,鋼筋混凝土造,83年8月18日,十四層,,
RPUOMLLKNHHGFDH48CC,27,35.45,共同使用部份,鋼筋混凝土造,84年3月24日,十層,,
RPTTMLLKNHHGFBH68CC,28,18.69,共同使用部份,鋼筋混凝土造,83年8月18日,十四層,,
RPUOMLLKNHHGFDH48CC,27,10.87,共同使用部份,鋼筋混凝土造,84年3月24日,十層,,
