編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLRKNHHGFAI28CB,坡道平面,1200000,33.05,地下二樓
RPUNMLPLNHHGFAI58CB,坡道平面,1150000,27.96,地下三樓
RPPNMLKMNHHGFAI67CB,坡道平面,1300000,27.27,地下一樓
RPRNMLKMNHHGFAI87CB,一樓平面,1200000,13.75,一樓
RPPNMLQJOHHGFAI08CB,坡道平面,1250000,26.70,地下二樓
RPQNMLQJOHHGFAI18CB,坡道平面,1250000,26.70,地下二樓
RPTNMLRJOHHGFAI58CB,坡道平面,1300000,23.64,地下二樓
RPPNMLPKOHHGFAI08CB,坡道機械,450000,6.87,地下一樓
RPRNMLPKOHHGFAI28CB,坡道平面,1300000,33.05,地下一樓
RPRNMLPKOHHGFAI28CB,坡道平面,1300000,33.05,地下一樓
RPSNMLPKOHHGFAI38CB,坡道平面,1200000,33.05,地下二樓
RPRNMLNKOHHGFAI08CB,坡道平面,1100000,32.00,地下二樓
RPQNMLOKOHHGFAI08CB,坡道平面,1200000,13.75,地下一樓
RPQNMLKMOHHGFAI87CB,坡道平面,1300000,26.70,地下二樓
RPPNMLTLOHHGFAI58CB,坡道平面,1250000,32.00,地下一樓
RPQNMLSJPHHGFAI48CB,坡道平面,1300000,26.70,地下二樓
RPQNMLKKPHHGFAI77CB,坡道平面,1600000,13.75,一樓
RPRNMLKKPHHGFAI87CB,坡道平面,1600000,13.75,一樓
RPSNMLKKPHHGFAI97CB,坡道平面,1400000,14.25,地下二樓
RPPNMLLKPHHGFAI77CB,坡道機械,500000,22.00,地下二樓
RPQNMLLKPHHGFAI87CB,坡道平面,1400000,13.75,地下二樓
RPRNMLLKPHHGFAI97CB,坡道平面,1400000,13.75,地下二樓
RPQNMLPKPHHGFAI28CB,坡道機械,550000,6.87,地下一樓
RPVNMLKKPHHGFAI28CB,坡道平面,1400000,13.75,地下二樓
RPQNMLNKPHHGFAI08CB,坡道平面,1200000,28.43,地下二樓
RPQNMLKLPHHGFAI87CB,坡道平面,1300000,26.70,地下二樓
RPTNMLQLPHHGFAI78CB,坡道平面,1200000,33.05,地下二樓
RPUNMLQLPHHGFAI88CB,坡道平面,1400000,21.82,地下一樓
RPRNMLQLPHHGFAI58CB,坡道平面,1220000,17.85,地下一樓
RPQNMLRLPHHGFAI58CB,坡道平面,1220000,17.85,地下一樓
RPPNMLSLPHHGFAI58CB,坡道機械,880000,13.22,地下一樓
RPQNMLSLPHHGFAI68CB,坡道平面,1220000,17.85,地下一樓
RPSNMLSLPHHGFAI88CB,坡道平面,1250000,26.70,地下二樓
RPTNMLTLPHHGFAI09CB,坡道機械,750000,15.04,地下二樓
RPSNMLTLPHHGFAI98CB,坡道平面,1220000,17.85,地下一樓
RPTNMLLJQHHGFAI18CB,坡道平面,1400000,13.75,地下二樓
RPUNMLLJQHHGFAI28CB,坡道平面,1500000,13.75,地下一樓
RPSNMLLJQHHGFAI08CB,坡道平面,1400000,14.25,地下二樓
RPVNMLLJQHHGFAI38CB,坡道平面,1500000,13.75,地下一樓
RPWNMLLJQHHGFAI48CB,坡道平面,1220000,17.85,地下一樓
RPQNMLNJQHHGFAI08CB,坡道平面,1220000,17.85,地下一樓
RPUOMLSJQHHGFAI09CB,坡道平面,1500000,33.20,地下一樓
RPSOMLSJQHHGFAI88CB,坡道平面,1300000,33.20,地下三樓
RPSOMLSJQHHGFAI88CB,坡道平面,1300000,33.20,地下三樓
RPTOMLSJQHHGFAI98CB,坡道平面,1500000,33.20,地下一樓
RPTOMLSJQHHGFAI98CB,坡道平面,1500000,33.20,地下一樓
RPVOMLSJQHHGFAI56CB,坡道平面,1500000,33.20,地下一樓
RPVOMLSJQHHGFAI56CB,坡道平面,1500000,33.20,地下一樓
RPWOMLSJQHHGFAI66CB,坡道平面,3000000,66.40,地下一樓
RPPNMLKKQHHGFAI77CB,坡道平面,1400000,33.20,地下二樓
RPPNMLKKQHHGFAI77CB,坡道平面,1400000,33.20,地下二樓
RPQNMLKKQHHGFAI87CB,坡道平面,1150000,27.96,地下三樓
RPPNMLLKQHHGFAI87CB,坡道機械,700000,12.70,地下一樓
RPQNMLLKQHHGFAI97CB,坡道機械,700000,12.70,地下一樓
RPSNMLPKQHHGFAI58CB,坡道機械,880000,13.22,地下一樓
RPPNMLSKQHHGFAI58CB,坡道平面,1400000,21.82,地下一樓
RPSNMLSKQHHGFAI88CB,坡道機械,880000,13.22,地下一樓
RPPNMLMLQHHGFAI08CB,坡道平面,1150000,32.00,地下二樓
RPUNMLMLQHHGFAI58CB,坡道平面,1500000,13.75,地下一樓
RPUNMLMLQHHGFAI58CB,坡道平面,1500000,13.75,地下一樓
RPSNMLMLQHHGFAI38CB,坡道平面,1400000,13.75,地下二樓
RPWNMLMLQHHGFAI78CB,坡道平面,1400000,14.25,地下二樓
RPXNMLKMQHHGFAI78CB,坡道機械,880000,13.22,地下一樓
RPXNMLKMQHHGFAI78CB,坡道機械,750000,13.22,地下一樓
