編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLRKQHHGFCJ88EA,20,405.84,住家用,鋼筋混凝土造,91年3月22日,三層,一層 二層 三層 陽台 雨遮 地下一層,全筆移轉
RPPNMLTKQHHGFCJ09EA,,53.99,工業用,加強磚造,,一層,一層,全筆移轉
RPTNMLMLQHHGFBJ78EA,,129.48,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPWNMLTKQHHGFCJ07DA,,107.00,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPQNMLMLQHHGFBJ38DA,17,23.30,商業用,鋼筋混凝土造,94年2月15日,七層,二層 陽台,全筆移轉
RPQNMLMLQHHGFBJ38DA,17,12.37,共有部分,鋼筋混凝土造,94年2月15日,八層,,持分移轉
RPPNMLRJQHHGFCJ68DA,28,182.72,住家用,鋼筋混凝土造,83年6月29日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPPNMLRJQHHGFCJ68DA,28,4.66,活動中心,鋼筋混凝土造,83年6月29日,三層,一層 二層 三層 地下層 見其他登記事項,持分移轉
RPPNMLRJQHHGFCJ68DA,28,.32,守衛室,鋼筋混凝土造,83年6月29日,二層,一層 二層,持分移轉
RPPNMLPLQHHGFDJ88EA,,161.98,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPXNMLMLQHHGFDJ66DA,14,60.76,集合住宅,鋼筋混凝土造,97年12月26日,七層,二層 陽台 雨遮,全筆移轉
RPXNMLMLQHHGFDJ66DA,14,10.53,樓梯間．水箱．機房,鋼筋混凝土造,97年12月26日,七層,,持分移轉
RPXNMLMLQHHGFDJ66DA,14,10.61,停車空間,鋼筋混凝土造,97年12月26日,七層,,持分移轉
RPVNMLTKQHHGFDJ07DA,17,171.69,停車空間．住宅,鋼筋混凝土造,94年6月20日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLQLQHHGFDJ96EA,24,241.49,住家用,鋼筋混凝土造,87年4月20日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPWNMLQLQHHGFDJ07EA,29,201.36,住家用,鋼筋混凝土造,83年1月6日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPXNMLQLQHHGFDJ17EA,29,201.36,住家用,鋼筋混凝土造,83年1月6日,四層,一層 二層 三層 四層 陽台 平台,全筆移轉
RPPOMLSJQHHGFCJ88DA,25,164.79,住家用,鋼筋混凝土造,86年11月14日,三層,一層 二層 三層,全筆移轉
RPOUMLOLQHHGFBJ09DA,10,90.76,住家用,鋼筋混凝土造,101年5月31日,十三層,十一層 陽台 雨遮,全筆移轉
RPOUMLOLQHHGFBJ09DA,10,84.94,本共有部分之項目有防空避難室，停車空間，廣場式開放空間，垃圾儲藏空間，沿街式開放空間等五項。,鋼筋混凝土造,101年5月31日,十四層,,持分移轉
RPOUMLOLQHHGFBJ09DA,10,18.72,本共有部分之項目有樓梯間、水箱、機械室等三項。,鋼筋混凝土造,101年5月31日,十三層,,持分移轉
RPRNMLRKQHHGFCJ98DA,30,80.48,住家用,鋼筋混凝土造,81年11月24日,六層,四層 陽台,全筆移轉
RPRNMLRKQHHGFCJ98DA,30,20.19,共有部分,鋼筋混凝土造,81年11月24日,六層,,持分移轉
RPPNMLMKQHHGFCJ28DA,,107.52,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPSNMLLKQHHGFDJ58DA,,88.28,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPSOMLRKQHHGFDJ66DA,25,79.17,住家用,鋼筋混凝土造,86年12月11日,五層,五層 陽台,全筆移轉
RPSOMLRKQHHGFDJ66DA,25,14.41,梯間,鋼筋混凝土造,86年12月11日,五層,,持分移轉
RPSOMLRKQHHGFDJ66DA,25,.15,住家用,鋼筋混凝土造,86年12月11日,五層,,持分移轉
RPSOMLRKQHHGFDJ66DA,25,16.18,停車空間,鋼筋混凝土造,86年12月11日,五層,,持分移轉
RPPPMLTLQHHGFCJ76EA,26,85.44,住家用,鋼筋混凝土造,85年11月18日,七層,一層 平台,全筆移轉
RPPPMLTLQHHGFCJ76EA,26,13.24,共有部分,鋼筋混凝土造,85年11月18日,七層,,持分移轉
RPUOMLLJRHHGFBJ78EA,25,16.63,商業用,鋼筋混凝土造,86年10月9日,七層,三層 陽台,全筆移轉
RPUOMLLJRHHGFBJ78EA,25,6.39,共有部分,鋼筋混凝土造,86年10月9日,七層,,持分移轉
