編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPJRHHGFGN07DA,儒明段,77.26,都市：其他:住宅區,1,1,全筆移轉,08580000
RPVNMLLJQHHGFAN88DA,延和段,26.27,都市：其他:住宅區,20000,514,持分移轉,03730000
RPPNMLSJQHHGFCN56DA,東昇段,85.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15480000
RPRNMLLKQHHGFFN09DA,大安段,86.67,都市：其他:工業區,12,2,持分移轉,02570003
RPQNMLTJQHHGFCN76DA,郭厝段,23.19,都市：其他:住宅區,10000,101,持分移轉,01640000
RPUNMLLKQHHGFCN56EA,三元段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,1,持分移轉,00420000
RPUNMLLKQHHGFCN56EA,三元段,79.33,非都市：特定農業區 ; 非都市編定：甲種建築用地,6,1,持分移轉,00430000
RPPNMLLKQHHGFFN88DA,中圳段,1929.51,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09000000
RPPNMLMKQHHGFGN09DA,芳埤段,950.28,非都市：一般農業區 ; 非都市編定：農牧用地,108,6,持分移轉,05340000
RPPNMLMKQHHGFGN09DA,芳埤段,348.99,非都市：一般農業區 ; 非都市編定：農牧用地,108,6,持分移轉,08060000
RPQNMLMKQHHGFDN88DA,大明段,622.52,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04390001
RPXNMLRKQHHGFAN17DA,彰化段西門小段,224.50,都市：其他:道路用地,4,1,持分移轉,03840009
RPQNMLPKQHHGFGN86DA,楓港段,1494.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16780000
RPQNMLPKQHHGFGN86DA,楓港段,1594.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16790000
RPWNMLSKQHHGFAN17DA,南郭段南郭小段,92.00,都市：其他:住宅區,1,1,全筆移轉,05750059
RPVNMLPKQHHGFAN76DA,莿桐段,105.00,都市：其他:乙種工業區,1,1,全筆移轉,14030006
RPQNMLQKQHHGFFN86DA,福新段,34.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,864,8,持分移轉,06340000
RPQNMLSKQHHGFFN07DA,下水埔段,1495.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01850002
RPQNMLSKQHHGFFN07DA,下水埔段,679.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01870000
RPPNMLRKQHHGFBN09DA,重振段,878.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06540000
RPPNMLRKQHHGFBN09DA,重振段,877.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06550000
RPPNMLTKQHHGFDN86DA,永南段,88.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10770028
RPPNMLRJQHHGFGN86DA,芳林段,104.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05300000
RPROMLPJQHHGFGN96DA,芳街段,502.48,非都市：一般農業區 ; 非都市編定：農牧用地,80000,2112,持分移轉,07710000
RPROMLPJQHHGFGN96DA,芳街段,616.39,非都市：一般農業區 ; 非都市編定：農牧用地,80000,2112,持分移轉,08320000
