鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,朝山段164地號,8.59,,,,1110901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,11641,,0.0,0,包含公共設施保留地用地；,RPVPMLLJRHHGFAO66DA,0.0,0.0,0.0,無,
新竹市,土地,福林段157-3地號,13.0,都市：其他:道路用地,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,512000,39385,,0.0,0,包含公共設施保留地用地；,RPSRMLMLPHHGFAO66DA,0.0,0.0,0.0,無,
新竹市,土地,竹蓮段2602地號,24.75,都市：其他:道路用地,,,1110801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,492000,19879,,0.0,0,包含公共設施保留地用地；,RPVRMLLJQHHGFAO76DA,0.0,0.0,0.0,無,0001
新竹市,房地(土地+建物),新竹市新竹市至善街３５巷２８號,16.23,,山坡地保育區,丙種建築用地,1110801,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860707,33.88,1,1,1,有,有,850000,25089,,0.0,0,,RPOOMLSJQHHGFAO09DA,23.68,0.0,3.6,無,0002
新竹市,房地(土地+建物),新竹市新竹市明湖路７１９號二樓,13.0,都市：其他:甲之三種風景區,,,1110803,土地1建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940220,45.95,1,1,1,有,有,2880000,62677,,0.0,0,,RPXOMLSJQHHGFAO37DA,29.8,0.0,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市高峰路２９號,18.45,住,,,1110801,土地1建物1車位0,全,二層,透天厝,,加強磚造,0630710,18.16,5,1,2,有,無,2183333,120228,,0.0,0,含土地增值稅或其他稅費；含仲介費；含地政士服務費；頂樓加蓋；未登記建物；,RPSOMLSJQHHGFAO86DA,18.16,0.0,0.0,無,0003
新竹市,土地,鹽水段280地號,4.64,工,,,1110803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70160,15121,,0.0,0,,RPPNMLKKQHHGFAO48EA,0.0,0.0,0.0,無,0004
新竹市,土地,港北段840地號,5.74,農,,,1110802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,138800,24181,,0.0,0,未登記建物；,RPTOMLKKQHHGFAO88DA,0.0,0.0,0.0,無,0005
新竹市,土地,千甲段696地號,102.98,,,,1110805,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9034172,87727,,0.0,0,,RPQOMLSJQHHGFAO66DA,0.0,0.0,0.0,無,0006
新竹市,土地,中雅段80地號,2.38,住,,,1110810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,276000,115966,,0.0,0,未登記建物；,RPRPMLLKQHHGFAO88DA,0.0,0.0,0.0,無,
新竹市,土地,中雅段80-3地號,0.14,都市：其他:道路用地,,,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1401,0,,0.0,0,未登記建物；,SPRPMLLKQHHGFAO98DA,0.0,0.0,0.0,無,
新竹市,土地,西濱段579地號,40.53,都市：其他:道路用地,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,590000,14557,,0.0,0,包含公共設施保留地用地；,RPSPMLLKQHHGFAO98DA,0.0,0.0,0.0,無,
新竹市,土地,南港段791地號,4132.93,,一般農業區,農牧用地,1110809,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57000000,13792,,0.0,0,,RPOQMLMKQHHGFAO78DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市東大路四段２７７巷１７弄２號２樓,67.36,住,,,1110803,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720421,86.5,4,2,1,有,無,3750000,43353,,0.0,0,,RPURMLKKQHHGFAO66DA,86.5,0.0,0.0,無,0007
新竹市,房地(土地+建物)+車位,新竹市新竹市草漯街２０１巷１２號四樓,64.2,,一般農業區,丙種建築用地,1110801,土地2建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100412,123.93,3,2,2,有,有,7820000,68315,坡道平面,24.83,1050000,陽台外推；,RPUNMLQKQHHGFAO86DA,66.73,0.0,7.13,有,
新竹市,土地,復中段318-3地號,10.0,住,,,1110805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1949300,194930,,0.0,0,,RPROMLLKQHHGFAO78DA,0.0,0.0,0.0,無,
新竹市,土地,東山段一小段317地號,4.0,住,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,37500,,0.0,0,未登記建物；未登記建物；包含公共設施保留地用地；,RPTNMLRKQHHGFAO96EA,0.0,0.0,0.0,無,
新竹市,土地,聚吉段4-1地號,25.33,都市：其他:道路用地,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2324927,91786,,0.0,0,包含公共設施保留地用地；,RPTPMLRKQHHGFAO17EA,0.0,0.0,0.0,無,0008
新竹市,土地,東光段420-1地號,115.0,都市：其他:道路用地,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6440000,56000,,0.0,0,包含公共設施保留地用地；,SPTPMLRKQHHGFAO27EA,0.0,0.0,0.0,無,
新竹市,土地,東橋段534地號,55.03,,,,1110810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1359214,24700,,0.0,0,包含公共設施保留地用地；,RPUQMLPKQHHGFAO07DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市建中路２７號,5.76,,,,1110809,土地1建物1車位0,全,一層,透天厝,商業用,鋼筋混凝土造,0701219,24.3,0,0,0,無,無,1345000,55350,,0.0,0,,RPWNMLPKQHHGFAO96DA,24.3,0.0,0.0,無,0009
新竹市,土地,中雅段222-28地號,15.0,住,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1664700,110980,,0.0,0,政府機關標讓售；,RPSPMLRKQHHGFAO07EA,0.0,0.0,0.0,無,
新竹市,土地,南門段一小段98-1地號,14.0,商,,,1110808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,71429,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；受民情風俗因素影響；畸零地或有合併使用效益；包含公共設施保留地用地；,RPPNMLSKQHHGFAO66EA,0.0,0.0,0.0,無,0010
新竹市,土地,光華段310地號,21.9,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2071630,94595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPORMLTJQHHGFAO86DA,0.0,0.0,0.0,無,0011
新竹市,土地,光華段310地號,21.9,住,,,1110809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2071630,94595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLTJQHHGFAO27DA,0.0,0.0,0.0,無,0011
新竹市,房地(土地+建物),新竹市新竹市經國路一段７２６號四樓之７,4.73,住,,,1110809,土地3建物1車位0,四層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0950701,43.6,1,1,1,有,有,3970000,91055,,0.0,0,含租約；,RPXNMLRKQHHGFAO27DA,23.76,0.0,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市香北路１７８號２樓,20.77,住,,,1110801,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861210,127.86000000000001,3,2,2,有,有,9750000,76255,坡道平面,0.0,0,,RPOOMLTKQHHGFAO66DA,78.6,0.0,10.13,有,
新竹市,房地(土地+建物),新竹市新竹市中正路４１８巷２７弄９號５樓之５,9.4,住,,,1110806,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790913,35.17,1,0,1,有,有,2000000,56867,,0.0,0,,RPUOMLTKQHHGFAO27DA,23.42,0.0,3.19,有,0013
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路２７１巷６４弄７號七樓,24.89,住,,,1110810,土地1建物1車位1,七層，八層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0990308,172.32999999999998,3,2,2,有,有,16150000,93716,坡道平面,0.0,0,陽台外推；夾層；,RPXOMLTKQHHGFAO57DA,72.81,11.84,10.88,有,0014
新竹市,房地(土地+建物),新竹市新竹市至善街３１巷２８號二樓,14.7,,山坡地保育區,丙種建築用地,1110811,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870318,31.47,1,0,1,有,有,900000,28599,,0.0,0,,RPOQMLRKQHHGFAO66DA,22.32,0.0,2.7,無,0015
新竹市,土地,光鎮段128地號,6.47,都市：其他:道路用地,,,1110804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,145575,22500,,0.0,0,包含公共設施保留地用地；,RPPQMLRKQHHGFAO76DA,0.0,0.0,0.0,無,
新竹市,土地,光鎮段128地號,13.14,都市：其他:道路用地,,,1110804,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,294909,22444,,0.0,0,包含公共設施保留地用地；,SPPQMLRKQHHGFAO86DA,0.0,0.0,0.0,無,0016
新竹市,土地,光鎮段733-1地號,15.94,都市：其他:道路用地,,,1110804,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,357908,22453,,0.0,0,包含公共設施保留地用地；,TPPQMLRKQHHGFAO96DA,0.0,0.0,0.0,無,0016
新竹市,土地,千甲段696地號,204.59,,,,1110810,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18560000,90718,,0.0,0,包含公共設施保留地用地；,RPVPMLKKQHHGFAO56DA,0.0,0.0,0.0,無,0006
新竹市,土地,成德段182-1地號,9.12,,,,1110811,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,21930,,0.0,0,包含公共設施保留地用地；,RPTOMLLKQHHGFAO98DA,0.0,0.0,0.0,無,0019
新竹市,土地,福林段264-25地號,222.0,都市：其他:道路用地,,,1110816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9409500,42385,,0.0,0,包含公共設施保留地用地；,RPWNMLSKQHHGFAO27DA,0.0,0.0,0.0,無,
