鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市園後街８９巷３弄２８號,0.0,住,,,1110501,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731119,123.86,3,2,1,有,有,有,20000,161,,0.0,0,租金含管理費。,RPSOMLLKNHHGFAO68CC
新竹市,建物,新竹市新竹市經國路二段１１１號１１樓之３,0.0,住,,,1110509,土地0建物1車位0,十一層,12,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0860715,35.25,1,0,1,有,有,有,7000,199,,0.0,0,水電費由承租人負擔。,RPSQMLLKNHHGFAO88CC
新竹市,建物,新竹市新竹市柴橋路５９巷７０號１０樓,0.0,,山坡地保育區,丙種建築用地,1110509,土地0建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,188.04,4,2,1,有,有,有,20000,106,,0.0,0,水電瓦斯費及每月管理費1200元由承租人負擔。,RPUQMLLKNHHGFAO09CC
新竹市,建物,新竹市新竹市中華路二段２０９號２樓,0.0,商,,,1110416,土地0建物1車位1,二層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1020615,176.07999999999998,2,2,2,有,有,有,35490,202,坡道平面,0.0,0,,RPUPMLMKNHHGFAO09CC
新竹市,建物,新竹市新竹市中華路三段１２６號６樓之７,0.0,住,,,1110422,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821210,109.80000000000001,3,2,2,有,有,無,22000,200,,0.0,0,,RPTOMLNKNHHGFAO98CC
新竹市,建物,新竹市新竹市埔頂二路１２３號十三樓之１３,0.0,住,,,1110430,土地0建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001130,230.19,4,2,2,有,無,有,40000,174,坡道平面,31.47,0,,RPUOMLNKNHHGFAO09CC
新竹市,建物,新竹市新竹市經國路二段１１１號１２樓之７,0.0,住,,,1110429,土地0建物1車位0,十二層,12,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0860715,27.26,1,0,1,有,有,有,5000,183,,0.0,0,水電費、第四台費及每月管理費500元由承租人負擔。,RPUPMLNKNHHGFAO56CC
新竹市,建物,新竹市新竹市北區榮濱路１９巷２５號９樓之２,0.0,商,,,1110504,土地0建物1車位0,九層,11,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1021220,44.81,1,0,1,有,有,有,9300,208,,0.0,0,水電費及每月管理費300元由承租人負擔。,RPQQMLQKNHHGFAO56CC
新竹市,建物,新竹市新竹市西大路７０９巷１１號５樓之１０,0.0,住,,,1110510,土地0建物1車位0,五層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810129,55.57,1,0,1,有,有,有,8500,153,,0.0,0,每月水電費由承租人負擔。,RPTPMLSKNHHGFAO96CC
新竹市,建物,新竹市新竹市建新路２５號３樓,0.0,住,,,1110510,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.9,3,2,2,有,無,有,12000,158,,0.0,0,每月水電費由承租人負擔。,RPUPMLSKNHHGFAO07CC
新竹市,建物,新竹市新竹市世界街９４號三樓,0.0,住,,,1110513,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,62.22,3,2,1,有,無,有,12000,193,,0.0,0,水電瓦斯費由承租人負擔。,RPXQMLSKNHHGFAO47CC
新竹市,建物,新竹市新竹市建功二路４６巷１１號３樓,0.0,住,,,1110513,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,83.95,3,2,1,有,無,有,12000,143,,0.0,0,,RPORMLSKNHHGFAO66CC
新竹市,建物,新竹市新竹市西大路５８２巷１５弄２７號２樓之６,0.0,商,,,1110517,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851105,34.62,1,0,1,有,有,有,8500,246,,0.0,0,,RPPRMLSKNHHGFAO76CC
