編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKNHHGFAP58CB,斗六段,18.87,都市：商,10000,173,持分移轉,00530000
RPTNMLTKNHHGFAP86CB,雲林溪段,14.50,都市：商,202785,1450,持分移轉,01590000
RPPNMLNKNHHGFDP78CB,立仁段,1.08,都市：商,189731,1517,持分移轉,05990000
RPPNMLNKNHHGFDP78CB,立仁段,.02,都市：商,189731,1517,持分移轉,06030000
RPPNMLNKNHHGFDP78CB,立仁段,.02,都市：商,189731,1517,持分移轉,06040000
RPPNMLNKNHHGFDP78CB,立仁段,.84,都市：商,189731,1517,持分移轉,06050000
RPPNMLNKNHHGFDP78CB,立仁段,1.31,都市：商,189731,1517,持分移轉,06060000
RPPNMLNKNHHGFDP78CB,立仁段,5.44,都市：商,189731,1517,持分移轉,06070000
RPPNMLNKNHHGFDP78CB,立仁段,1.12,都市：商,189731,1517,持分移轉,06080000
RPPNMLNKNHHGFDP78CB,立仁段,.28,都市：商,189731,1517,持分移轉,06090000
RPPNMLNKNHHGFDP78CB,立仁段,.54,都市：商,189731,1517,持分移轉,06100000
RPPNMLNKNHHGFDP78CB,立仁段,1.27,都市：商,189731,1517,持分移轉,06110000
RPPNMLNKNHHGFDP78CB,立仁段,3.27,都市：商,189731,1517,持分移轉,06110001
RPPNMLRKNHHGFAP88CB,大竹圍段,31.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,10395,持分移轉,00530000
RPRNMLQKNHHGFAP98CB,莿桐段,41.78,都市：住,147800,4178,持分移轉,03760027
RPRNMLQKNHHGFAP98CB,莿桐段,10.35,都市：其他:計畫道路,36600,1035,持分移轉,03760190
RPPNMLKLNHHGFCP48CB,漢北段,101.71,都市：住,1,1,全筆移轉,03270002
RPRNMLKLNHHGFAP48CB,九芎段,52.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03050022
RPRNMLKLNHHGFAP48CB,九芎段,16.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,03050018
RPUNMLTKNHHGFAP96CB,雲林溪段,16.28,都市：商,202785,1628,持分移轉,01590000
RPPNMLMLNHHGFAP48CB,大竹圍段,33.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,10915,持分移轉,00530000
RPQNMLMLNHHGFAP58CB,大竹圍段,30.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,10213,持分移轉,00530000
RPPNMLNLNHHGFAP58CB,雲林溪段,12.27,都市：商,202785,1227,持分移轉,01590000
RPQNMLNLNHHGFAP68CB,雲林溪段,16.28,都市：商,202785,1628,持分移轉,01590000
RPQNMLNLNHHGFBP78CB,僑真段,21.47,都市：住,100000,634,持分移轉,03490000
RPQNMLNLNHHGFBP78CB,僑真段,1.22,都市：其他:綠地用地,1136300,3098,持分移轉,03450000
RPQNMLNLNHHGFBP78CB,僑真段,1.07,都市：其他:道路用地,1136300,2042,持分移轉,03500000
RPQNMLNLNHHGFBP78CB,僑真段,1.54,都市：住,100000,418,持分移轉,03490012
RPRNMLNLNHHGFBP88CB,僑真段,21.10,都市：住,100000,623,持分移轉,03490000
RPPNMLNLNHHGFBP78DB,僑真段,94.63,都市：住,1,1,全筆移轉,06340010
RPRNMLNLNHHGFBP88CB,僑真段,1.20,都市：其他:綠地用地,1136300,3045,持分移轉,03450000
RPRNMLNLNHHGFBP88CB,僑真段,1.05,都市：其他:道路用地,1136300,2006,持分移轉,03500000
RPRNMLNLNHHGFBP88CB,僑真段,1.51,都市：住,100000,410,持分移轉,03490012
RPPNMLNLNHHGFBP78DB,僑真段,.32,都市：住,14,1,持分移轉,06290007
RPTNMLOLNHHGFAP09CB,科加段,73.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00070132
RPWNMLOLNHHGFAP76CB,科加段,24.71,非都市：工業區 ; 非都市編定：丁種建築用地,30,1,持分移轉,00160083
RPTNMLOLNHHGFAP09CB,科加段,8.51,非都市：工業區 ; 非都市編定：丁種建築用地,10000,74,持分移轉,00070188
RPWNMLOLNHHGFAP76CB,科加段,83.61,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160025
RPTNMLOLNHHGFAP09CB,科加段,.15,非都市：工業區 ; 非都市編定：丁種建築用地,59,1,持分移轉,00070178
RPSNMLOLNHHGFAP98CB,科加段,73.50,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00070168
RPSNMLOLNHHGFAP98CB,科加段,8.51,非都市：工業區 ; 非都市編定：丁種建築用地,10000,74,持分移轉,00070188
RPSNMLOLNHHGFAP98CB,科加段,.15,非都市：工業區 ; 非都市編定：丁種建築用地,59,1,持分移轉,00070178
RPXNMLOLNHHGFAP86CB,科加段,24.71,非都市：工業區 ; 非都市編定：丁種建築用地,30,1,持分移轉,00160083
RPXNMLOLNHHGFAP86CB,科加段,82.05,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160009
RPOOMLOLNHHGFAP68CB,科加段,28.00,非都市：工業區 ; 非都市編定：丁種建築用地,20,1,持分移轉,00160085
RPOOMLOLNHHGFAP68CB,科加段,90.04,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160063
RPQOMLOLNHHGFAP88CB,科加段,28.00,非都市：工業區 ; 非都市編定：丁種建築用地,20,1,持分移轉,00160085
RPQOMLOLNHHGFAP88CB,科加段,90.05,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160061
RPPOMLOLNHHGFAP78CB,科加段,28.00,非都市：工業區 ; 非都市編定：丁種建築用地,20,1,持分移轉,00160085
RPPOMLOLNHHGFAP78CB,科加段,92.76,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160070
RPPOMLOLNHHGFAP78CB,科加段,3.09,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160071
RPROMLOLNHHGFAP98CB,科加段,27.12,非都市：工業區 ; 非都市編定：丁種建築用地,21,1,持分移轉,00160084
RPROMLOLNHHGFAP98CB,科加段,109.44,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00160046
RPQNMLQLNHHGFDP66CB,大學段,102.36,都市：住,1,1,全筆移轉,03540036
RPQNMLQLNHHGFDP66CB,大學段,.49,都市：住,34,1,持分移轉,03540013
RPQNMLQLNHHGFDP66CB,大學段,29.30,都市：住,24,1,持分移轉,03540002
RPPNMLKMNHHGFAP38CB,斗六段,20.84,都市：商,10000,191,持分移轉,00530000
RPPNMLRLNHHGFDP66CB,埔崙段,78.00,都市：住,1,1,全筆移轉,04520017
RPPNMLRLNHHGFDP66CB,埔崙段,34.00,都市：住,18,1,持分移轉,04520000
RPPNMLRLNHHGFDP66CB,埔崙段,.22,都市：住,18,1,持分移轉,04520003
RPPNMLRLNHHGFDP66CB,埔崙段,1.00,都市：住,18,1,持分移轉,04520006
RPRNMLQLNHHGFDP76CB,大學段,24.43,都市：住,10000,94,持分移轉,02800000
RPQNMLLMNHHGFAP58CB,田心段,31.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,30,1,持分移轉,08200000
RPPNMLLJOHHGFAP28CB,九芎段,52.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03050012
RPPNMLLJOHHGFAP28CB,九芎段,16.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,03050018
RPPNMLLJOHHGFDP58CB,大學段,33.01,都市：住,10000,127,持分移轉,02800000
RPQNMLLJOHHGFCP58CB,漢南段,77.83,都市：住,1,1,全筆移轉,01470026
RPQNMLLJOHHGFCP58CB,漢南段,30.60,都市：住,23,1,持分移轉,01470044
RPSNMLLJOHHGFCP78CB,阿勸段,99.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06010020
RPSNMLLJOHHGFCP78CB,阿勸段,3.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06010001
RPSNMLLJOHHGFCP78CB,阿勸段,13.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,06010025
