鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東市,建物,屏東縣屏東市臺糖一街１６巷２９號之１,59.8,住,,,1110510,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731127,124.81,3,2,2,有,無,有,13000,104,,0.0,0,,RPPNMLLKNHHGFAT78CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號２樓之３,10.0,,鄉村區,乙種建築用地,1110416,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.9,1,0,1,有,無,有,5500,178,,0.0,0,,RPRNMLNKNHHGFCT76CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號２樓之２,10.0,,鄉村區,乙種建築用地,1110414,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.21,1,0,1,有,無,有,5500,182,,0.0,0,,RPSNMLNKNHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號３樓之１,11.0,,鄉村區,乙種建築用地,1110415,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.84,1,0,1,有,無,有,5500,178,,0.0,0,,RPTNMLNKNHHGFCT96CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號３樓之７,11.0,,鄉村區,乙種建築用地,1110418,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.02,1,0,1,有,無,有,5500,183,,0.0,0,,RPUNMLNKNHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號３樓之７,11.0,,鄉村區,乙種建築用地,1110418,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.02,1,0,1,有,無,有,5500,183,,0.0,0,,RPPOMLNKNHHGFCT66CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號３樓之１,11.0,,鄉村區,乙種建築用地,1110415,土地0建物0車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.66,1,0,1,有,無,有,5400,171,,0.0,0,,RPROMLNKNHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號２樓之２,11.0,,鄉村區,乙種建築用地,1110416,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.08,1,0,1,有,無,有,5600,180,,0.0,0,,RPSOMLNKNHHGFCT96CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號２樓之５,11.0,,鄉村區,乙種建築用地,1110420,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,31.1,1,0,1,有,無,有,5500,177,,0.0,0,,RPTOMLNKNHHGFCT07CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號２樓之６,11.0,,鄉村區,乙種建築用地,1110418,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,0,1,有,無,有,5400,181,,0.0,0,,RPUOMLNKNHHGFCT17CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號２樓之２,11.0,,鄉村區,乙種建築用地,1110414,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.03,1,0,1,有,無,有,5400,180,,0.0,0,,RPVOMLNKNHHGFCT27CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號２樓之３,11.0,,鄉村區,乙種建築用地,1110413,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,29.86,1,0,1,有,無,有,5400,181,,0.0,0,,RPWOMLNKNHHGFCT37CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號２樓之５,11.0,,鄉村區,乙種建築用地,1110415,土地0建物0車位0,二層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.29,1,0,1,有,無,有,5400,178,,0.0,0,,RPXOMLNKNHHGFCT47CC
內埔鄉,建物,屏東縣內埔鄉壽比路２２８號４樓之１,11.0,,鄉村區,乙種建築用地,1110422,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.84,1,0,1,有,無,有,5500,178,,0.0,0,,RPXNMLQKNHHGFCT67CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３０號４樓之６,11.0,,鄉村區,乙種建築用地,1110417,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.31,1,0,1,有,無,有,5500,181,,0.0,0,,RPOOMLQKNHHGFCT86CC
內埔鄉,建物,屏東縣內埔鄉壽比路２３２號４樓之５,11.0,,鄉村區,乙種建築用地,1110420,土地0建物0車位0,四層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土構造,1051104,30.29,1,0,1,有,無,有,5400,178,,0.0,0,,RPPOMLQKNHHGFCT96CC
