編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLQKNHHGFAU07CB,宜安段,25.72,都市：住,100000,616,持分移轉,06410000
RPRNMLSKNHHGFAU07CB,永安段,28.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,336,持分移轉,03200000
RPWNMLQKNHHGFAU37CB,嘉南段,36.39,都市：其他:農業區建地目,100000,8832,持分移轉,07050000
RPWNMLQKNHHGFAU37CB,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPWNMLQKNHHGFAU37CB,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPWNMLQKNHHGFAU37CB,嘉南段,15.00,都市：農,1,1,全筆移轉,07060031
RPWNMLQKNHHGFAU37CB,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPPNMLTKNHHGFAU96CB,民享段,15.60,都市：商,100000,1417,持分移轉,11970000
RPPNMLTKNHHGFAU96CB,民享段,2.56,都市：住,100000,1417,持分移轉,11970003
RPQNMLLMNHHGFAU09CB,德安段,11.57,都市：商,100000,1534,持分移轉,09790000
RPPNMLLMNHHGFAU98CB,德安段,11.57,都市：商,100000,1534,持分移轉,09790000
RPSNMLKMNHHGFAU56CB,民德段,39.72,都市：住,10000,686,持分移轉,05770003
RPPNMLKLNHHGFAU78CB,民德段,39.72,都市：住,10000,686,持分移轉,05770003
RPQNMLOLNHHGFAU66CB,國光段,49.38,都市：住,8,1,持分移轉,00330001
RPPNMLQJOHHGFAU66CB,民享段,21.00,都市：商,8,1,持分移轉,05040000
RPQNMLSJOHHGFAU96CB,民享段,15.60,都市：商,100000,1417,持分移轉,11970000
RPQNMLSJOHHGFAU96CB,民享段,2.56,都市：住,100000,1417,持分移轉,11970003
RPSNMLSJOHHGFAU17CB,國光段,49.38,都市：住,8,1,持分移轉,00330001
RPTNMLSJOHHGFAU27CB,裕民段,13.86,都市：商,1000000,29935,持分移轉,05490000
RPPNMLSJOHHGFAU96DB,光榮段,110.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1637,持分移轉,03030000
RPRNMLTJOHHGFAU17CB,林森段,31.19,都市：住,747,32,持分移轉,03330000
RPPNMLLKOHHGFAU88CB,慈安段,3.14,都市：住,10000,469,持分移轉,00020000
RPPNMLLKOHHGFAU88CB,慈安段,30.63,都市：住,10000,469,持分移轉,00030000
RPPNMLLKOHHGFAU88CB,慈安段,1.41,都市：住,10000,469,持分移轉,00030013
RPPNMLLKOHHGFAU88CB,慈安段,.52,都市：住,10000,469,持分移轉,00030014
RPQNMLLKOHHGFAU98CB,慈安段,3.06,都市：住,10000,456,持分移轉,00020000
RPQNMLLKOHHGFAU98CB,慈安段,29.78,都市：住,10000,456,持分移轉,00030000
RPQNMLLKOHHGFAU98CB,慈安段,1.37,都市：住,10000,456,持分移轉,00030013
RPQNMLLKOHHGFAU98CB,慈安段,.50,都市：住,10000,456,持分移轉,00030014
RPPNMLKKOHHGFAU78CB,慶豐段,29.92,都市：住,100000,1500,持分移轉,08940000
RPQNMLTJOHHGFAU07CB,林森段,31.19,都市：住,747,32,持分移轉,03330000
RPPNMLOKOHHGFAU56CB,嘉南段,35.71,都市：其他:農業區建地目,100000,2259,持分移轉,07100000
RPPNMLOKOHHGFAU56CB,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPPNMLOKOHHGFAU56CB,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPPNMLOKOHHGFAU56CB,嘉南段,8.18,都市：農,22,1,持分移轉,07060007
RPPNMLOKOHHGFAU56CB,嘉南段,15.00,都市：農,1,1,全筆移轉,07060004
RPQNMLOKOHHGFAU66CB,國風段,30.27,都市：住,10000,250,持分移轉,17560000
RPRNMLOKOHHGFAU76CB,國風段,30.27,都市：住,10000,250,持分移轉,17560000
RPPNMLQKOHHGFAU76CB,嘉南段,113.01,都市：其他:農業區建地目,100000,7148,持分移轉,07100000
RPPNMLQKOHHGFAU76CB,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPPNMLQKOHHGFAU76CB,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPPNMLQKOHHGFAU76CB,嘉南段,8.18,都市：農,22,1,持分移轉,07060007
RPPNMLQKOHHGFAU76CB,嘉南段,147.00,都市：農,1,1,全筆移轉,07060016
RPRNMLQKOHHGFAU96CB,國風段,30.27,都市：住,10000,250,持分移轉,17560000
RPVNMLQKOHHGFAU37CB,國風段,20.47,都市：住,10000,169,持分移轉,17560000
RPWNMLQKOHHGFAU47CB,嘉南段,34.88,都市：其他:農業區建地目,100000,8467,持分移轉,07050000
RPWNMLQKOHHGFAU47CB,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPWNMLQKOHHGFAU47CB,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPWNMLQKOHHGFAU47CB,嘉南段,21.88,都市：農,16,1,持分移轉,07060039
RPUNMLQKOHHGFAU27CB,國風段,19.98,都市：住,10000,165,持分移轉,17560000
RPWNMLQKOHHGFAU47CB,嘉南段,15.00,都市：農,1,1,全筆移轉,07060041
RPSNMLQKOHHGFAU07CB,國風段,20.47,都市：住,10000,169,持分移轉,17560000
RPXNMLQKOHHGFAU57CB,國風段,19.98,都市：住,10000,165,持分移轉,17560000
RPOOMLQKOHHGFAU76CB,國風段,19.98,都市：住,10000,165,持分移轉,17560000
RPPOMLQKOHHGFAU86CB,宜安段,19.96,都市：住,100000,478,持分移轉,06410000
RPQOMLQKOHHGFAU96CB,宜安段,25.34,都市：住,100000,607,持分移轉,06410000
RPSOMLQKOHHGFAU17CB,嘉南段,35.71,都市：其他:農業區建地目,100000,2259,持分移轉,07100000
RPSOMLQKOHHGFAU17CB,嘉南段,2.29,都市：農,34,1,持分移轉,07060000
RPSOMLQKOHHGFAU17CB,嘉南段,9.62,都市：農,34,1,持分移轉,07060002
RPSOMLQKOHHGFAU17CB,嘉南段,8.18,都市：農,22,1,持分移轉,07060007
RPSOMLQKOHHGFAU17CB,嘉南段,15.00,都市：農,1,1,全筆移轉,07060012
RPPNMLTKOHHGFAU07CB,國風段,30.27,都市：住,10000,250,持分移轉,17560000
RPPNMLRKOHHGFCU07CB,玉城段,16.99,都市：住,10000,526,持分移轉,13510000
RPPNMLRKOHHGFCU07CB,玉城段,8.68,都市：住,10000,526,持分移轉,13510005
RPRNMLLLOHHGFAU56CB,德安段,17.54,都市：商,100000,2326,持分移轉,09790000
