編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQKQHHGFAV47DA,升降平面,0,13.75,地下二樓
RPQNMLOKPHHGFAV86DA,一樓平面,680000,,一樓
RPWNMLTLPHHGFAV08DA,一樓平面,0,,一樓
RPPNMLMLOHHGFAV56DA,升降機械,0,,地下二樓
RPWNMLLKNHHGFAV96DA,坡道機械,0,,地下一樓
RPOOMLNKOHHGFAV56DA,一樓平面,0,,一樓
RPSOMLPKOHHGFAV17DA,一樓平面,0,,一樓
RPSNMLRJOHHGFAV17DA,一樓平面,0,,一樓
RPRNMLKMOHHGFAV66DA,升降機械,0,,地下一樓
RPQNMLKMOHHGFAV56DA,一樓平面,0,,一樓
RPQNMLKMOHHGFAV56DA,一樓平面,0,,一樓
RPQNMLKMOHHGFAV56DA,一樓平面,0,,一樓
RPTOMLLJQHHGFAV96DA,一樓平面,0,,一樓
RPWNMLNLQHHGFAV57DA,一樓平面,0,,一樓
RPXNMLNLQHHGFAV67DA,一樓平面,0,,一樓
RPTOMLRLNHHGFAV47DA,一樓平面,0,,一樓
RPXOMLRLNHHGFAV87DA,一樓平面,0,,一樓
RPVOMLRLNHHGFAV67DA,一樓平面,0,,一樓
RPPNMLMLMHHGFAV98DA,坡道平面,650000,28.74,地下一樓
RPURNLLLMHHGFAV27DA,坡道平面,600000,28.74,地下二樓
RPVNMLMLMHHGFAV96DA,坡道平面,700000,28.74,地下二樓
RPTNMLMLMHHGFAV76DA,坡道平面,750000,28.74,地下二樓
RPUNMLMLMHHGFAV86DA,坡道平面,750000,28.74,地下二樓
RPOOMLMLMHHGFAV98DA,坡道平面,600000,28.74,地下二樓
RPPSNLLLMHHGFAV86DA,坡道平面,650000,28.74,地下一樓
RPUQNLLLMHHGFAV17DA,坡道平面,600000,28.74,地下二樓
RPWRNLLLMHHGFAV47DA,坡道平面,600000,28.74,地下二樓
RPXRNLLLMHHGFAV57DA,坡道平面,600000,28.74,地下二樓
RPOSNLLLMHHGFAV76DA,坡道平面,750000,28.74,地下二樓
RPORNLLLMHHGFAV66DA,坡道平面,700000,28.74,地下一樓
RPQRNLLLMHHGFAV86DA,坡道平面,700000,28.74,地下二樓
RPRRNLLLMHHGFAV96DA,坡道平面,750000,28.74,地下二樓
RPSRNLLLMHHGFAV07DA,坡道平面,600000,28.74,地下二樓
RPTPMLMLMHHGFAV96DA,坡道平面,700000,28.74,地下二樓
RPUPMLMLMHHGFAV07DA,坡道平面,750000,28.74,地下二樓
RPQOMLMLMHHGFAV56DA,坡道平面,600000,28.74,地下二樓
RPROMLMLMHHGFAV66DA,坡道平面,700000,28.74,地下二樓
RPSOMLMLMHHGFAV76DA,坡道平面,650000,27.66,地下二樓
RPUOMLMLMHHGFAV96DA,坡道平面,650000,28.74,地下一樓
RPRPMLMLMHHGFAV76DA,坡道平面,650000,28.74,地下二樓
RPVPMLMLMHHGFAV17DA,坡道平面,700000,28.74,地下二樓
RPOQNLLLMHHGFAV56DA,坡道平面,650000,27.66,地下二樓
RPXNNLLLMHHGFAV17DA,坡道平面,600000,28.74,地下二樓
RPSNNLLLMHHGFAV66DA,坡道平面,750000,28.74,地下二樓
RPTPNLLLMHHGFAV96DA,坡道平面,650000,28.74,地下一樓
RPXUMLLLMHHGFAV77DA,坡道平面,750000,28.74,地下二樓
RPOVMLLLMHHGFAV96DA,坡道平面,700000,27.66,地下一樓
RPQQMLMLMHHGFAV76DA,坡道平面,600000,28.74,地下二樓
RPSQMLMLMHHGFAV96DA,坡道平面,700000,28.74,地下二樓
RPTQMLMLMHHGFAV07DA,坡道平面,650000,28.74,地下一樓
RPRQMLMLMHHGFAV86DA,坡道平面,600000,28.74,地下二樓
