鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,土地,台東段447-1地號,330.0,住,,,1110427,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,48000,145,,0.0,0,,RPWNMLRKNHHGFAV67CC
台東市,房地(土地+建物),臺東縣臺東市更生北路１９３號,114.76,商,,,1110128,土地1建物1車位0,見其他登記事項,3,店面(店鋪),騎樓、店舖、住宅,ＲＣ造,1000727,242.44,4,3,5,有,無,有,30300,125,,0.0,0,,RPUNMLOLNHHGFAV37DC
台東市,土地,興安段87地號,241.99,住,,,1110519,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,19999,83,,0.0,0,房屋無保存登記台東市興安路二段30-1號,RPPNMLMJOHHGFAV09CC
台東市,土地,南榮段1068地號,990.0,住,,,1110608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,80000,81,,0.0,0,房屋無保存登記台東市更生路1260-2號,RPRNMLKKOHHGFAV56CC
台東市,房地(土地+建物),臺東縣臺東市正氣路３９５之５號,20.93,住,,,1110621,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701021,122.4,3,2,2,有,有,有,13500,110,,0.0,0,,RPSNMLSLOHHGFAV57CC
台東市,建物,臺東縣臺東市連航路８８巷３３號,0.0,住,,,1110611,土地0建物1車位0,全,3,透天厝,店舖、住宅、樓梯間,ＲＣ造,0950925,158.66,2,2,1,有,無,有,19500,123,,0.0,0,,RPSNMLTLOHHGFAV67CC
台東市,房地(土地+建物),臺東縣臺東市長安街１８３號３樓,18.87,住,,,1110611,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),集合住宅,鋼骨混凝土造,0840926,121.43,3,2,2,有,有,有,15000,124,,0.0,0,,RPTNMLKMOHHGFAV96CC
台東市,建物,臺東縣臺東市興路路１０２號,0.0,住,,,1110602,土地0建物0車位0,二層,2,套房(1房1廳1衛),住宅、樓梯間,ＲＣ造,1060831,33.0,1,0,0,有,無,有,7600,230,,0.0,0,,RPWNMLKMOHHGFAV27CC
台東市,房地(土地+建物),臺東縣臺東市四維路三段１７號１１樓,10.08,住,,,1110627,土地1建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841204,98.31,2,1,1,有,有,有,12000,122,,0.0,0,,RPSNMLRJPHHGFAV37CC
台東市,房地(土地+建物),臺東縣臺東市博愛路４９４號３樓之２,19.94,住,,,1110715,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800717,90.12,3,2,1,有,無,有,12000,133,,0.0,0,,RPTNMLSLPHHGFAV77CC
台東市,房地(土地+建物),臺東縣臺東市廣東路２０５之２號３樓,19.28,住,,,1110805,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730130,96.28999999999999,3,2,2,有,無,無,15000,156,,0.0,0,,RPVNMLSJQHHGFAV87CC
