編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLKKQHHGFAX76DA,山水南段,182.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,09810000
RPWNMLLKQHHGFAX47DA,鐵線段,206.12,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06950002
RPUNMLRKQHHGFAX87DA,興崁段,922.96,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11010000
RPUNMLRKQHHGFAX87DA,興崁段,208.90,非都市：一般農業區 ; 非都市編定：交通用地,10,6,持分移轉,11010008
RPUNMLRKQHHGFAX87DA,興崁段,76.83,非都市：一般農業區 ; 非都市編定：水利用地,12,6,持分移轉,11010009
RPWNMLMKQHHGFAX57DA,赤崁中段,143.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04340000
RPRNMLQJQHHGFAX37DA,中屯新段,394.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,19940000
RPWNMLKKQHHGFAX37DA,中衛段,44.35,,1,1,全筆移轉,04490004
RPWNMLKKQHHGFAX37DA,中衛段,37.64,,1,1,全筆移轉,04510001
RPXNMLSKQHHGFAX28DA,許家段,617.82,非都市：一般農業區 ; 非都市編定：農牧用地,824,618,持分移轉,07320000
RPWNMLSKQHHGFAX18DA,光華段,214.60,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05290003
RPWNMLSKQHHGFAX18DA,光華段,57.52,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,05290004
RPSNMLMLQHHGFAX27DA,光榮段,.13,都市：其他:市場用地,10000,112,持分移轉,04610000
RPSNMLMLQHHGFAX27DA,光榮段,4.48,都市：其他:市場用地,10000,112,持分移轉,04720000
RPSNMLMLQHHGFAX27DA,光榮段,.24,都市：其他:市場用地,10000,112,持分移轉,04730000
RPSNMLMLQHHGFAX27DA,光榮段,1.06,都市：其他:市場用地,10000,112,持分移轉,04740000
RPSNMLMLQHHGFAX27DA,光榮段,.96,都市：其他:市場用地,10000,112,持分移轉,04750000
RPSNMLMLQHHGFAX27DA,光榮段,5.14,都市：其他:市場用地,10000,112,持分移轉,04760000
RPSNMLMLQHHGFAX27DA,光榮段,.53,都市：其他:市場用地,10000,112,持分移轉,04870001
RPSNMLMLQHHGFAX27DA,光榮段,1.66,都市：其他:市場用地,10000,112,持分移轉,04880000
RPSNMLMLQHHGFAX27DA,光榮段,.38,都市：其他:市場用地,10000,112,持分移轉,04890000
RPSNMLMLQHHGFAX27DA,光榮段,.05,都市：其他:市場用地,10000,112,持分移轉,04920001
RPOOMLMKQHHGFAX86DA,潭邊新段,727.50,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,08780000
RPOOMLQKQHHGFAX27DA,文東段,451.20,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14740000
RPPNMLTKQHHGFAX57DA,林投北段,918.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06570000
RPTNMLOJQHHGFAX37DA,文寮段,393.70,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11420000
RPOOMLTJQHHGFAX47DA,烏崁新段,151.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12290000
RPOOMLTJQHHGFAX47DA,烏崁新段,219.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12300000
RPVNMLQKQHHGFAX87DA,東石新段,35.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04510000
RPQPMLLLQHHGFAX17DA,興仁南段,118.94,非都市：一般農業區 ; 非都市編定：礦業用地,6,1,持分移轉,03460000
RPQPMLLLQHHGFAX17DA,興仁南段,421.12,非都市：一般農業區 ; 非都市編定：礦業用地,6,1,持分移轉,03690000
RPPOMLTJQHHGFAX57DA,機場段,137.68,非都市：一般農業區 ; 非都市編定：農牧用地,16,1,持分移轉,06680000
RPPOMLTJQHHGFAX57DA,機場段,42.45,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,07510000
RPPOMLTJQHHGFAX57DA,隘門新段,74.72,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,07620000
RPPOMLTJQHHGFAX57DA,隘門新段,18.82,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,09630000
RPPOMLTJQHHGFAX57DA,隘門新段,111.64,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,09770000
RPPOMLTJQHHGFAX57DA,機場段,61.38,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,09780000
RPPOMLTJQHHGFAX57DA,隘門新段,98.41,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,09810000
RPPOMLTJQHHGFAX57DA,隘門新段,54.58,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,10210000
RPPOMLTJQHHGFAX57DA,隘門新段,51.07,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,10650000
RPPOMLTJQHHGFAX57DA,隘門新段,97.08,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,12480000
RPPOMLTJQHHGFAX57DA,隘門新段,171.09,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,12520000
RPPOMLTJQHHGFAX57DA,隘門新段,168.99,非都市：一般農業區 ; 非都市編定：農牧用地,12,1,持分移轉,12680000
RPWNMLMLQHHGFAX67DA,北極段,46.59,都市：其他:住宅區,100000,5655,持分移轉,06660001
RPTNMLMLQHHGFAX37DA,許家段,1658.61,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12080000
RPUNMLMLQHHGFAX47DA,林投北段,327.71,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,01120000
RPUNMLKMQHHGFAX47EA,大池段,140.08,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09890000
RPUNMLKMQHHGFAX47EA,大池段,302.35,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09910000
RPRNMLLMQHHGFAX27EA,春暉段,46.17,都市：其他:住宅區,1,1,全筆移轉,02290000
RPPNMLTJQHHGFAX57EA,內垵二段,159.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11160001
RPVNMLQLQHHGFAX97DA,光榮新段,238.15,,1,1,全筆移轉,00680000
RPOOMLKMQHHGFAX86DA,興仁段,114.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02080000
RPWNMLTLQHHGFAX38DA,文東段,784.17,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03250000
RPSOMLPLQHHGFAX67DA,光榮段,59.06,都市：其他:住宅區,1,1,全筆移轉,03970000
RPOOMLPLQHHGFAX27DA,內垵二段,141.73,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10550000
RPWNMLOLQHHGFAX87DA,雙湖段,73.23,非都市：一般農業區 ; 非都市編定：農牧用地,60,6,持分移轉,06480000
RPVNMLLJRHHGFAX37DA,北極段,46.76,都市：其他:住宅區,1,1,全筆移轉,10890000
RPQOMLKMQHHGFAX07DA,光榮段,.15,都市：其他:市場用地,10000,125,持分移轉,04610000
RPQOMLKMQHHGFAX07DA,光榮段,5.00,都市：其他:市場用地,10000,125,持分移轉,04720000
RPWNMLMJRHHGFAX57DA,沙港南段,268.40,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,03990000
RPQOMLKMQHHGFAX07DA,光榮段,.27,都市：其他:市場用地,10000,125,持分移轉,04730000
RPQOMLKMQHHGFAX07DA,光榮段,1.18,都市：其他:市場用地,10000,125,持分移轉,04740000
RPQOMLKMQHHGFAX07DA,光榮段,1.07,都市：其他:市場用地,10000,125,持分移轉,04750000
RPWNMLLJRHHGFAX47DA,北極段,239.21,都市：其他:住宅區,1,1,全筆移轉,10940000
RPQOMLKMQHHGFAX07DA,光榮段,5.74,都市：其他:市場用地,10000,125,持分移轉,04760000
RPQOMLKMQHHGFAX07DA,光榮段,.59,都市：其他:市場用地,10000,125,持分移轉,04870001
RPQOMLKMQHHGFAX07DA,光榮段,1.86,都市：其他:市場用地,10000,125,持分移轉,04880000
RPQOMLKMQHHGFAX07DA,光榮段,.42,都市：其他:市場用地,10000,125,持分移轉,04890000
RPQOMLKMQHHGFAX07DA,光榮段,.06,都市：其他:市場用地,10000,125,持分移轉,04920001
RPVNMLQJRHHGFAX87DA,四維段,19.26,都市：其他:農業區,180,10,持分移轉,01750000
RPVNMLLJPHHGFAX17DA,國宅段,4.51,都市：其他:道路用地,40,1,持分移轉,05200000
RPVNMLLJPHHGFAX17DA,國宅段,.38,都市：其他:道路用地,40,1,持分移轉,05310000
RPTNMLNJQHHGFAX27DA,許家段,15.14,非都市：一般農業區 ; 非都市編定：交通用地,9,1,持分移轉,09100004
RPTNMLNJQHHGFAX27DA,許家段,160.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09100007
RPTOMLTLOHHGFAX97DA,海堤段,42.00,都市：其他:住宅區,1,1,全筆移轉,03080000
RPQOMLPKPHHGFAX37EA,二崁南段,388.39,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,13660000
RPUNMLPJPHHGFAX47DA,山水北段,1223.82,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08740000
RPPNMLKLPHHGFAX76EA,馬公段,17.33,都市：其他:商業區,6,2,持分移轉,01030041
RPPNMLKLPHHGFAX76EA,馬公段,2.83,都市：其他:商業區,12,2,持分移轉,01030179
RPXNMLSJPHHGFAX08DA,鎖港西段,24.02,都市：其他:住宅區,8,3,持分移轉,03870000
RPWNMLSJPHHGFAX97DA,東衛段,629.58,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04570000
RPROMLMKPHHGFAX07DA,國宅段,46.00,,1,1,全筆移轉,03070001
RPXNMLNKPHHGFAX67DA,五福段,57.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,04680000
RPVOMLLKPHHGFAX37DA,光榮段,19.17,都市：其他:商業區,10000,163,持分移轉,04960000
RPXOMLPKPHHGFAX97DA,國宅段,1046.89,非都市：一般農業區 ; 非都市編定：農牧用地,10000,4260,持分移轉,01810000
RPWNMLSKPHHGFAX08DA,湖西南段,235.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04200000
RPOPMLPKPHHGFAX17DA,國宅段,43.79,非都市：一般農業區 ; 非都市編定：交通用地,12,5,持分移轉,01810010
RPSNMLLLPHHGFAX07DA,鎖港南段,611.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13640000
RPUNMLTKPHHGFAX97DA,文寮段,1889.74,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01570000
RPSOMLMKPHHGFAX17DA,雙湖段,16.59,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,04990000
RPSOMLMKPHHGFAX17DA,雙湖段,1.43,非都市：一般農業區 ; 非都市編定：農牧用地,24,1,持分移轉,05000000
RPVNMLTKPHHGFAX08DA,文石段,3124.31,非都市：一般農業區 ; 非都市編定：農牧用地,10000,6613,持分移轉,08870002
RPVNMLTKPHHGFAX08DA,文石段,411.07,非都市：一般農業區 ; 非都市編定：交通用地,100000,28771,持分移轉,08870004
RPPNMLSKPHHGFAX37DA,海堤段,41.07,都市：其他:道路用地,8,2,持分移轉,09130000
RPOOMLTKPHHGFAX47DA,文東段,1025.91,非都市：一般農業區 ; 非都市編定：農牧用地,10000,4895,持分移轉,18230000
RPTNMLQLPHHGFAX77EA,馬公段,38.27,都市：其他:住宅區,10000,38,持分移轉,02010000
RPTNMLRLPHHGFAX77DA,光榮新段,152.42,,1,1,全筆移轉,00880000
RPTNMLQLPHHGFAX77EA,馬公段,4.00,都市：其他:住宅區,10000,32,持分移轉,02010003
RPWNMLSLPHHGFAX18DA,國宅段,45.10,都市：其他:道路用地,4,1,持分移轉,05200000
RPWNMLSLPHHGFAX18DA,國宅段,130.75,都市：其他:道路用地,2,1,持分移轉,05250000
RPWNMLSLPHHGFAX18DA,國宅段,3.79,都市：其他:道路用地,4,1,持分移轉,05310000
RPUNMLRLPHHGFAX87DA,七美二段,9.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08870004
RPWNMLLJQHHGFAX37DA,國宅段,985.14,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,00310000
RPRNMLLLPHHGFAX96DA,國宅段,45.10,都市：其他:道路用地,4,1,持分移轉,05200000
RPRNMLLLPHHGFAX96DA,國宅段,130.75,都市：其他:道路用地,2,1,持分移轉,05250000
RPRNMLLLPHHGFAX96DA,國宅段,3.79,都市：其他:道路用地,4,1,持分移轉,05310000
RPUNMLTLPHHGFAX08DA,鼎灣新段,137.05,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06680000
RPUNMLTLPHHGFAX08DA,鼎灣新段,16.34,非都市：一般農業區 ; 非都市編定：交通用地,7,1,持分移轉,06740000
RPRNMLNJQHHGFAX07DA,西溪新段,72.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,06970000
RPXNMLMJQHHGFAX57DA,中衛段,122.30,都市：其他:乙種工業區,1,1,全筆移轉,03590000
RPXNMLMJQHHGFAX57DA,中衛段,349.80,都市：其他:乙種工業區,1,1,全筆移轉,03600000
RPXNMLMJQHHGFAX57DA,中衛段,508.74,都市：其他:乙種工業區,1,1,全筆移轉,03610000
RPXNMLMJQHHGFAX57DA,中衛段,319.39,都市：其他:乙種工業區,1,1,全筆移轉,03620000
RPQOMLKLPHHGFAX86DA,湖西南段,203.62,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09760000
RPWNMLRLPHHGFAX08DA,潭邊新段,118.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,4,3,持分移轉,04830000
RPWNMLRLPHHGFAX08DA,潭邊新段,6.49,非都市：一般農業區 ; 非都市編定：交通用地,4,3,持分移轉,04840000
RPUNMLSLPHHGFAX97DA,山水北段,89.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04730000
RPUNMLSLPHHGFAX97DA,山水北段,11.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04740000
RPXNMLMLPHHGFAX67DA,國宅段,140.63,都市：其他:道路用地,1,1,全筆移轉,03070000
RPPNMLOJQHHGFAX07EA,外垵二段,277.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07710000
RPPNMLOJQHHGFAX07EA,外垵二段,195.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08000000
RPUNMLOJQHHGFAX47DA,五福段,215.02,非都市：一般農業區 ; 非都市編定：農牧用地,260,22,持分移轉,07680000
RPSNMLSKPHHGFAX77EA,四維段,161.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09670000
RPWNMLPJQHHGFAX77DA,國宅段,112.51,都市：其他:住宅區,1,1,全筆移轉,07390002
RPVNMLNJQHHGFAX47DA,山水南段,625.02,非都市：一般農業區 ; 非都市編定：農牧用地,10000,7537,持分移轉,01150000
RPRNMLOKPHHGFAX17DA,埕東段,76.87,都市：其他:住宅區,1,1,全筆移轉,00360000
RPOOMLKKQHHGFAX66DA,文東段,788.85,非都市：一般農業區 ; 非都市編定：農牧用地,1728,789,持分移轉,16230000
RPPOMLKLPHHGFAX76DA,春暉段,58.88,都市：其他:住宅區,1,1,全筆移轉,00580000
RPSNMLLKQHHGFAX07DA,興仁南段,237.87,非都市：一般農業區 ; 非都市編定：礦業用地,3,1,持分移轉,03460000
RPSNMLLKQHHGFAX07DA,興仁南段,842.24,非都市：一般農業區 ; 非都市編定：礦業用地,3,1,持分移轉,03690000
RPUNMLLKQHHGFAX27DA,林投南段,634.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08870000
RPSNMLNJQHHGFAX17DA,南寮北段,707.48,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02150000
RPXNMLLKQHHGFAX57DA,興仁南段,118.94,非都市：一般農業區 ; 非都市編定：礦業用地,6,1,持分移轉,03460000
RPXNMLLKQHHGFAX57DA,興仁南段,421.12,非都市：一般農業區 ; 非都市編定：礦業用地,6,1,持分移轉,03690000
RPRNMLPKQHHGFAX47EA,林投南段,180.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04960000
RPXNMLTJQHHGFAX28DA,五福段,36.02,非都市：一般農業區 ; 非都市編定：農牧用地,16,1,持分移轉,00340000
RPPNMLOLQHHGFAX27EA,山水北段,199.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00210000
RPPNMLOKQHHGFAX07DA,井垵西段,385.84,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,15280000
RPPNMLSKQHHGFAX47DA,國宅段,623.35,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,01920000
RPVNMLLKQHHGFAX37DA,北澳段,14.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,1590,持分移轉,02600000
RPXNMLNLQHHGFAX87DA,文寮段,296.41,非都市：一般農業區 ; 非都市編定：農牧用地,10000,3895,持分移轉,03660002
RPOPMLLKPHHGFAX76DA,東石新段,899.40,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05020000
RPOOMLSKQHHGFAX47DA,東衛段,166.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14760000
RPRNMLMLQHHGFAX17DA,馬公段,14.13,都市：其他:商業區,10000,256,持分移轉,02930001
RPVNMLNKPHHGFAX47DA,馬公段,39.00,都市：其他:商業區,1,1,全筆移轉,08590000
RPOOMLNLQHHGFAX07DA,中衛段,78.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,15430000
RPOOMLNLQHHGFAX07DA,中衛段,4.96,非都市：一般農業區 ; 非都市編定：農牧用地,300000,18825,持分移轉,15490000
RPVNMLNLQHHGFAX67DA,北極段,48.52,都市：其他:住宅區,100000,5889,持分移轉,06660001
RPSOMLKMQHHGFAX27DA,國宅段,132.50,都市：其他:住宅區,1,1,全筆移轉,04910000
RPPNMLPKQHHGFAX27EA,東澳段,3.83,都市：其他:道路用地,32,1,持分移轉,09400000
RPPNMLPKQHHGFAX27EA,東澳段,17.10,都市：其他:住宅區,32,1,持分移轉,09540000
RPXNMLLJRHHGFAX57DA,雙湖段,624.29,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08230000
RPVNMLMLQHHGFAX57DA,馬公段,44.00,都市：其他:商業區,1,1,全筆移轉,01030036
RPVNMLMLQHHGFAX57DA,馬公段,44.00,都市：其他:商業區,1,1,全筆移轉,01030037
RPXOMLLLQHHGFAX77DA,文寮段,89.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10010000
RPOOMLPLPHHGFAX17DA,風櫃西段,74.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11540000
RPWNMLPJRHHGFAX87DA,許家段,432.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04990000
RPOOMLKLPHHGFAX66DA,望安段,262.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13380000
RPOOMLKLPHHGFAX66DA,望安段,165.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13590000
RPSNMLMKOHHGFAX96DA,東澳段,56.14,都市：其他:住宅區,1,1,全筆移轉,02680003
