編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUSMLLKQHHGFCA38CC,西湖段一小段,.00,都市：住,,,,06960000
RPVRMLLKQHHGFCA38CC,西湖段四小段,.00,都市：工,,,,01220000
RPVSMLLKQHHGFCA48CC,吉林段四小段,.00,都市：商,,,,05470000
RPWSMLLKQHHGFCA58CC,中山段三小段,.00,都市：商,,,,02980000
RPXSMLLKQHHGFCA68CC,德惠段四小段,.00,都市：商,,,,05520000
RPOTMLLKQHHGFCA87CC,東湖段一小段,.00,都市：住,,,,00290001
RPWNMLLKQHHGFBA97CC,漢中段一小段,8.62,都市：商,,,,00200000
RPOOMLLKQHHGFBA27CC,玉泉段一小段,11.42,都市：商,,,,03630000
RPPTMLLKQHHGFCA97CC,德惠段四小段,.00,都市：商,,,,05520000
RPQOMLLKQHHGFBA47CC,福星段三小段,.00,都市：商,,,,01070000
RPQOMLLKQHHGFBA47CC,福星段三小段,.00,都市：商,,,,01090000
RPSOMLLKQHHGFBA67CC,大同段一小段,.00,都市：商,,,,07590000
RPTOMLLKQHHGFBA77CC,青年段一小段,.00,都市：住,,,,00930000
RPVOMLLKQHHGFBA97CC,福星段二小段,.00,都市：商,,,,05300000
RPVOMLLKQHHGFBA97CC,福星段二小段,.00,都市：商,,,,05330000
RPWNMLLKQHHGFEA28CC,文林段四小段,.00,都市：住,,,,01410000
RPROMLLKQHHGFEA87CC,新民段一小段,.00,都市：其他:特定休閒旅館住宅專用區,,,,01840000
RPROMLLKQHHGFEA87CC,新民段一小段,.00,都市：其他:道路用地,,,,01840001
RPROMLLKQHHGFEA87CC,新民段一小段,.00,都市：其他:特定休閒旅館住宅專用區,,,,01840002
RPXOMLLKQHHGFDA38CC,祥和段四小段,.00,都市：住,,,,02060001
RPTOMLLKQHHGFEA08CC,關渡段二小段,.00,都市：住,,,,03160000
RPVNMLLKQHHGFFA28CC,辛亥段一小段,270.00,都市：住,,,,01730000
RPUNMLLKQHHGFFA18CC,龍泉段三小段,.00,都市：商,,,,00570000
RPOOMLLKQHHGFFA67CC,仁愛段六小段,.00,都市：住,,,,01690000
RPRNMLLKQHHGFFA87CC,復興段一小段,.00,都市：商,,,,04030000
RPPOMLLKQHHGFFA77CC,懷生段三小段,.00,都市：住,,,,02310000
RPQOMLLKQHHGFFA87CC,仁愛段三小段,.00,都市：住,,,,04150001
RPPOMLLKQHHGFAA27CC,河堤段五小段,.00,都市：住,,,,05420000
RPPOMLLKQHHGFAA27CC,河堤段五小段,.00,都市：住,,,,05430000
RPPNMLMKQHHGFAA27CC,萬慶段三小段,28.00,都市：住,,,,06740000
RPXNMLMKQHHGFAA08CC,景美段五小段,.00,都市：商,,,,07950000
RPXNMLMKQHHGFAA08CC,景美段四小段,.00,都市：商,,,,06210001
RPXNMLMKQHHGFAA08CC,景美段四小段,.00,都市：商,,,,06310000
RPRNMLMKQHHGFFA97CC,金華段一小段,.00,都市：住,,,,02590000
RPUNMLMKQHHGFFA28CC,通化段六小段,162.21,都市：住,,,,04730000
RPOOMLMKQHHGFFA77CC,瑞安段一小段,.00,都市：商,,,,00140000
RPPNMLMKQHHGFDA57CC,三興段二小段,.00,都市：商,,,,00600000
RPSNMLMKQHHGFDA87CC,虎林段四小段,.00,都市：商,,,,07850000
RPSNMLMKQHHGFDA87CC,虎林段四小段,.00,都市：住,,,,07860001
RPVOMLMKQHHGFDA28CC,南港段一小段,.00,都市：商,,,,10970000
RPXNMLMKQHHGFDA38CC,南港段二小段,.00,都市：商,,,,02410000
RPVNMLMKQHHGFEA28CC,振興段一小段,.00,都市：住,,,,01690000
RPVNMLMKQHHGFEA28CC,振興段一小段,.00,都市：住,,,,01690001
RPUNMLMKQHHGFDA08CC,延吉段一小段,.00,都市：商,,,,02210000
RPUNMLMKQHHGFDA08CC,延吉段一小段,.00,都市：住,,,,02210001
RPPNMLMKQHHGFEA67CC,立農段三小段,.00,都市：住,,,,03390000
RPPNMLMKQHHGFEA67CC,立農段三小段,.00,都市：其他:道路用地(公共設施用地),,,,03390001
RPROMLMKQHHGFEA97CC,光華段四小段,.00,都市：商,,,,08190000
RPROMLMKQHHGFEA97CC,光華段四小段,.00,都市：商,,,,08190001
RPWOMLMKQHHGFEA48CC,三玉段三小段,.00,都市：住,,,,01350000
RPWNMLMKQHHGFEA38CC,蘭雅段一小段,.00,都市：住,,,,03860000
RPXOMLMKQHHGFEA58CC,溫泉段四小段,.00,都市：住,,,,04550000
RPROMLMKQHHGFBA67CC,雙連段一小段,.00,都市：商,,,,06800000
RPRPMLMKQHHGFEA08CC,福林段三小段,.00,都市：住,,,,06200000
RPTOMLMKQHHGFBA87CC,福星段二小段,.00,都市：商,,,,00100000
RPSOMLMKQHHGFBA77CC,漢中段一小段,.00,都市：商,,,,02160000
RPUOMLMKQHHGFBA97CC,市府段一小段,.00,都市：其他:轉運站用地,,,,09260000
RPXOMLMKQHHGFBA28CC,青年段一小段,.00,都市：商,,,,01430000
RPUPMLMKQHHGFBA08CC,福星段四小段,.00,都市：商,,,,03130000
RPPNMLMKQHHGFCA47CC,北安段三小段,.00,都市：商,,,,01330000
RPWPMLMKQHHGFBA28CC,城中段三小段,.00,都市：商,,,,01160001
RPSNMLMKQHHGFCA77CC,吉林段三小段,9.26,都市：商,,,,09460000
RPQNMLMKQHHGFCA57CC,德惠段四小段,.00,都市：商,,,,05520000
RPTNMLMKQHHGFCA87CC,碧湖段一小段,.00,都市：住,,,,03380000
RPVNMLMKQHHGFCA08CC,中山段三小段,.00,都市：商,,,,03120000
RPXNMLMKQHHGFCA28CC,中山段一小段,.00,都市：商,,,,04080000
RPOOMLMKQHHGFCA47CC,長安段一小段,.00,都市：住,,,,07360000
RPPOMLMKQHHGFCA57CC,吉林段二小段,.00,都市：住,,,,02230000
RPWOMLMKQHHGFCA28CC,德惠段四小段,.00,都市：商,,,,05520000
RPVOMLMKQHHGFCA18CC,德惠段四小段,.00,都市：商,,,,05520000
RPUOMLMKQHHGFCA08CC,吉林段四小段,.00,都市：商,,,,06760000
RPTOMLMKQHHGFCA97CC,德惠段四小段,.00,都市：商,,,,03500000
RPPPMLMKQHHGFCA67CC,德惠段四小段,.00,都市：商,,,,03680000
RPRPMLMKQHHGFCA87CC,德惠段四小段,.00,都市：商,,,,05520000
RPQPMLMKQHHGFCA77CC,德惠段四小段,.00,都市：商,,,,05520000
RPOQMLMKQHHGFCA67CC,正義段四小段,.00,都市：商,,,,00960000
RPRQMLMKQHHGFCA97CC,中山段一小段,17.83,都市：商,,,,09750000
RPORMLMKQHHGFCA77CC,中山段二小段,.00,都市：商,,,,00940000
RPPNMLOKQHHGFDA77CC,民生段,36.41,都市：商,,,,00440000
RPSQMLMKQHHGFCA08CC,吉林段一小段,42.66,都市：商,,,,05630000
RPRNMLOKQHHGFDA97CC,敦化段三小段,13.77,都市：住,,,,06580000
RPWNMLPKQHHGFDA58CC,民生段,.00,都市：住,,,,00410023
RPOOMLPKQHHGFDA87CC,逸仙段二小段,.00,都市：工,,,,00100000
RPOPMLPKQHHGFDA97CC,信義段四小段,.00,都市：其他:業務設施區(信義計劃特定專用區，不得作住宅使用)。,,,,00340001
RPPPMLPKQHHGFDA08CC,雅祥段一小段,.00,都市：住,,,,00160011
RPQPMLPKQHHGFDA18CC,民生段,.00,都市：商,,,,00630002
RPPNMLPKQHHGFFA08CC,金華段一小段,.00,都市：商,,,,05240003
RPSNMLPKQHHGFFA38CC,金華段二小段,.00,都市：其他:第三種住宅區。,,,,05890000
