鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安樂區,土地,麥金段622地號,1969.06,,,,1111201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,93700000,47586,,0.0,0,協議價購；,RPSPMLSLIIHGFDC18DA,0.0,0.0,0.0,無,
中正區,車位,基隆市中正區義一路１２２之５號,0.17,商,,,1111103,土地1建物1車位1,一層,十四層,其他,商業用,鋼筋混凝土造,0910712,33.17,0,0,0,有,有,1120000,,坡道平面,33.14,1120000,B5 車位編號46僅車位交易；,RPUPMLNJJIHGFDC77DA,0.0,0.0,0.0,有,0001
仁愛區,土地,南新段387-5地號,77.0,住,,,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,810000,10519,,0.0,0,地上未登記建物屋頂已坍塌不堪居住，由買方自行維修並負擔費用。未登記建物；,RPWNMLOJJIHGFDC87DA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區中和路２００巷１１５弄２１號,83.84,住,,,1111104,土地7建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0720121,63.21,0,0,0,無,無,3100000,49043,,0.0,0,陽台外推；,RPTOMLRJJIHGFDC97DA,59.51,1.85,1.85,無,0002
七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路６２之２號,139.32,住,,,1111105,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1100817,213.23,4,2,3,有,有,15800000,74098,一樓平面,0.0,0,室外停車位7號,RPOQMLOKJIHGFDC47DA,187.28,0.0,12.88,有,
中正區,車位,基隆市中正區新豐街４７０號等共同使用,1.7,住,,,1111110,土地3建物1車位1,,,其他,,,,34.17,0,0,0,有,有,1150000,,坡道平面,34.17,1150000,僅車位交易；,RPOPMLQKJIHGFDC57DA,0.0,0.0,0.0,有,0003
安樂區,房地(土地+建物),基隆市安樂區武嶺街３０９號３樓之１１,6.67,住,,,1111107,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850118,30.26,1,1,1,有,有,2200000,72703,,0.0,0,套房社區住戶自主管理,RPQOMLSJJIHGFDC77DA,20.87,0.0,4.36,有,
安樂區,房地(土地+建物)+車位,基隆市安樂區樂利二街６２巷２７３號７樓,21.97,住,,,1111107,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881231,144.5,3,2,2,有,有,7700000,53287,坡道平面,0.0,0,車位編號329,RPXNMLSJJIHGFDC38DA,72.77,0.45,9.95,有,
安樂區,房地(土地+建物),基隆市安樂區樂一路１１８號,30.0,都市：其他:住宅區,,,1111114,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0791113,106.25999999999999,5,1,1,有,無,7600000,71523,,0.0,0,,RPPNMLLLJIHGFDC17EA,87.22,8.49,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利三街３６巷８之１號,32.5,住,,,1111103,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671115,68.18,3,2,1,有,無,1798775,26383,,0.0,0,含土地增值稅或其他稅費98775元；親友、員工、共有人或其他特殊關係間之交易；,RPTOMLSKJIHGFDC18DA,68.18,0.0,0.0,無,
七堵區,房地(土地+建物),基隆市七堵區南光街２８號,30.88,住,,,1111106,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660115,84.28,3,2,2,有,無,8500000,100854,,0.0,0,遮雨棚、廁所、廚房、前陽台增建,RPUQMLLLJIHGFDC87DA,84.28,0.0,0.0,無,0004
安樂區,房地(土地+建物),基隆市安樂區武嶺街２９７號六樓之５,18.52,都市：其他:住宅區(住一),,,1111102,土地4建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850216,69.68,2,1,1,有,無,3200000,45924,,0.0,0,,RPPNMLTKJIHGFDC77DA,53.86,0.0,5.11,有,
安樂區,房地(土地+建物),基隆市安樂區基金一路１１６號２樓之１１,18.16,,,,1111110,土地4建物2車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850406,105.5,3,2,2,有,有,3680000,34882,,0.0,0,特殊交易：供宗教團體使用,RPPOMLQKJIHGFDC57DA,71.98,0.0,9.8,有,0005
安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１６４弄１３號２樓,25.34,住,,,1111107,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,92.42999999999999,3,2,2,有,有,2700000,29211,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPJJIHGFDC37DA,73.43,0.0,8.78,無,
仁愛區,建物,基隆市仁愛區南新街３１巷６之１號,0.0,,,,1111110,土地0建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710823,79.9,3,2,1,有,無,1900000,23780,,0.0,0,房屋基地座落土地與市府承租。,RPROMLOKJIHGFDC57DA,79.9,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區基金一路１７５巷１８號,53.86,住,,,1111108,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700105,75.9,1,1,1,有,無,3300000,43478,,0.0,0,其他增建；,RPVNMLOLJIHGFDC97DA,75.9,0.0,0.0,無,
中山區,土地,太平段255地號,90.0,住,,,1111110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,7778,,0.0,0,未保存建物已坍塌未登記建物；,RPSRMLNLJIHGFDC97DA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區安一路１００巷２０６之２號,31.25,住,,,1111118,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0610930,87.45,3,2,2,有,無,2440000,27902,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNLJIHGFDC47DA,87.45,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利三街５９號５樓之４,5.21,都市：其他:道路用地,,,1111111,土地7建物1車位0,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860117,28.52,1,1,1,有,有,2000000,70126,,0.0,0,,RPSPMLOKJIHGFDC77DA,19.83,0.0,2.47,有,0006
安樂區,房地(土地+建物),基隆市安樂區基金一路２１０巷１弄３之３號２樓,11.59,住,,,1111116,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830509,48.050000000000004,2,1,1,有,無,2000000,41632,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOLJIHGFDC77EA,36.95,0.0,4.57,有,0007
安樂區,房地(土地+建物)+車位,基隆市安樂區武隆街５５號,128.08,住,,,1111114,土地1建物1車位1,全,三層,透天厝,住家用,鋼筋混凝土造,1110826,199.06,5,2,3,有,無,17500000,87913,一樓平面,0.0,0,,RPPNMLPLJIHGFDC57EA,184.37,0.0,14.69,有,
