鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
信義區,房地(土地+建物)+車位,基隆市信義區東峰街55巷對面,60.83,住,,,1110813,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,221.27,3,2,3,有,無,13000000,62896,坡道平面,36.84,1400000,,RPTOMLPKQHHGFDC48CB,田園調布2-B1區,D棟D6-5~7F號
中正區,房地(土地+建物)+車位,基隆市中正區信五路,21.19,商,,,1110815,土地1建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,136.28,3,2,2,有,無,18380000,123963,塔式車位,2.53,1800000,,RPPNMLPKQHHGFDC08DB,橙品32,C棟0號
中正區,房地(土地+建物)+車位,基隆市中正區調和街266巷,79.61,住,,,1110815,土地3建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,,170.41,3,2,2,有,無,11870000,69578,坡道平面,20.65,1450000,,RPPNMLRKQHHGFDC28DB,僑家大院,J棟6號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,32.82,住,,,1110813,土地7建物1車位2,六層,9,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,203.27,3,2,2,有,無,13590000,91150,坡道平面,82.7,2600000,車位總價中無法拆分個別車位價格,RPVNMLSKQHHGFDC88CB,海豔,E2棟6號
中正區,房地(土地+建物)+車位,基隆市中正區新豐街,43.46,住,,,1110814,土地7建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.37,3,2,2,有,無,14230000,83409,坡道平面,41.35,1300000,,RPWNMLSKQHHGFDC98CB,海豔,A2棟5號
信義區,房地(土地+建物)+車位,基隆市信義區東峰街55巷對面,60.83,住,,,1110816,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,220.72,3,2,3,有,無,13550000,65532,坡道平面,36.84,1500000,,RPPNMLTKQHHGFDC38CB,田園調布2-B1區,B棟B7-5~7F號
中正區,房地(土地+建物)+車位,基隆市中正區信五路,24.75,商,,,1110822,土地1建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,161.17,3,2,2,有,無,23700000,130037,塔式車位,5.06,3400000,,RPPNMLNLQHHGFDC97DB,橙品32,A棟0號
中正區,房地(土地+建物)+車位,基隆市中正區信五路,21.22,商,,,1110822,土地1建物1車位2,十二層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,138.81,3,2,2,有,無,20800000,130093,塔式車位,5.06,3400000,,RPQNMLNLQHHGFDC08DB,橙品32,B棟0號
中正區,房地(土地+建物)+車位,基隆市中正區信五路,12.57,商,,,1110823,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,81.83,2,2,1,有,無,11500000,124086,塔式車位,2.53,1660000,,RPRNMLNLQHHGFDC18DB,橙品32,A棟0號
中正區,房地(土地+建物)+車位,基隆市中正區信五路,21.19,商,,,1110824,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,136.28,3,2,2,有,無,18280000,123963,塔式車位,2.53,1700000,,RPPNMLOLQHHGFDC08DB,橙品32,C棟0號
中山區,房地(土地+建物)+車位,基隆市中山區復興路261號之對面,12.4,商,,,1110811,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.09,2,1,1,有,無,9000000,92739,坡道平面,27.14,1400000,,RPPNMLPLQHHGFDC08CB,新橫濱-星野區,D棟07號
中山區,房地(土地+建物)+車位,基隆市中山區復興路204號之附近,29.72,住,,,1110815,土地1建物1車位1,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.89,3,1,2,有,無,11900000,102807,坡道機械,18.38,950000,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPQNMLPLQHHGFDC18CB,新橫濱-上野區,E棟02號
