編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLMKQHHGFAD87CC,坡道平面,0,,地下三樓
RPTNMLOKQHHGFAD18CC,坡道機械,0,8.28,地下二樓
RPVNMLMKQHHGFAD18CC,坡道平面,0,29.39,地下五樓含以下
RPWRMLPKQHHGFBD09CC,坡道平面,0,,地下三樓
RPROMLPKQHHGFKD66DC,坡道平面,0,22.00,地下二樓
RPXOMLPKQHHGFCD98CC,坡道平面,0,,地下一樓
RPPOMLQKQHHGFCD28CC,坡道平面,0,,地下一樓
RPOPMLQKQHHGFAD08CC,一樓平面,0,15.00,一樓
RPQNMLRKQHHGFBD28CC,一樓平面,0,,一樓
RPXNMLRKQHHGFAD88CC,坡道機械,0,11.17,地下三樓
RPQOMLRKQHHGFAD28CC,坡道機械,0,28.36,地下五樓含以下
RPOOMLRKQHHGFCD28CC,坡道平面,0,40.00,地下二樓
RPSNMLMLQHHGFAD97CC,坡道平面,0,30.66,地下五樓含以下
RPTOMLNLQHHGFKD66CC,坡道機械,0,,地下二樓
RPQPMLNLQHHGFKD09CC,坡道機械,0,,地下二樓
RPWNMLOLQHHGFCD78CC,坡道平面,0,,地下一樓
RPOOMLOLQHHGFAD87CC,坡道平面,0,27.34,地下三樓
RPOOMLOLQHHGFAD87CC,坡道平面,0,27.34,地下三樓
RPVNMLPLQHHGFAD58CC,坡道平面,0,,地下一樓
RPUOMLOLQHHGFAD48CC,坡道平面,0,24.50,地下三樓
RPOOMLPLQHHGFAD97CC,坡道平面,0,33.40,地下四樓
RPPOMLPLQHHGFKD09CC,升降機械,0,,地下二樓
RPPNMLSLQHHGFAD28CC,坡道機械,0,23.36,地下三樓
RPPNMLTLQHHGFAD38CC,坡道平面,0,36.02,地下二樓
RPQNMLTLQHHGFAD48CC,坡道平面,0,26.49,地下三樓
RPQNMLTLQHHGFAD48CC,坡道平面,0,28.87,地下三樓
RPPNMLTLQHHGFCD58CC,坡道平面,0,18.60,地下一樓
RPTOMLKMQHHGFBD18CC,坡道平面,0,25.44,地下二樓
RPWNMLKMQHHGFGD88CC,坡道平面,0,,地下一樓
RPQOMLKMQHHGFAD77CC,坡道平面,0,,地下四樓
RPQOMLKMQHHGFAD77CC,坡道平面,0,,地下四樓
RPXOMLLMQHHGFAD58CC,坡道平面,0,30.50,地下二樓
RPVOMLLMQHHGFCD58CC,一樓平面,0,14.26,一樓
RPSOMLLMQHHGFKD09CC,坡道平面,0,,一樓
RPQOMLLMQHHGFKD88CC,坡道平面,0,21.05,地下二樓
RPXNMLLMQHHGFID66CC,坡道平面,0,16.89,地下三樓
RPVOMLLMQHHGFBD48CC,坡道平面,0,,地下二樓
RPXNMLLJRHHGFKD66CC,坡道平面,0,,地下一樓
RPSNMLMJRHHGFCD08CC,坡道平面,0,41.40,地下二樓
RPPNMLNJRHHGFAD67CC,坡道機械,0,29.39,地下五樓含以下
RPQNMLNJRHHGFAD77CC,坡道平面,0,26.65,地下二樓
RPVNMLPJRHHGFBD58CC,坡道平面,0,,地下二樓
RPUNMLQJRHHGFHD56CC,坡道平面,0,18.12,地下一樓
RPOOMLQJRHHGFCD18CC,坡道機械,0,,地下二樓
RPPNMLPJRHHGFAD87CC,坡道平面,0,32.44,地下二樓
RPUNMLPJRHHGFAD38CC,坡道平面,0,29.75,地下一樓
RPQOMLSJRHHGFAD38CC,坡道平面,0,15.81,地下一樓
RPTNMLSJRHHGFCD78CC,坡道平面,0,,一樓
RPTNMLSJRHHGFCD78CC,坡道平面,0,,一樓
RPRNMLMKRHHGFCD08CC,坡道平面,0,24.43,地下二樓
RPQOMLMKRHHGFCD08CC,坡道機械,0,9.83,地下一樓
RPTRMLMKRHHGFCD68CC,坡道平面,0,,地下一樓
RPUNMLMKRHHGFHD88CC,一樓平面,2000,15.09,一樓
RPUOMLOKRHHGFAD48CC,坡道機械,0,28.37,地下五樓含以下
RPXOMLQKRHHGFCD56CC,坡道平面,0,24.43,地下一樓
RPSNMLQKRHHGFAD38CC,坡道平面,0,33.38,地下二樓
RPROMLQKRHHGFKD76CC,坡道平面,0,,地下四樓
RPSOMLQKRHHGFKD86CC,坡道平面,0,,地下一樓
RPSNMLTKRHHGFCD88CC,一樓平面,0,,一樓
RPUOMLTKRHHGFAD98CC,坡道平面,0,27.34,地下四樓
RPUOMLTKRHHGFAD98CC,坡道平面,0,27.34,地下四樓
RPQNMLKLRHHGFID48CC,一樓平面,0,,一樓
RPQNMLKLRHHGFAD67CC,坡道平面,0,26.65,地下一樓
RPTOMLKLRHHGFAD08CC,坡道平面,2000,27.75,地下二樓
RPQNMLLLRHHGFAD77CC,坡道平面,0,12.94,地下三樓
RPROMLMLRHHGFCD28CC,其他,0,10.53,一樓
RPOOMLNLRHHGFBD97CC,坡道平面,0,,地下二樓
