編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLPKQHHGFFE48CB,靖和段,92.13,都市：住,1,1,全筆移轉,00070016
RPQNMLPKQHHGFFE48CB,靖和段,21.22,都市：住,100,5,持分移轉,00070019
RPPNMLPKQHHGFFE38CB,鹽埔段,26.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,236,持分移轉,00940000
RPQNMLPKQHHGFFE48CB,靖和段,.41,都市：住,100,5,持分移轉,00070030
RPPNMLQKQHHGFEE38CB,左屏段,8.58,都市：住,100000,297,持分移轉,00020000
RPQNMLOKQHHGFLE98CB,後壁寮段,27.07,都市：住,100000,1250,持分移轉,01020000
RPPNMLQKQHHGFDE28CB,中都段四小段,.30,都市：住,100000,535,持分移轉,09520000
RPPNMLQKQHHGFDE28CB,中都段四小段,2.01,都市：商,100000,535,持分移轉,09530000
RPPNMLQKQHHGFDE28CB,中都段四小段,1.19,都市：住,100000,535,持分移轉,09530002
RPPNMLQKQHHGFDE28CB,中都段四小段,3.08,都市：商,100000,535,持分移轉,09530006
RPPNMLQKQHHGFDE28CB,中都段四小段,3.32,都市：商,100000,535,持分移轉,09530007
RPPNMLQKQHHGFDE28CB,中都段四小段,2.21,都市：商,100000,535,持分移轉,09530008
RPPNMLQKQHHGFDE28CB,中都段四小段,1.30,都市：住,100000,535,持分移轉,09530009
RPPNMLOKQHHGFLE88CB,後壁寮段,27.07,都市：住,100000,1250,持分移轉,01020000
RPPNMLQKQHHGFGE58CB,二甲段,20.79,都市：住,10000,70,持分移轉,00340000
RPTNMLQKQHHGFDE68CB,中都段四小段,.24,都市：住,100000,423,持分移轉,09520000
RPTNMLQKQHHGFDE68CB,中都段四小段,1.59,都市：商,100000,423,持分移轉,09530000
RPTNMLQKQHHGFDE68CB,中都段四小段,.94,都市：住,100000,423,持分移轉,09530002
RPQNMLQKQHHGFDE38CB,中都段四小段,.30,都市：住,100000,535,持分移轉,09520000
RPTNMLQKQHHGFDE68CB,中都段四小段,2.43,都市：商,100000,423,持分移轉,09530006
RPQNMLQKQHHGFDE38CB,中都段四小段,2.01,都市：商,100000,535,持分移轉,09530000
RPTNMLQKQHHGFDE68CB,中都段四小段,2.63,都市：商,100000,423,持分移轉,09530007
RPQNMLQKQHHGFDE38CB,中都段四小段,1.19,都市：住,100000,535,持分移轉,09530002
RPTNMLQKQHHGFDE68CB,中都段四小段,1.75,都市：商,100000,423,持分移轉,09530008
RPQNMLQKQHHGFDE38CB,中都段四小段,3.08,都市：商,100000,535,持分移轉,09530006
RPTNMLQKQHHGFDE68CB,中都段四小段,1.03,都市：住,100000,423,持分移轉,09530009
RPQNMLQKQHHGFDE38CB,中都段四小段,3.32,都市：商,100000,535,持分移轉,09530007
RPQNMLQKQHHGFDE38CB,中都段四小段,2.21,都市：商,100000,535,持分移轉,09530008
RPQNMLQKQHHGFDE38CB,中都段四小段,1.30,都市：住,100000,535,持分移轉,09530009
RPRNMLQKQHHGFEE58CB,援中段一小段,12.01,都市：住,10000,31,持分移轉,00960000
RPRNMLQKQHHGFEE58CB,援中段一小段,7.00,都市：商,10000,31,持分移轉,01000000
RPPNMLRKQHHGFEE48CB,左屏段,15.37,都市：住,100000,532,持分移轉,00020000
RPSNMLQKQHHGFEE68CB,援中段二小段,12.00,都市：住,10000,38,持分移轉,00490000
RPPNMLRKQHHGFDE38CB,灣中段,5.91,都市：商,100000,222,持分移轉,00630000
RPQNMLRKQHHGFIE98CB,保安段,26.32,都市：住,100000,2017,持分移轉,04080000
RPUOMLSKQHHGFGE76CB,勝利段,17.07,都市：住,100000,239,持分移轉,00090000
RPPNMLRKQHHGFLE56CB,後壁寮段,27.07,都市：住,100000,1250,持分移轉,01020000
RPQNMLSKQHHGFGE88CB,勝利段,17.07,都市：住,100000,239,持分移轉,00090000
RPUNMLSKQHHGFGE66CB,勝利段,23.28,都市：住,100000,326,持分移轉,00090000
RPPNMLSKQHHGFEE58CB,惠民段,11.62,都市：住,10000,15,持分移轉,00230000
RPPNMLSKQHHGFIE98CB,草潭段,27.48,都市：住,100000,1741,持分移轉,11470000
RPUQMLSKQHHGFGE96CB,勝利段,20.21,都市：住,100000,283,持分移轉,00090000
RPTSMLSKQHHGFGE07CB,勝利段,20.21,都市：住,100000,283,持分移轉,00090000
RPWQMLSKQHHGFGE17CB,勝利段,15.57,都市：住,100000,218,持分移轉,00090000
RPQNMLTKQHHGFJE66CB,圍子內段,35.51,都市：住,10000,354,持分移轉,35260000
RPOTMLSKQHHGFGE66CB,保成段,106.90,都市：住,1,1,全筆移轉,01370008
RPPNMLTKQHHGFJE56CB,圍子內段,37.01,都市：住,10000,369,持分移轉,35260000
RPQRMLSKQHHGFGE66CB,勝利段,20.21,都市：住,100000,283,持分移轉,00090000
RPPRMLSKQHHGFGE56CB,勝利段,17.07,都市：住,100000,239,持分移轉,00090000
RPRNMLTKQHHGFJE76CB,圍子內段,34.90,都市：住,10000,348,持分移轉,35260000
RPQNMLTKQHHGFAE38CB,大智段,.14,都市：商,100000,135,持分移轉,07280000
RPQNMLTKQHHGFAE38CB,大智段,.18,都市：商,100000,135,持分移轉,07290000
RPQNMLTKQHHGFAE38CB,大智段,.00,都市：商,100000,135,持分移轉,07300000
RPQNMLTKQHHGFAE38CB,大智段,.06,都市：商,100000,135,持分移轉,07320000
RPQNMLTKQHHGFAE38CB,大智段,.05,都市：商,100000,135,持分移轉,07330000
RPQNMLTKQHHGFAE38CB,大智段,.12,都市：商,100000,135,持分移轉,07340000
RPQNMLTKQHHGFAE38CB,大智段,.04,都市：商,100000,135,持分移轉,07350000
RPQNMLTKQHHGFAE38CB,大智段,.14,都市：商,100000,135,持分移轉,07370000
RPQNMLTKQHHGFAE38CB,大智段,.13,都市：商,100000,135,持分移轉,07380000
RPQNMLTKQHHGFAE38CB,大智段,.08,都市：商,100000,135,持分移轉,07420000
RPQNMLTKQHHGFAE38CB,大智段,.07,都市：商,100000,135,持分移轉,07430000
RPQNMLTKQHHGFAE38CB,大智段,.08,都市：商,100000,135,持分移轉,07440000
RPQNMLTKQHHGFAE38CB,大智段,.07,都市：商,100000,135,持分移轉,07450000
RPQNMLTKQHHGFAE38CB,大智段,.02,都市：商,100000,135,持分移轉,07460000
RPQNMLTKQHHGFAE38CB,大智段,.01,都市：商,100000,135,持分移轉,07470000
RPQNMLTKQHHGFAE38CB,大智段,.06,都市：商,100000,135,持分移轉,07480000
RPQNMLTKQHHGFAE38CB,大智段,.13,都市：商,100000,135,持分移轉,07490000
RPQNMLTKQHHGFAE38CB,大智段,.03,都市：商,100000,135,持分移轉,07500000
RPQNMLTKQHHGFAE38CB,大智段,.01,都市：商,100000,135,持分移轉,07510000
RPQNMLTKQHHGFAE38CB,大智段,.06,都市：商,100000,135,持分移轉,07520000
RPQNMLTKQHHGFAE38CB,大智段,.47,都市：商,100000,135,持分移轉,07530000
RPQNMLTKQHHGFAE38CB,大智段,.23,都市：商,100000,135,持分移轉,07540000
RPQNMLTKQHHGFAE38CB,大智段,1.84,都市：商,100000,135,持分移轉,07550000
RPQNMLTKQHHGFAE38CB,大智段,.11,都市：商,100000,135,持分移轉,07560000
RPQNMLTKQHHGFAE38CB,大智段,.09,都市：商,100000,135,持分移轉,07570000
RPQNMLTKQHHGFAE38CB,大智段,.09,都市：商,100000,135,持分移轉,07580000
RPQNMLTKQHHGFAE38CB,大智段,.09,都市：商,100000,135,持分移轉,07590000
RPQNMLTKQHHGFAE38CB,大智段,.09,都市：商,100000,135,持分移轉,07600000
RPQNMLTKQHHGFAE38CB,大智段,.02,都市：商,100000,135,持分移轉,07660000
RPQNMLTKQHHGFAE38CB,大智段,.02,都市：商,100000,135,持分移轉,07680000
RPQNMLTKQHHGFAE38CB,大智段,.02,都市：商,100000,135,持分移轉,07690000
RPQNMLTKQHHGFAE38CB,大智段,.02,都市：商,100000,135,持分移轉,07710000
RPQNMLTKQHHGFAE38CB,大智段,.03,都市：商,100000,135,持分移轉,07720000
RPQNMLTKQHHGFAE38CB,大智段,.35,都市：商,100000,135,持分移轉,07740000
RPPNMLTKQHHGFFE78CB,安東段,84.32,都市：住,1,1,全筆移轉,08380002
RPPNMLLLQHHGFEE97CB,藍田西段,12.21,都市：住,1000000,2462,持分移轉,02770000
RPRNMLLLQHHGFEE18CB,藍田西段,12.09,都市：住,1000000,2438,持分移轉,02770000
RPSNMLLLQHHGFEE28CB,藍田西段,12.45,都市：住,1000000,2511,持分移轉,02770000
