編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLLKQHHGFAE67CC,坡道平面,0,,地下三樓
RPUNMLLKQHHGFEE48CC,坡道機械,2600,18.11,地下五樓含以下
RPSPMLLKQHHGFEE48CC,坡道機械,0,,地下二樓
RPOPMLLKQHHGFEE08CC,坡道機械,0,10.00,地下三樓
RPTOMLLKQHHGFCE28CC,坡道機械,0,13.51,地下二樓
RPXNMLLKQHHGFCE58CC,坡道平面,0,40.15,地下一樓
RPXNMLLKQHHGFCE58CC,坡道平面,0,40.15,地下一樓
RPXNMLLKQHHGFGE98CC,升降機械,2000,17.42,地下二樓
RPQPMLLKQHHGFGE48CC,坡道平面,0,19.23,地下一樓
RPPPMLLKQHHGFGE38CC,坡道平面,0,19.23,地下一樓
RPUPMLLKQHHGFGE88CC,坡道平面,0,15.34,地下二樓
RPSPMLLKQHHGFGE68CC,坡道平面,0,19.23,地下一樓
RPROMLMKQHHGFFE48CC,坡道平面,0,12.00,地下一樓
RPROMLMKQHHGFCE18CC,坡道平面,0,23.00,地下二樓
RPSOMLMKQHHGFCE28CC,坡道平面,0,41.03,地下四樓
RPUOMLMKQHHGFEE68CC,坡道平面,0,16.11,地下三樓
RPVOMLMKQHHGFEE78CC,坡道平面,0,16.11,地下三樓
RPUNMLMKQHHGFBE28CC,坡道平面,2200,14.65,地下一樓
RPRNMLNKQHHGFBE08CC,坡道機械,0,,地下三樓
RPXNMLMKQHHGFAE48CC,坡道機械,0,10.35,地下三樓
RPPNMLNKQHHGFEE18CC,坡道平面,0,16.11,地下三樓
RPPNMLNKQHHGFDE08CC,坡道平面,0,34.69,地下三樓
RPPNMLNKQHHGFCE97CC,坡道平面,0,31.92,地下三樓
RPOPMLPKQHHGFIE88CC,坡道平面,0,32.39,地下一樓
RPROMLPKQHHGFCE48CC,坡道平面,0,,地下一樓
RPWOMLPKQHHGFFE66CC,坡道平面,0,27.99,地下二樓
RPUOMLPKQHHGFEE98CC,坡道機械,0,,地下一樓
RPRNMLPKQHHGFBE28CC,坡道平面,0,,一樓
RPROMLPKQHHGFAE28CC,坡道機械,0,5.61,地下二樓
RPTNMLQKQHHGFEE88CC,坡道平面,0,28.73,地下三樓
RPQQMLQKQHHGFEE88CC,坡道平面,0,,地下一樓
RPOPMLQKQHHGFDE48CC,坡道平面,0,,地下四樓
