編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLSLJIHGFDF48DA,江北段,39.02,都市：其他:第二種住宅區,1,1,全筆移轉,02070000
RPVOMLRJKIHGFEF68DA,大義段,2.32,都市：其他:公園用地,100000,426,持分移轉,09330000
RPSNMLLJKIHGFBF37DA,昌隆段,10.71,都市：其他:住宅區,100000,6591,持分移轉,00090000
RPRPMLPJKIHGFIF58DA,水源段,14.06,都市：其他:公園用地(兼供道路使用),120,7,持分移轉,05890000
RPWNMLLJKIHGFCF87DA,北新段,24.94,都市：其他:道路用地,20,7,持分移轉,00870001
RPWNMLLJKIHGFCF87DA,北新段,18.86,都市：其他:道路用地,5000,817,持分移轉,00900001
RPWNMLTJJIHGFBF58EA,陸光段,22.40,都市：其他:住宅區,10000,217,持分移轉,05340000
RPQSMLRJJIHGFAF08DA,柑林段,165.36,非都市：特定專用區 ; 非都市編定：林業用地,192,19,持分移轉,09610000
RPQSMLRJJIHGFAF08DA,柑林段,1.48,非都市：特定專用區 ; 非都市編定：林業用地,192,19,持分移轉,09610001
RPPNMLNJJIHGFDF37DA,新峰段,6.44,都市：其他:第二種住宅區,48,1,持分移轉,10220000
RPPNMLNJJIHGFDF37DA,新峰段,1.19,都市：其他:第二種住宅區,48,1,持分移轉,10260000
RPPNMLNJJIHGFDF37DA,新峰段,.04,都市：其他:第二種住宅區,48,1,持分移轉,11080001
SPTQMLRJJIHGFEF78EA,老梅段九芎林小段,.09,非都市：一般農業區 ; 非都市編定：農牧用地,4000,1,持分移轉,01120001
UPTQMLRJJIHGFEF98EA,老梅段九芎林小段,.63,非都市：一般農業區 ; 非都市編定：農牧用地,4000,7,持分移轉,01120001
RPTQMLRJJIHGFEF68EA,老梅段九芎林小段,.72,非都市：一般農業區 ; 非都市編定：農牧用地,4000,8,持分移轉,01120001
TPTQMLRJJIHGFEF88EA,老梅段九芎林小段,.54,非都市：一般農業區 ; 非都市編定：農牧用地,4000,6,持分移轉,01120001
RPTNMLLJJIHGFEF67DA,長坑段,330.58,都市：其他:保護區,100000000,276632,持分移轉,01920000
RPORMLRJJIHGFAF77DA,柑林段,81.00,非都市：特定專用區 ; 非都市編定：林業用地,7200,349,持分移轉,09610000
RPORMLRJJIHGFAF77DA,柑林段,.73,非都市：特定專用區 ; 非都市編定：林業用地,7200,349,持分移轉,09610001
RPUTMLRJJIHGFAF58DA,柑林段,82.39,非都市：特定專用區 ; 非都市編定：林業用地,57600,2840,持分移轉,09610000
RPUTMLRJJIHGFAF58DA,柑林段,.74,非都市：特定專用區 ; 非都市編定：林業用地,57600,2840,持分移轉,09610001
RPPNMLTJJIHGFHF48EA,健康段,25.39,都市：其他:乙種工業區,100000,81,持分移轉,11590000
