鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
五股區,建物,新北市五股區芳洲五路３號二十二樓,0.0,住,,,1110728,土地0建物1車位0,二十二層,25,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1031117,238.03,4,2,2,有,有,有,28000,118,,0.0,0,,RPOOMLLKQHHGFBF77CC
林口區,建物,新北市林口區仁愛路一段２９０巷１２號三樓,0.0,商,,,1110729,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1020201,99.32,3,1,1,有,有,有,21000,211,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為23334元，選擇代管方案須打9折，實際租賃契約金額為21000元。水電瓦斯費及每月管理費2000元由承租人負擔。,RPXOMLLKQHHGFBF68CC
新莊區,建物,新北市新莊區中央路２４０號十六樓,0.0,商,,,1110724,土地0建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030826,185.59,2,2,2,有,有,有,40000,216,坡道平面,43.16,0,租金含管理費。,RPPQMLLKQHHGFBF08CC
新莊區,建物,新北市新莊區中正路８９５之１號五樓,0.0,住,,,1110729,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0770614,51.32,1,1,1,有,無,有,17000,331,,0.0,0,部分承租。租金含水費。,RPRQMLLKQHHGFBF28CC
林口區,建物,新北市林口區文化二路二段１４５號九樓之三,0.0,其他,,,1110727,土地0建物1車位1,九層,19,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1001101,197.66,3,2,2,有,有,有,41000,207,坡道平面,21.52,0,租金含管理費。,RPWQMLLKQHHGFBF78CC
五股區,建物,新北市五股區成泰路一段３２巷３７號７樓,0.0,住,,,1110810,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860306,90.18,3,1,2,有,有,有,17808,197,,0.0,0,本案屬國家住宅及都市更新中心辦理社會住宅包租代管第2期計劃,RPORMLLKQHHGFBF08CC
三重區,建物,新北市三重區錦通街６號,0.0,住,,,1110728,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0660127,47.0,3,1,1,有,無,有,25000,532,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27800，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額25000。,RPXNMLLKQHHGFGF09CC
三重區,建物,新北市三重區仁化街３１巷８弄３３號二樓,0.0,住,,,1110720,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700422,31.0,2,1,1,有,無,有,14000,452,,0.0,0,,RPOOMLLKQHHGFGF28CC
三重區,建物,新北市三重區重新路四段１８４巷２５弄１２號三樓,0.0,其他,,,1110730,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0670605,54.0,2,1,1,有,無,有,17000,315,,0.0,0,,RPROMLLKQHHGFGF58CC
三重區,建物,新北市三重區成功路１００號９樓之１,0.0,商,,,1110802,土地0建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041105,92.53999999999999,2,1,1,有,有,有,24500,265,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為27300，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額24500。管理費2218元,RPUOMLLKQHHGFGF88CC
三重區,建物,新北市三重區仁壽街５４號五樓,0.0,住,,,1110722,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830614,62.56,2,1,1,有,無,有,20000,320,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為22223元，選擇代管方案須打9折，實際租賃契約金額為20000元。每月水電費由承租人負擔。,RPRPMLLKQHHGFGF68CC
三重區,建物,新北市三重區光興街４１巷７號四樓,0.0,住,,,1110801,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700622,65.0,3,1,1,有,無,有,12000,185,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為13334元，選擇代管方案須打9折，實際租賃契約金額為12000元。每月水電瓦斯費由承租人負擔。,RPSPMLLKQHHGFGF78CC
三重區,建物,新北市三重區中正北路３９４巷４弄１２號５樓,0.0,住,,,1110729,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830201,80.42,2,1,1,有,無,有,15000,187,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為21600，因新北市計劃租金上限為35000，選擇代租方案須打九折且簽約租金無條件捨去至百分位，實際租賃契約金額15000。,RPRQMLLKQHHGFGF78CC
三重區,建物,新北市三重區光復路１段８５號６樓,0.0,工,,,1110713,土地0建物1車位1,六層,10,廠辦,工業用,鋼筋混凝土造,0801220,463.59000000000003,8,1,1,有,有,有,100000,216,坡道平面,66.89,0,,RPVQMLLKQHHGFGF56CC
