編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWQMLLKQHHGFBF78CC,坡道平面,0,21.52,地下一樓
RPPQMLLKQHHGFBF08CC,坡道平面,0,43.16,地下三樓
RPVQMLLKQHHGFGF56CC,坡道平面,0,66.89,地下一樓
RPXOMLLKQHHGFHF66CC,坡道平面,0,31.63,地下二樓
RPOPMLLKQHHGFHF48CC,坡道平面,0,31.63,地下一樓
RPPUMLLKQHHGFCF58CC,坡道平面,0,29.64,地下五樓含以下
RPSPMLLKQHHGFAF18CC,坡道平面,0,32.26,地下五樓含以下
RPTOMLMKQHHGFEF68CC,坡道平面,0,30.58,地下三樓
RPUPMLMKQHHGFAF48CC,坡道平面,0,26.43,地下二樓
RPTOMLMKQHHGFAF28CC,坡道平面,0,23.22,地下三樓
RPRPMLMKQHHGFDF48CC,坡道平面,0,,地下二樓
RPOPMLMKQHHGFDF18CC,坡道平面,0,35.83,地下一樓
RPOUMLMKQHHGFIF56CC,坡道平面,0,33.19,地下四樓
RPTSMLMKQHHGFIF86CC,坡道平面,0,39.03,地下二樓
RPOOMLMKQHHGFGF38CC,坡道平面,0,36.04,地下一樓
RPPPMLMKQHHGFGF58CC,坡道機械,0,20.49,地下三樓
RPSPMLMKQHHGFGF88CC,坡道平面,0,20.19,地下二樓
RPROMLMKQHHGFBF18CC,坡道平面,0,40.48,地下一樓
RPPNMLNKQHHGFBF97CC,坡道平面,0,43.36,地下四樓
RPQNMLNKQHHGFBF08CC,坡道平面,0,35.80,地下二樓
RPTNMLNKQHHGFBF38CC,坡道平面,0,,地下三樓
RPUNMLNKQHHGFBF48CC,坡道平面,0,,地下二樓
RPSQMLPKQHHGFEF09CC,坡道機械,2000,4.20,地下一樓
RPQOMLPKQHHGFBF38CC,坡道平面,0,26.81,地下三樓
RPQPMLPKQHHGFBF48CC,坡道平面,3000,33.06,地下二樓
RPOOMLQKQHHGFBF28CC,坡道平面,0,28.34,地下一樓
RPOOMLQKQHHGFBF28CC,坡道平面,0,28.34,地下一樓
RPQPMLRKQHHGFEF98CC,坡道平面,0,19.34,地下二樓
RPSOMLRKQHHGFCF88CC,坡道平面,0,,地下一樓
RPQQMLRKQHHGFHF76CC,坡道平面,4000,41.21,地下四樓
RPRRMLRKQHHGFHF96CC,升降機械,3501,54.86,地下二樓
RPRRMLRKQHHGFBF98CC,坡道平面,3000,31.24,地下二樓
RPRRMLRKQHHGFBF98CC,坡道平面,3000,31.24,地下二樓
RPVNMLSKQHHGFBF09CC,坡道機械,3000,17.18,地下一樓
RPXPMLSKQHHGFBF86CC,坡道平面,0,,地下二樓
RPXPMLSKQHHGFBF86CC,坡道平面,0,,地下二樓
RPXPMLSKQHHGFBF86CC,坡道平面,0,,地下二樓
RPXPMLSKQHHGFBF86CC,坡道平面,0,,地下二樓
RPXPMLSKQHHGFBF86CC,坡道平面,0,,地下二樓
RPWPMLSKQHHGFBF76CC,坡道平面,0,,地下二樓
RPUOMLSKQHHGFDF66CC,坡道平面,0,,地下二樓
RPTOMLSKQHHGFAF88CC,坡道平面,0,37.27,地下四樓
RPPNMLSKQHHGFEF78CC,坡道平面,0,29.31,地下一樓
RPQNMLSKQHHGFEF88CC,坡道機械,0,15.23,地下五樓含以下
RPSNMLTKQHHGFEF56CC,坡道平面,0,29.61,地下三樓
RPSNMLTKQHHGFEF56CC,坡道平面,0,27.65,地下三樓
RPTNMLTKQHHGFEF66CC,坡道平面,0,29.20,地下三樓
RPUNMLTKQHHGFBF09CC,坡道平面,0,20.38,地下三樓
RPPPMLTKQHHGFBF78CC,坡道平面,3000,33.06,地下一樓
RPROMLTKQHHGFGF76CC,坡道平面,0,42.31,地下三樓
RPTOMLTKQHHGFGF96CC,坡道平面,0,42.31,地下三樓
RPSOMLTKQHHGFGF86CC,坡道平面,0,,地下三樓
RPURMLTKQHHGFBF86CC,坡道平面,0,36.14,地下五樓含以下
RPVOMLTKQHHGFGF17CC,坡道平面,0,42.31,地下三樓
RPOPMLTKQHHGFGF56CC,坡道平面,0,35.32,地下三樓
RPPNMLKLQHHGFIF48CC,坡道平面,0,27.32,地下三樓
RPSOMLTKQHHGFIF07CC,坡道機械,0,19.02,地下四樓
RPSOMLTKQHHGFIF07CC,坡道機械,0,19.02,地下四樓
RPVNMLKLQHHGFAF28CC,坡道平面,0,33.64,地下四樓
RPRQMLMLQHHGFEF78CC,坡道平面,2100,21.77,地下三樓
RPRRMLMLQHHGFEF88CC,坡道平面,0,33.18,地下三樓
RPURMLMLQHHGFHF86CC,坡道平面,0,23.50,地下五樓含以下
RPRNMLMLQHHGFBF18CC,坡道平面,0,36.99,地下一樓
RPSQMLMLQHHGFBF58CC,坡道平面,0,29.24,地下三樓
RPSPMLMLQHHGFIF56CC,坡道機械,0,19.89,地下一樓
RPUQMLNLQHHGFGF76CC,坡道平面,0,28.96,地下二樓
RPSNMLNLQHHGFIF09CC,升降平面,0,33.61,地下二樓
RPQPMLNLQHHGFDF58CC,坡道平面,0,23.03,地下五樓含以下
RPVPMLNLQHHGFDF09CC,升降平面,0,28.84,地下一樓
RPOPMLNLQHHGFHF78CC,坡道機械,0,21.29,地下三樓
RPOPMLNLQHHGFAF08CC,坡道平面,5000,,地下五樓含以下
RPOPMLNLQHHGFAF08CC,坡道平面,0,,地下五樓含以下
RPSQMLOLQHHGFEF09CC,坡道平面,0,31.80,地下三樓
RPVPMLOLQHHGFEF66CC,坡道平面,0,34.96,地下一樓
RPWOMLOLQHHGFGF86CC,坡道平面,0,43.71,地下二樓
RPSNMLOLQHHGFIF56CC,坡道平面,0,39.83,地下五樓含以下
RPOOMLPLQHHGFBF28CC,坡道平面,3000,27.75,地下一樓
RPPONLPLQHHGFBF48CC,坡道平面,266,31.78,地下二樓
