鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,土地,下路頭段210-38地號,19.0,住,,,1111201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,160000,8421,,0.0,0,包含公共設施保留地用地；,RPXNMLPJKIHGFAI58EA,0.0,0.0,0.0,無,001
嘉義市,土地,檜段三小段51-2地號,19.75,住,,,1111101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,131646,,0.0,0,嘉義市檜段三小段50-2地號交易價格為新台幣150萬元整。另外二筆同小段50地號、51-2地號交易價格合計為新台幣110萬元整,RPQNMLLJJIHGFAI27DA,0.0,0.0,0.0,無,
嘉義市,土地,埤子頭段新厝小段273地號,81.0,都市：其他:道路用地,,,1111103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,3457,,0.0,0,道路用地包含公共設施保留地用地；,RPTNMLNJJIHGFAI77DA,0.0,0.0,0.0,無,002
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雙竹街２２號三樓,16.84,住,,,1111103,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821117,93.7,3,2,2,有,有,3520000,37567,坡道機械,0.0,0,車位故障，由買方自行修繕。,RPVNMLKKJIHGFAI77DA,59.45,3.87,11.74,有,
嘉義市,房地(土地+建物),嘉義市嘉義市臺林街２３０號,102.0,住,,,1111101,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土構造,1100709,208.9,4,3,7,有,無,30000000,143609,,0.0,0,,RPPNMLKKJIHGFAI17DA,201.03,0.0,7.87,有,
嘉義市,房地(土地+建物),嘉義市嘉義市國華街２９０號２樓３,8.21,商,,,1111104,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0771108,50.169999999999995,1,1,1,有,有,1300000,25912,,0.0,0,,RPQNMLOKJIHGFAI67DA,36.53,0.0,6.45,有,
嘉義市,房地(土地+建物),嘉義市嘉義市公園街９５巷３３號,79.0,住,,,1111104,土地1建物1車位0,全,二層,透天厝,住家用,見使用執照,0620122,86.76,3,2,2,有,無,4700000,54172,,0.0,0,,RPUOMLPKJIHGFAI28DA,86.76,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市博愛新村６８號,44.0,住,,,1111102,土地2建物1車位0,全,一層,透天厝,住家用,木造,0560820,37.12,1,1,1,有,無,1100000,29634,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLMJJIHGFAI08DA,37.12,0.0,0.0,無,003
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路１８３號８樓１７,7.74,住,,,1111104,土地1建物1車位0,八層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,64.25,1,1,1,有,有,3500000,54475,,0.0,0,,RPQPMLPKJIHGFAI97DA,32.01,0.0,14.51,有,004
嘉義市,土地,同興段763-17地號,5.38,住,,,1111108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,134000,24907,,0.0,0,,RPXNMLQKJIHGFAI58DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新３４２號二樓５,20.84,住,,,1111104,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741129,79.91,2,2,2,有,有,4550000,56939,,0.0,0,陽台外推；,RPPNMLRKJIHGFAI87DA,57.8,0.0,6.48,有,005
嘉義市,房地(土地+建物),嘉義市嘉義市溪興街１５３巷３０弄２０號２樓１,32.9,住,,,1111104,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711116,109.21,3,2,2,有,無,4780000,43769,,0.0,0,,RPRNMLRKJIHGFAI08DA,95.58,0.0,0.0,無,006
