編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRKJIHGFAI87DA,37,64.28,住家用,鋼筋混凝土造,74年11月29日,五層,二層 陽台,全筆移轉
RPPNMLRKJIHGFAI87DA,37,11.23,共有部份,鋼筋混凝土造,74年11月29日,五層,,持分移轉
RPPNMLRKJIHGFAI87DA,37,4.40,共有部份,鋼筋混凝土造,74年11月29日,五層,,持分移轉
RPRNMLRKJIHGFAI08DA,40,13.63,共有部份,鋼筋混凝土造,71年11月16日,五層,,持分移轉
RPRNMLRKJIHGFAI08DA,40,95.58,住家用,鋼筋混凝土造,71年11月16日,五層,二層,全筆移轉
RPTNMLRKJIHGFAI28DA,47,65.87,住家用,鋼筋混凝土加強磚造,65年2月10日,四層,四層,全筆移轉
RPPNMLTJJIHGFAI97DA,15,8.36,辦公室,鋼筋混凝土造,97年3月3日,四層,四層 陽台,全筆移轉
RPPNMLTJJIHGFAI97DA,15,5.66,共有部份,鋼筋混凝土造,97年3月3日,四層,,持分移轉
RPPNMLKKJIHGFAI17DA,1,208.90,店舖、住宅、樓梯間,鋼筋混凝土構造,110年7月9日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPVNMLKKJIHGFAI77DA,29,75.06,住家用,鋼筋混凝土造,82年11月17日,七層,三層 陽台 花台,全筆移轉
RPVNMLKKJIHGFAI77DA,29,7.11,共有部份,鋼筋混凝土造,82年11月17日,七層,,持分移轉
RPVNMLKKJIHGFAI77DA,29,11.53,共有部份,鋼筋混凝土造,82年11月17日,七層,,持分移轉
RPRNMLLLJIHGFAI67EA,30,122.08,住家用,鋼筋混凝土造,81年8月28日,十六層,十三層 陽台 花台,全筆移轉
RPRNMLLLJIHGFAI67EA,30,21.88,共有部份,鋼筋混凝土造,81年8月28日,十六層,,持分移轉
RPRNMLLLJIHGFAI67EA,30,25.53,共有部份,鋼筋混凝土造,81年8月28日,十六層,,持分移轉
RPQPMLPKJIHGFAI97DA,29,7.65,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPQPMLPKJIHGFAI97DA,29,10.08,共有部份,鋼筋混凝土造,82年6月9日,十六層,,持分移轉
RPQPMLPKJIHGFAI97DA,29,46.52,住家用,鋼筋混凝土造,82年6月9日,十六層,八層 陽台,全筆移轉
RPUOMLPKJIHGFAI28DA,50,86.76,住家用,見使用執照,62年1月22日,二層,一層 二層,全筆移轉
RPQNMLOKJIHGFAI67DA,34,42.98,商業用,鋼筋混凝土造,77年11月8日,七層,二層 陽台,全筆移轉
RPQNMLOKJIHGFAI67DA,34,7.19,共有部份,鋼筋混凝土造,77年11月8日,七層,,持分移轉
RPSNMLSKJIHGFAI28DA,30,84.36,住家用,鋼筋混凝土造,81年12月31日,五層,五層 陽台,全筆移轉
RPOOMLSKJIHGFAI97DA,4,44.12,一般事務所,鋼筋混凝土構造,107年12月11日,五層,五層 陽台,全筆移轉
RPOOMLSKJIHGFAI97DA,4,10.13,本共有部分之項目有停車空間、管委會空間、公共梯間、樓電梯間及水箱等５項,鋼筋混凝土構造,107年12月11日,五層,,持分移轉
RPSNMLSKJIHGFAI28DA,30,13.76,共有部份,鋼筋混凝土造,81年12月31日,五層,,持分移轉
RPWNMLSKJIHGFAI68DA,50,88.99,住家用,木造,61年9月21日,二層,一層 二層 騎樓,全筆移轉
RPSNMLSKJIHGFAI28DA,30,13.68,共有部份,鋼筋混凝土造,81年12月31日,五層,,持分移轉
RPROMLSKJIHGFAI28DA,36,112.19,住家用,鋼筋混凝土造,75年11月19日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPWNMLMLJIHGFAI28EA,40,7.52,共有部份,鋼筋混凝土造,71年12月30日,五層,,持分移轉
RPWNMLMLJIHGFAI28EA,40,97.92,住家用,鋼筋混凝土造,71年12月30日,五層,五層,全筆移轉
RPWNMLMLJIHGFAI28EA,40,8.40,共有部份,鋼筋混凝土造,71年12月30日,五層,,持分移轉
RPPPMLOLJIHGFAI97EA,32,65.40,住家用,鋼筋混凝土造,79年10月15日,七層,五層 陽台,全筆移轉
RPPPMLOLJIHGFAI97EA,32,9.49,共有部份,鋼筋混凝土造,79年10月15日,七層,,持分移轉
RPVNMLMLJIHGFAI08DA,50,89.09,住家用,鋼筋混凝土木磚造,62年1月22日,二層,一層 二層,全筆移轉
RPVOMLMLJIHGFAI18DA,30,53.83,住家用,鋼筋混凝土造,81年7月28日,十四層,三層 陽台,全筆移轉
RPVOMLMLJIHGFAI18DA,30,6.64,共有部份,鋼筋混凝土造,81年7月28日,十四層,,持分移轉
RPVOMLMLJIHGFAI18DA,30,10.31,共有部份,鋼筋混凝土造,81年7月28日,十四層,,持分移轉
RPPOMLNLJIHGFAI67DA,31,17.20,停車場、住房、避難室,鋼筋混凝土造,80年5月15日,九層,地下層,持分移轉
RPROMLSLJIHGFAI38DA,43,95.98,住家用,鋼筋混凝土造,68年12月18日,二層,一層 二層,全筆移轉
RPTNMLTLJIHGFAI58DA,28,106.18,住家用,鋼筋混凝土造,83年5月30日,十二層,八層 陽台,全筆移轉
RPTNMLTLJIHGFAI58DA,28,28.59,共有部份,鋼筋混凝土造,83年5月30日,十二層,,持分移轉
RPPOMLLLJIHGFAI47DA,28,106.02,住家用,鋼筋混凝土造,83年12月19日,十四層,八層 陽台 花台,全筆移轉
RPPOMLLLJIHGFAI47DA,28,27.10,共有部份,鋼筋混凝土造,83年12月19日,十四層,,持分移轉
RPPOMLLLJIHGFAI47DA,28,.14,共有部份,鋼筋混凝土造,83年12月19日,十四層,,持分移轉
RPPOMLLLJIHGFAI47DA,28,.56,守衛室,鋼筋混凝土造,83年12月19日,十四層,一層 二層,持分移轉
RPVNMLTLJIHGFAI78DA,38,181.15,住家用,加強磚造,73年12月14日,二層,一層 二層 電梯樓梯間,全筆移轉
RPVNMLSLJIHGFAI68DA,42,9.09,共有部份,鋼筋混凝土加強磚造,69年9月17日,四層,,持分移轉
RPVNMLSLJIHGFAI68DA,42,83.17,集合住宅,鋼筋混凝土加強磚造,69年9月17日,四層,四層,全筆移轉
RPWOMLOLJIHGFAI48DA,41,97.96,廠房、倉庫,鋼筋混凝土加強磚造,70年10月2日,二層,一層 二層,全筆移轉
RPSOMLOLJIHGFAI08DA,30,63.68,住家用,鋼筋混凝土造,82年2月9日,七層,七層 陽台,全筆移轉
RPSOMLOLJIHGFAI08DA,30,14.10,共有部份,鋼筋混凝土造,82年2月9日,七層,,持分移轉
RPSOMLOLJIHGFAI08DA,30,11.79,共有部份,鋼筋混凝土造,82年2月9日,七層,,持分移轉
