鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
嘉義市,房地(土地+建物),嘉義市嘉義市湖美一路,94.23,住,,,1110814,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,201.93,4,3,5,有,無,19000000,94092,,0.0,0,,RPPNMLOKQHHGFAI18CB,琉璃寶悅,A2棟1號
嘉義市,房地(土地+建物),嘉義市嘉義市下埤路53巷,106.29,住,,,1110813,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,176.31,4,2,5,有,無,10300000,58420,,0.0,0,,RPTNMLPKQHHGFAI68CB,覓境,A棟11號
嘉義市,房地(土地+建物),嘉義市嘉義市健康二路,90.84,其他,,,1110815,土地1建物1車位0,全,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,,194.05,0,5,5,有,無,15480000,79773,,0.0,0,,RPPNMLRKQHHGFAI48CB,松町5,A棟1號
嘉義市,房地(土地+建物),嘉義市嘉義市新生路,99.76,住,,,1110812,土地4建物1車位0,一至四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,305.19,3,2,4,有,無,27780000,91025,,0.0,0,THEONEE2戶/有電梯,RPXNMLMLQHHGFAI88CB,勃朗峰、THEONE,E棟2號
嘉義市,房地(土地+建物),嘉義市嘉義市新生路,114.75,住,,,1110814,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,284.27,3,2,3,有,無,33120000,116509,,0.0,0,THEONE+F5戶/有電梯,RPOOMLMLQHHGFAI08CB,THEONE+,F棟5號
嘉義市,房地(土地+建物),嘉義市嘉義市新生路,120.37,住,,,1110814,土地3建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,283.7,3,2,4,有,無,33880000,119422,,0.0,0,THEONE+F3戶/有電梯,RPPOMLMLQHHGFAI18CB,THEONE+,F棟3號
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路238巷98弄,23.14,住,,,1110823,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.6,2,2,1,有,無,5180000,76627,,0.0,0,,RPSOMLKMQHHGFAI38CB,拉斐特三期,2樓D號
嘉義市,房地(土地+建物),嘉義市嘉義市健康二路,108.73,其他,,,1110823,土地2建物1車位0,全,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,,135.54,0,5,2,有,無,10280000,75845,,0.0,0,土地標的清冊中湖子內段湖美小段507-38地號權利範圍19.45/350.14系依契約書所載持分面積換算最終過戶之權利範圍為每戶1/18,RPQNMLLJRHHGFAI97CB,松町5,B棟16號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市日新街與立學街口,58.81,商,,,1110815,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,356.83,3,2,3,有,無,39980000,118592,坡道平面,33.2,1600000,,RPQNMLPJRHHGFAI38CB,仰?日新,1棟12B號
