鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
嘉義市,建物,嘉義市嘉義市西門街１０６號,0.0,商,,,1110723,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0731129,258.76,6,2,5,有,無,無,18000,70,,0.0,0,土地為學產地僅租建物部份,RPPNMLPKQHHGFAI38CC
嘉義市,土地,湖子內段湖美小段96-1地號,726.35,住,,,1110804,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,29000,40,,0.0,0,,RPVNMLPKQHHGFAI98CC
嘉義市,建物,嘉義市嘉義市民生南路１０００號３樓之７,0.0,住,,,1110730,土地0建物1車位0,三層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1070802,12.77,1,0,1,有,有,有,4000,313,,0.0,0,,RPQNMLQKQHHGFAI58CC
嘉義市,建物,嘉義市嘉義市民生南路１０００號５樓之２６,0.0,住,,,1110731,土地0建物1車位0,五層,5,套房(1房1廳1衛),集合住宅,鋼筋混凝土構造,1070802,12.93,1,0,1,有,有,有,4000,309,,0.0,0,,RPRNMLQKQHHGFAI68CC
嘉義市,建物,嘉義市嘉義市臺林街１１７巷５號８樓３,0.0,住,,,1110801,土地0建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850401,66.63,2,1,1,有,有,有,11000,165,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費640元皆由承租人負擔。,RPUNMLQKQHHGFAI98CC
嘉義市,房地(土地+建物),嘉義市嘉義市王田里１１鄰大同新村５９號,71.0,住,,,1110804,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0580501,88.2,4,1,2,有,無,有,13500,153,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費皆由承租人負擔。,RPVNMLQKQHHGFAI09CC
嘉義市,建物,嘉義市嘉義市東洋新?１２１之８號３樓６,0.0,住,,,1110804,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780518,42.76,1,0,1,有,有,有,7600,178,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費、網路費及每月管理費600元皆由承租人負擔。,RPXNMLQKQHHGFAI66CC
嘉義市,建物,嘉義市嘉義市和平路８７之１號７樓２,0.0,住,,,1110808,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821207,131.1,3,1,2,有,有,有,15000,114,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及每月管理費1000元皆由承租人負擔。,RPROMLQKQHHGFAI78CC
嘉義市,建物,嘉義市嘉義市蘭井街１６２之４號２樓６,0.0,商,,,1110804,土地0建物1車位0,二層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800104,33.91,1,0,1,有,有,有,6000,177,,0.0,0,嘉義市政府包租代管計畫。水電費、瓦斯費及每月管理費500元皆由承租人負擔。,RPXNMLSKQHHGFAI86CC
嘉義市,建物,嘉義市嘉義市彌陀路４２號二樓之１２,0.0,住,,,1110806,土地0建物1車位0,二層,4,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970303,14.02,1,0,1,有,有,有,4000,285,,0.0,0,,RPXOMLSKQHHGFAI96CC
嘉義市,建物,嘉義市嘉義市彌陀路４０號三樓之１８,0.0,住,,,1110807,土地0建物1車位0,三層,4,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970303,14.02,1,0,1,有,有,有,3900,278,,0.0,0,,RPOPMLSKQHHGFAI78CC
嘉義市,建物,嘉義市嘉義市彌陀路４２號三樓之１８,0.0,住,,,1110810,土地0建物1車位0,三層,4,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970303,14.02,1,0,1,有,有,有,4000,285,,0.0,0,,RPTNMLTKQHHGFAI56CC
嘉義市,建物,嘉義市嘉義市彌陀路４２號三樓之２,0.0,住,,,1110810,土地0建物1車位0,三層,4,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0970303,14.02,1,0,1,有,有,有,3800,271,,0.0,0,,RPUNMLTKQHHGFAI66CC
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市南興路２１６巷７號４樓１,29.5,住,,,1110808,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820521,150.58,3,2,2,有,無,有,22000,146,升降機械,0.0,0,,RPVNMLMLQHHGFAI78CC
