編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTQMLQKJIHGFBJ78EA,15,.00,守衛室,鋼筋混凝土造,97年3月21日,十四層,一層,持分移轉
RPTQMLQKJIHGFBJ78EA,15,30.47,商業用,鋼筋混凝土造,97年3月21日,十三層,八層 陽台,全筆移轉
RPTQMLQKJIHGFBJ78EA,15,.13,共有部分,鋼筋混凝土造,97年3月21日,十四層,,持分移轉
RPTQMLQKJIHGFBJ78EA,15,2.77,共有部分,鋼筋混凝土造,97年3月21日,十四層,,持分移轉
RPTQMLQKJIHGFBJ78EA,15,10.78,共有部分,鋼筋混凝土造,97年3月21日,十三層,,持分移轉
RPQNMLMLJIHGFDJ97DA,,8.62,梯間,鋼筋混凝土造,,五層,,持分移轉
RPQNMLMLJIHGFDJ97DA,27,80.91,住家用,鋼筋混凝土造,84年5月12日,五層,三層 陽台,全筆移轉
RPWOMLLLJIHGFDJ58DA,18,60.28,住宅．儲藏室,鋼筋混凝土造,93年6月5日,五層,四層 陽台,全筆移轉
RPWOMLLLJIHGFDJ58DA,18,10.96,梯間．走道,鋼筋混凝土造,93年6月5日,五層,,持分移轉
RPUNMLMLJIHGFDJ38DA,20,11.91,住家用,鋼筋混凝土造,91年5月30日,五層,四層,全筆移轉
RPUNMLMLJIHGFDJ38DA,20,93.51,住家用,鋼筋混凝土造,91年5月30日,五層,四層 陽台,全筆移轉
RPUNMLMLJIHGFDJ38DA,20,5.40,梯間,鋼筋混凝土造,91年5月30日,五層,,持分移轉
RPUNMLMLJIHGFDJ38DA,20,21.61,梯間,鋼筋混凝土造,91年5月30日,五層,,持分移轉
RPSPMLMLJIHGFBJ18DA,27,51.03,住家用,鋼筋混凝土造,84年11月23日,六層,六層 陽台,全筆移轉
RPSPMLMLJIHGFBJ18DA,27,9.33,共有部分,鋼筋混凝土造,84年11月23日,六層,,持分移轉
RPSPMLMLJIHGFBJ18DA,27,5.26,共有部分,鋼筋混凝土造,84年11月23日,六層,,持分移轉
RPOQMLMLJIHGFCJ97DA,8,.02,辦公室,鋼筋混凝土造,104年3月25日,十四層,一層,持分移轉
RPOQMLMLJIHGFCJ97DA,8,100.85,辦公室,鋼筋混凝土造,104年3月25日,十四層,六層 陽台,全筆移轉
RPOQMLMLJIHGFCJ97DA,8,.00,共有部分,鋼筋混凝土造,104年3月25日,十四層,,持分移轉
RPOQMLMLJIHGFCJ97DA,8,20.78,共有部分,鋼筋混凝土造,104年3月25日,十四層,,持分移轉
RPOQMLMLJIHGFCJ97DA,8,28.65,共有部分,鋼筋混凝土造,104年3月25日,十五層,,持分移轉
RPOQMLMLJIHGFCJ97DA,8,24.33,共有部分,鋼筋混凝土造,104年3月25日,十五層,,持分移轉
RPQNMLLKJIHGFCJ67DA,,189.72,住家用,鋼筋混凝土造,,二層,一層 二層 騎樓,全筆移轉
RPVNMLNLJIHGFDJ58DA,25,107.16,住商用,鋼筋混凝土造,86年12月19日,二層,一層 二層 屋頂突出物 騎樓,全筆移轉
RPROMLPLJIHGFCJ38DA,,115.20,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPTRMLLLJIHGFCJ48DA,6,90.11,集合住宅,鋼筋混凝土造,105年9月29日,七層,六層 陽台,全筆移轉
RPTRMLLLJIHGFCJ48DA,6,17.42,本共有部分之項目有梯廳、樓梯電梯間、水箱、機械室等四項,鋼筋混凝土造,105年9月29日,七層,,持分移轉
