編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLOJJIHGFCJ38DA,竹東段竹東小段,14.00,都市：其他:住宅區,5,1,持分移轉,03670127
RPQOMLLKJIHGFCJ87EA,鷄油林段,82.00,都市：其他:鐵路用地,1,1,全筆移轉,05960012
RPXNMLPKJIHGFCJ88EA,上山貳段,271.69,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02640000
RPROMLTJJIHGFCJ58DA,大華段,260.13,都市：其他:農業區,1,1,全筆移轉,04250000
RPQOMLQKJIHGFBJ18DA,府前段,12.18,都市：其他:第二種住宅區,1,1,全筆移轉,02580000
RPVNMLQKJIHGFBJ58DA,仰德段,150.10,非都市：特定農業區 ; 非都市編定：農牧用地,33,1,持分移轉,02550000
RPVNMLQKJIHGFBJ58DA,仰德段,6.11,非都市：特定農業區 ; 非都市編定：農牧用地,33,1,持分移轉,02600000
RPVNMLQKJIHGFBJ58DA,仰德段,24.67,非都市：特定農業區 ; 非都市編定：農牧用地,33,1,持分移轉,02610000
RPSNMLRLIIHGFCJ48DA,雙龍段,115.77,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,05700002
RPSNMLRLIIHGFCJ48DA,雙龍段,270.76,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,05710002
RPQNMLPJJIHGFDJ08DA,德盛段,630.00,都市：其他:農業區,1,1,全筆移轉,05330000
RPQNMLPJJIHGFDJ08DA,德盛段,1173.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05330001
RPQNMLPJJIHGFDJ08DA,德盛段,1775.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05340000
RPQNMLPJJIHGFDJ08DA,德盛段,1744.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05350000
RPPOMLQKJIHGFCJ28EA,嘉樂段,17537.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01460000
RPPOMLQKJIHGFCJ28EA,嘉樂段,1103.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01460001
RPPOMLQKJIHGFCJ28EA,嘉樂段,5619.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06460000
RPPOMLQKJIHGFCJ28EA,嘉樂段,5141.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06460001
RPRNMLSKJIHGFCJ58EA,大壢段下大壢小段,1335.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00120024
RPUNMLRKJIHGFBJ68EA,黃梨園段,213.60,非都市：山坡地保育區 ; 非都市編定：農牧用地,43,11,持分移轉,02220000
RPTQMLQKJIHGFBJ78EA,永興段,5.26,都市：其他:第二種商業區,100000,93,持分移轉,05060000
RPWNMLOKJIHGFBJ48DA,上旱坑段,285.60,非都市：山坡地保育區 ; 非都市編定：遊憩用地,11,2,持分移轉,05830000
RPQNMLMLJIHGFDJ97DA,中興段中興小段,25.03,非都市：工業區 ; 非都市編定：丁種建築用地,10,1,持分移轉,00910000
RPWOMLLLJIHGFDJ58DA,建興段鳳凰小段,7.42,非都市：工業區 ; 非都市編定：丁種建築用地,80427,6028,持分移轉,04700000
RPWOMLLLJIHGFDJ58DA,建興段鳳凰小段,9.89,非都市：工業區 ; 非都市編定：丁種建築用地,80427,6028,持分移轉,04710000
RPRQMLQKJIHGFBJ58EA,關農段,81.23,都市：其他:住宅區,1,1,全筆移轉,06210000
RPRQMLQKJIHGFBJ58EA,關農段,2.69,,1,1,全筆移轉,06210022
RPRQMLQKJIHGFBJ58EA,關農段,76.01,,1,1,全筆移轉,06210023
RPRQMLQKJIHGFBJ58EA,關農段,76.01,,1,1,全筆移轉,06210024
RPRQMLQKJIHGFBJ58EA,關農段,76.02,,1,1,全筆移轉,06210025
RPRQMLQKJIHGFBJ58EA,關農段,76.04,,1,1,全筆移轉,06210026
RPRQMLQKJIHGFBJ58EA,關農段,76.05,,1,1,全筆移轉,06210027
RPRQMLQKJIHGFBJ58EA,關農段,85.76,,1,1,全筆移轉,06210028
RPOQMLMLJIHGFBJ97EA,家興段,274.61,都市：其他:住宅區,1,1,全筆移轉,05730000
RPUNMLMLJIHGFDJ38DA,坪頂段,37.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,25,5,持分移轉,05160005
RPSPMLMLJIHGFBJ18DA,義民段,23.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,145,持分移轉,15070000
RPPNMLNKJIHGFBJ67DA,下寮段,625.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,16,4,持分移轉,13830001
RPPWMLSJJIHGFBJ98DA,石光段,33.15,非都市：特定農業區 ; 非都市編定：農牧用地,444,20,持分移轉,20310004
RPPNMLNLJIHGFCJ87DA,花園段,95.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02710000
RPPNMLNLJIHGFCJ87DA,花園段,65.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,02710001
RPOQMLMLJIHGFCJ97DA,志學段,25.39,都市：其他:科技商務服務專用區,100000,143,持分移轉,03260000
RPOQMLMLJIHGFCJ97DA,志學段,.20,都市：其他:科技商務服務專用區,100000,143,持分移轉,03260004
RPOQMLMLJIHGFCJ97DA,志學段,.01,都市：其他:科技商務服務專用區,100000,143,持分移轉,03260005
RPQNMLLKJIHGFCJ67DA,明湖段,132.77,都市：其他:住宅區,1,1,全筆移轉,04090000
RPPQMLMLJIHGFCJ18EA,新樂段水田小段,2956.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00740000
RPVPMLLLJIHGFCJ58EA,埔中段,38.22,都市：其他:住宅區,192,1,持分移轉,11510000
RPVNMLNLJIHGFDJ58DA,興湖段,76.00,都市：其他:住宅區,1,1,全筆移轉,00170000
RPUOMLMLJIHGFCJ48EA,大壢段下大壢小段,300.63,非都市：山坡地保育區 ; 非都市編定：農牧用地,200000,22170,持分移轉,02880000
RPUOMLMLJIHGFCJ48EA,大壢段下大壢小段,36.50,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,04160020
RPVOMLMLJIHGFCJ48DA,新樂段水田小段,1000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2520,1000,持分移轉,04110002
RPTOMLNLJIHGFCJ38DA,濫子段薯園小段,1610.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00240001
RPTOMLNLJIHGFCJ38DA,濫子段薯園小段,2846.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03350001
RPTOMLNLJIHGFCJ38DA,濫子段薯園小段,695.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03350003
RPTOMLNLJIHGFCJ38DA,濫子段薯園小段,2737.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03350004
RPTOMLNLJIHGFCJ38DA,濫子段薯園小段,861.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03380000
RPSPMLMLJIHGFCJ28DA,八十分段,471.79,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06130000
RPSPMLMLJIHGFCJ28DA,八十分段,228.90,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPSPMLMLJIHGFCJ28DA,八十分段,213.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
RPSPMLMLJIHGFCJ28DA,八十分段,1451.83,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,06160000
RPSPMLMLJIHGFCJ28DA,八十分段,23.65,非都市：山坡地保育區 ; 非都市編定：林業用地,14,1,持分移轉,06160001
RPSPMLMLJIHGFCJ28DA,八十分段,57.48,非都市：山坡地保育區 ; 非都市編定：農牧用地,14,1,持分移轉,06170019
RPVQMLNLJIHGFBJ68DA,社北段,4.59,都市：其他:公園用地,84,5,持分移轉,01440000
RPUONLRJJIHGFBJ68DA,中興段,4.26,都市：其他:道路用地,1,1,全筆移轉,01570000
RPUONLRJJIHGFBJ68DA,中興段,12.54,都市：其他:道路用地,1,1,全筆移轉,01600000
RPROMLPLJIHGFCJ38DA,明星段,96.27,都市：其他:住一,1,1,全筆移轉,03390000
RPTRMLLLJIHGFCJ48DA,明湖段,39.98,都市：其他:住宅區,100000,506,持分移轉,01110000
RPXNMLMJJIHGFCJ38DA,華山段,99.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08040000
RPUNMLOLJIHGFDJ68EA,員興段,93.57,都市：其他:農業區,1,1,全筆移轉,12150002
RPUNMLPLJIHGFCJ68EA,煤源段,10985.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04860012
RPUNMLPLJIHGFCJ68EA,煤源段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04860016
RPUNMLPLJIHGFCJ68EA,煤源段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04860017
RPPNMLPLJIHGFCJ18EA,東寧段,39.50,非都市：山坡地保育區 ; 非都市編定：水利用地,2,1,持分移轉,29050002
RPOOMLTJJIHGFDJ38DA,榮華段,91.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04440000
RPXNMLKKJIHGFDJ38DA,濱海段,104.78,非都市：一般農業區 ; 非都市編定：農牧用地,4160,106,持分移轉,08430000
RPWPMLLLJIHGFCJ68EA,南坑段小南坑小段,5538.00,非都市：山坡地保育區 ; 非都市編定：林業用地,14010,5538,持分移轉,01240000
RPQNMLPKJIHGFDJ18DA,中崙段,59.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12880000
RPQNMLPKJIHGFDJ18DA,中崙段,81.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12880024
RPQNMLSKJIHGFCJ38DA,上舘段,2307.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06270000
RPQNMLSKJIHGFCJ38DA,上舘段,2502.28,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06270001
