編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOQMLMLJIHGFCJ97DA,坡道平面,0,,地下三樓
RPTRMLLLJIHGFCJ48DA,坡道平面,0,29.37,地下一樓
RPRNMLPLJIHGFDJ48EA,坡道機械,0,14.24,地下二樓
RPRNMLPLJIHGFDJ48EA,坡道機械,0,14.24,地下二樓
RPQOMLSKJIHGFCJ48DA,一樓平面,0,,一樓
RPUPMLKKJIHGFBJ08DA,坡道平面,0,33.31,地下二樓
RPRNMLPKJIHGFCJ18DA,坡道平面,0,,地下二樓
RPTQMLTLJIHGFBJ09DA,坡道平面,0,31.37,地下二樓
RPTQMLTLJIHGFBJ09DA,坡道平面,0,31.37,地下二樓
RPUQMLLJKIHGFBJ28DA,一樓平面,0,,一樓
RPUPMLMJKIHGFBJ28DA,坡道平面,0,31.61,地下三樓
RPUPMLMJKIHGFBJ28DA,坡道平面,0,31.61,地下三樓
RPTNMLSLJIHGFBJ68DA,坡道平面,0,,地下二樓
RPPOMLLKJIHGFBJ57DA,坡道平面,1800000,28.76,地下一樓
RPPNMLOKJIHGFDJ97DA,坡道機械,600000,19.77,地下二樓
RPSOMLPJKIHGFCJ38DA,坡道平面,0,,地下二樓
RPXSMLMLJIHGFCJ09DA,坡道平面,0,,地下一樓
SPXSMLMLJIHGFCJ56DA,坡道平面,0,,地下一樓
RPROMLSKJIHGFBJ48DA,坡道平面,650000,30.12,地下二樓
RPXNMLSKJIHGFBJ98DA,坡道平面,500000,30.12,地下三樓
RPXNMLSKJIHGFBJ98DA,坡道平面,500000,30.12,地下三樓
RPXNMLSKJIHGFBJ98DA,坡道平面,500000,30.12,地下三樓
RPPNMLNLJIHGFBJ77DA,坡道機械,0,15.71,地下二樓
RPPNMLNLJIHGFBJ77DA,坡道機械,0,15.71,地下二樓
RPPNMLNLJIHGFBJ77DA,坡道機械,0,15.71,地下二樓
RPPNMLNLJIHGFBJ77DA,坡道機械,0,15.71,地下二樓
RPUNMLMJJIHGFDJ18DA,坡道機械,600000,19.77,地下二樓
RPQNMLQJKIHGFBJ08DA,坡道平面,0,,地下一樓
RPSNMLLLJIHGFBJ87DA,坡道平面,0,,地下二樓
RPVNMLLLJIHGFBJ18DA,坡道平面,0,27.95,地下一樓
RPWNMLOKIIHGFBJ38DA,坡道平面,490000,25.85,地下一樓
RPSPMLRKIIHGFBJ48DA,坡道平面,0,31.34,地下四樓
RPWOMLOKIIHGFBJ48DA,坡道平面,0,27.95,地下二樓
RPROMLOKIIHGFBJ97DA,坡道平面,220000,32.51,地下二樓
RPROMLOKIIHGFBJ97DA,坡道平面,175000,32.51,地下三樓
RPROMLOKIIHGFBJ97DA,坡道平面,175000,32.51,地下三樓
RPSNMLSKIIHGFBJ38DA,坡道平面,0,,地下二樓
RPSNMLSKIIHGFBJ38DA,坡道平面,0,,地下二樓
RPPNMLKLIIHGFCJ47DA,坡道平面,0,,地下一樓
RPRRMLNKIIHGFBJ18DA,坡道平面,0,26.43,地下三樓
RPRPMLMKIIHGFDJ08DA,坡道平面,0,,地下一樓
RPQNMLRKIIHGFDJ28DA,一樓平面,0,,一樓
RPRNMLRKIIHGFDJ38DA,一樓平面,0,,一樓
RPXNMLMKIIHGFBJ28DA,坡道平面,0,,地下二樓
RPRPMLRKIIHGFBJ38DA,坡道平面,0,,地下一樓
RPQNMLQLIIHGFBJ08DA,坡道平面,0,,地下一樓
RPSPMLQLIIHGFBJ48DA,坡道平面,1050000,34.68,地下三樓
RPROMLSLIIHGFBJ58EA,坡道平面,0,29.41,地下三樓
RPXNMLOKIIHGFBJ48DA,坡道機械,0,11.16,地下一樓
RPXOMLPJIIHGFBJ58DA,坡道平面,0,36.18,地下一樓
RPXOMLPJIIHGFBJ58DA,坡道平面,0,36.18,地下一樓
RPSNMLTKIIHGFCJ58DA,坡道平面,0,,地下一樓
RPPOMLLJJIHGFBJ47DA,坡道平面,0,33.02,地下二樓
RPPOMLLJJIHGFBJ47DA,坡道平面,0,33.02,地下二樓
RPSOMLRLIIHGFBJ48DA,坡道平面,630000,28.84,地下一樓
RPXPMLOJJIHGFBJ78EA,坡道平面,0,,地下二樓
RPSNMLPLIIHGFBJ18DA,坡道平面,680000,27.08,地下三樓
RPUNMLMJJIHGFBJ97DA,升降平面,0,,地下一樓
