編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLPKQHHGFBJ66CC,三崁店段三崁店小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00520007
RPXNMLLKQHHGFBJ98CC,永興段,.00,都市：商,,,,05060000
RPQRMLPKQHHGFBJ09CC,家興段,.00,都市：住,,,,03660000
RPSNMLPKQHHGFBJ88CC,台科段,.00,都市：住,,,,01310000
RPOOMLPKQHHGFBJ58CC,台元段,.00,都市：工,,,,06640000
RPSNMLPKQHHGFDJ09CC,坪頂段,.00,都市：住,,,,10550000
RPTNMLPKQHHGFDJ56CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07160000
RPUNMLRKQHHGFBJ66CC,溪洲段,1470.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07760000
RPUNMLRKQHHGFBJ66CC,溪洲段,1655.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07770000
RPUNMLRKQHHGFBJ66CC,溪洲段,859.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,07780000
RPWOMLQKQHHGFCJ96CC,明湖段,.00,都市：工,,,,00110054
RPPOMLRKQHHGFBJ88CC,莊敬段,.00,都市：住,,,,06140001
RPSNMLTKQHHGFBJ66CC,隘興段,.00,都市：商,,,,05430000
RPRNMLTKQHHGFDJ76CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00910000
RPPNMLSKQHHGFBJ88CC,世興段,.00,都市：商,,,,00440000
RPUNMLMLQHHGFDJ56DC,中義段,19.31,都市：其他:都市土地,,,,03070000
RPTNMLTKQHHGFBJ76CC,豆子埔段,.00,都市：住,,,,06630000
RPUOMLMLQHHGFBJ98CC,隘興段,.00,都市：住,,,,05430000
RPQPMLOLQHHGFBJ88CC,莊敬段,.00,都市：商,,,,02720000
RPRNMLNLQHHGFBJ68CC,台科段,.00,都市：住,,,,00300000
RPXPMLMLQHHGFBJ76CC,馬麟厝段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07600000
RPXPMLMLQHHGFBJ76CC,馬麟厝段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07600013
RPXPMLMLQHHGFBJ76CC,馬麟厝段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,07600020
RPPOMLOLQHHGFDJ88CC,明新段,.00,都市：住,,,,07180000
RPTOMLPLQHHGFDJ76CC,員興段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170002
RPXNMLPLQHHGFCJ96CC,資源段,.00,都市：商,,,,19410000
RPXOMLPLQHHGFBJ96CC,隘興段,.00,都市：住,,,,05430000
RPOPMLPLQHHGFBJ78CC,縣福段,.00,都市：商,,,,01810000
RPQQMLPLQHHGFBJ09CC,台元段,.00,都市：工,,,,06110000
RPSQMLPLQHHGFBJ66CC,台元段,.00,都市：工,,,,06190000
RPRRMLPLQHHGFBJ66CC,大學段,.00,都市：住,,,,00390000
RPORMLPLQHHGFBJ98CC,新國段,.00,都市：住,,,,00910000
RPORMLPLQHHGFBJ98CC,新國段,.00,都市：住,,,,01000000
RPSOMLQLQHHGFBJ56CC,新國段,.00,都市：住,,,,08280000
RPRNMLQLQHHGFCJ09CC,竹東段番社子小段,.00,都市：住,,,,04050000
RPQNMLKMQHHGFDJ58CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01130013
RPPOMLTLQHHGFCJ66CC,資源段,.00,都市：商,,,,19410000
RPRNMLKMQHHGFDJ68CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01940002
RPTOMLKMQHHGFBJ78CC,世興段,.00,都市：商,,,,00270000
RPWOMLKMQHHGFBJ09CC,莊敬段,.00,都市：住,,,,00020001
RPOPMLKMQHHGFBJ38CC,水瀧段,.00,都市：商,,,,15130000
RPUOMLKMQHHGFBJ88CC,隘興段,.00,都市：住,,,,07190000
RPQPMLKMQHHGFBJ58CC,公園段,.00,都市：住,,,,08470000
RPWNMLLJRHHGFBJ88CC,永興段,.00,都市：商,,,,05060000
RPWSMLLJRHHGFBJ76CC,世興段,.00,都市：商,,,,00310000
RPXSMLLJRHHGFBJ86CC,公園段,.00,都市：商,,,,04750000
RPPTMLLJRHHGFBJ78CC,世興段,.00,都市：商,,,,00390000
RPOTMLLJRHHGFBJ68CC,永興段,.00,都市：住,,,,04500000
RPQTMLLJRHHGFBJ88CC,大學段,.00,都市：商,,,,02140000
RPQOMLMJRHHGFCJ58CC,仁愛段,.00,都市：住,,,,05070019
RPPOMLMJRHHGFBJ38CC,台科段,.00,都市：住,,,,02520000
RPTNMLLJRHHGFDJ78CC,湖南段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,20010004
RPSNMLLJRHHGFDJ68CC,福陽段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01350000
RPVNMLKMQHHGFDJ09CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02690001
RPSPMLMJRHHGFDJ98CC,竹九段,78.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510042
RPQOMLKMQHHGFDJ68CC,中義段,.00,都市：住,,,,02520000
RPWNMLKMQHHGFDJ56CC,坪頂段,.00,都市：住,,,,10730001
RPRNMLQJRHHGFDJ09CC,忠信段,498.74,都市：工,,,,03310000
RPWNMLSJRHHGFDJ27DC,長嶺段,1624.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16250000
RPQOMLRJRHHGFDJ56CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00550000
RPWSMLPJRHHGFBJ17CC,縣福段,.00,都市：商,,,,02410000
RPVNMLQJRHHGFBJ66CC,莊敬段,.00,都市：住,,,,02110000
RPXSMLPJRHHGFBJ27CC,家興段,.00,都市：住,,,,07060000
RPSNMLRJRHHGFBJ09CC,台元段,.00,都市：工,,,,06640000
RPROMLMJRHHGFBJ58CC,家興段,.00,都市：商,,,,04250000
RPOUMLPJRHHGFBJ56CC,家興段,.00,都市：住,,,,06010000
RPTNMLSJRHHGFCJ76CC,中山段,149.00,,,,,14880000
RPOPMLMKRHHGFBJ48CC,水瀧段,12.74,都市：商,,,,15130000
RPRPMLMKRHHGFBJ88DC,自強段,.00,都市：商,,,,03010000
RPWOMLMKRHHGFBJ56CC,縣福段,.00,都市：商,,,,01730000
RPOOMLNKRHHGFCJ58CC,竹中段,65.37,都市：住,,,,05590000
RPROMLNKRHHGFBJ78CC,大學段,.00,都市：商,,,,02190000
RPUNMLNKRHHGFBJ98CC,公園段,.00,都市：住,,,,05100000
RPVOMLNKRHHGFDJ76CC,坪頂段,.00,都市：住,,,,11210000
RPQOMLNKRHHGFDJ88CC,湖南段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18010004
RPQPMLOKRHHGFBJ88CC,豆子埔段,.00,都市：住,,,,10440002
RPROMLNKRHHGFDJ98CC,中美段,.00,都市：住,,,,10410000
RPQPMLOKRHHGFBJ88CC,豆子埔段,.00,都市：住,,,,10440003
RPRPMLPKRHHGFDJ66CC,吉祥段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08290000
RPXPMLQKRHHGFDJ37CC,坪頂段,.00,都市：住,,,,10550000
RPXNMLQKRHHGFBJ96CC,台元段,.00,都市：工,,,,06650000
RPOOMLQKRHHGFBJ78CC,台元段,.00,都市：工,,,,06650000
RPPOMLQKRHHGFBJ88CC,隘興段,.00,都市：住,,,,04210074
RPPOMLQKRHHGFBJ88CC,隘興段,.00,都市：住,,,,04210084
RPPPMLTKRHHGFBJ66CC,台元段,.00,都市：工,,,,06110000
RPWNMLTKRHHGFCJ27CC,志學段,.00,都市：住,,,,09440000
RPQPMLTKRHHGFBJ76CC,台元段,.00,都市：工,,,,06190000
RPRNMLTKRHHGFCJ76CC,台泥段,16.60,都市：商,,,,00140000
RPSQMLKLRHHGFBJ88CC,縣福段,.00,都市：商,,,,02740000
RPURMLMLRHHGFBJ76CC,台科段,14.99,都市：商,,,,02050000
RPVNMLKLRHHGFDJ09CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,02690001
RPTNMLKLRHHGFDJ88CC,中義段,.00,都市：商,,,,02410000
RPWRMLMLRHHGFBJ96CC,莊敬段,.00,都市：商,,,,02690000
RPXUMLMLRHHGFBJ37CC,公園段,.00,都市：住,,,,04660000
RPWRMLMLRHHGFCJ07CC,竹東段竹東小段,.00,都市：住,,,,00830033
RPUSMLMLRHHGFDJ07CC,長威段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,16520004
RPQQMLMLRHHGFDJ09CC,光華段,.00,都市：住,,,,06990000
RPTOMLQLRHHGFBJ76CC,自強段,.00,都市：商,,,,02980000
RPXNMLRLRHHGFBJ17CC,翰林段,.00,都市：住,,,,11240000
RPUNMLNLRHHGFBJ09CC,隘興段,.00,都市：住,,,,04210079
RPUNMLNLRHHGFBJ09CC,隘興段,.00,都市：住,,,,04210084
RPUSMLMLRHHGFCJ96CC,東寧段,.00,都市：住,,,,17250000
RPQNMLRLRHHGFBJ56DC,三崁店段水坑口小段,2020.61,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00120001
RPOOMLRLRHHGFBJ98CC,豆子埔段,.00,都市：住,,,,05840004
RPWOMLSLRHHGFBJ37DC,公園段,88.36,都市：商,,,,04800000
RPOOMLSLRHHGFBJ09CC,隘興段,.00,都市：住,,,,03810000
RPROMLSLRHHGFDJ96CC,文昌段,.00,都市：住,,,,06020000
RPSPMLSLRHHGFBJ96CC,三崁店段三崁店小段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00590000
RPSOMLKMRHHGFBJ78CC,永興段,.00,都市：商,,,,04950000
RPUNMLNJIIHGFDJ38DC,中義段,184.02,都市：商,,,,03060000
RPRNMLTLRHHGFBJ76CC,大學段,.00,都市：商,,,,02200000
RPRQMLKMRHHGFBJ88CC,永興段,.00,都市：商,,,,05060000
RPVNMLNJIIHGFDJ48DC,中義段,105.24,都市：商,,,,03060000
RPVNMLQJIIHGFCJ58CC,四重段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08210000
RPWNMLQJIIHGFCJ68CC,九莊段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02260000
RPXNMLQJIIHGFCJ78CC,中山段,.00,都市：住,,,,05490000
RPOOMLQJIIHGFCJ97CC,九莊段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02770000
RPXNMLQJIIHGFDJ88CC,明新段,.00,都市：住,,,,05690000
RPTPMLMKIIHGFDJ38CC,員興段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170002
RPUPMLMKIIHGFDJ48CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01430061
RPUOMLNKIIHGFDJ48CC,員興段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06170002
RPVNMLPJIIHGFBJ38CC,中興段,.00,都市：住,,,,00080000
RPPOMLQJIIHGFBJ97CC,竹義段,.00,都市：商,,,,06860000
RPRNMLPJIIHGFBJ97CC,縣華段,84.79,都市：住,,,,03720003
RPVNMLRJIIHGFBJ58CC,國義段,.00,都市：住,,,,00520000
RPSQMLKMRHHGFBJ98CC,公園段,.00,都市：住,,,,08470000
RPOUMLRJIIHGFBJ58CC,莊敬段,.00,都市：住,,,,01010000
RPOOMLOJIIHGFBJ67CC,家興段,581.22,都市：商,,,,03710000
RPRTMLNKIIHGFBJ48CC,豆子埔段,.00,都市：住,,,,06020000
RPRTMLNKIIHGFBJ48CC,豆子埔段,.00,都市：住,,,,06020001
