編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLTJJIHGFDK58DA,成功段,3.75,都市：其他:農業區建地目,24,1,持分移轉,01380000
RPSNMLMJJIHGFBK87DA,文昌段,82.80,都市：其他:商業區,1,1,全筆移轉,04320000
RPSNMLMJJIHGFBK87DA,文昌段,12.80,都市：其他:商業區,1,1,全筆移轉,04340000
RPSNMLLKJIHGFEK28EA,新二湖段,366.93,非都市：山坡地保育區 ; 非都市編定：交通用地,10,9,持分移轉,00620000
RPPNMLLKJIHGFCK67DA,田心段,93.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05610000
RPQNMLOKJIHGFAK87DA,南湖段,2504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13200310
RPQNMLOKJIHGFAK87DA,南湖段,2504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13201341
RPPNMLLKJIHGFCK67DA,田心段,32.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05610004
RPQNMLOKJIHGFAK87DA,南湖段,2504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13201342
RPQNMLOKJIHGFAK87DA,南湖段,2504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13201343
RPROMLOKJIHGFDK38DA,南豐湖段,436.73,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,10210000
RPRNMLSJJIHGFBK38DA,勝利段,242.20,都市：其他:農業區,15,7,持分移轉,03740000
RPPOMLOKJIHGFDK18DA,南豐湖段,137.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10,3,持分移轉,10430000
RPWNMLRJJIHGFDK98DA,新山佳段,1.41,都市：其他:道路用地,20,1,持分移轉,10830000
SPWNMLRJJIHGFDK09DA,新山佳段,1.11,都市：其他:道路用地,20,1,持分移轉,09630000
RPSNMLLJJIHGFDK97DA,龍鳳西段,16.92,都市：其他:住宅區,1,1,全筆移轉,03430000
TPWNMLRJJIHGFDK56DA,新山佳段,.70,都市：其他:住宅區,20,1,持分移轉,10820000
RPTNMLRJJIHGFAK38DA,大坪林段,80.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00510005
RPTNMLRJJIHGFAK38DA,大坪林段,132.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00520034
RPUNMLOKJIHGFBK38DA,福南段,1061.13,非都市：特定農業區 ; 非都市編定：農牧用地,1000,326,持分移轉,12480001
RPXNMLMJJIHGFDK58DA,后厝段,3.01,都市：其他:道路用地,12,5,持分移轉,00520002
RPXNMLMJJIHGFDK58DA,后厝段,.70,都市：其他:道路用地,12,5,持分移轉,00800002
RPXNMLMJJIHGFDK58DA,后厝段,.09,都市：其他:道路用地,12,5,持分移轉,00800003
RPXNMLMJJIHGFDK58DA,后厝段,.26,都市：其他:道路用地,12,5,持分移轉,01020003
RPXNMLMJJIHGFDK58DA,后厝段,.93,都市：其他:道路用地,12,5,持分移轉,01030001
RPWNMLMJJIHGFDK48DA,后厝段,3.01,都市：其他:道路用地,12,5,持分移轉,00520002
RPWNMLMJJIHGFDK48DA,后厝段,.70,都市：其他:道路用地,12,5,持分移轉,00800002
RPWNMLMJJIHGFDK48DA,后厝段,.09,都市：其他:道路用地,12,5,持分移轉,00800003
RPWNMLMJJIHGFDK48DA,后厝段,.26,都市：其他:道路用地,12,5,持分移轉,01020003
RPWNMLMJJIHGFDK48DA,后厝段,.93,都市：其他:道路用地,12,5,持分移轉,01030001
RPUNMLRKJIHGFFK09DA,自強段,32.96,都市：其他:住宅區,10000,416,持分移轉,24490000
RPPOMLMJJIHGFDK87DA,后厝段,1.21,都市：其他:道路用地,12,2,持分移轉,00520002
RPPOMLMJJIHGFDK87DA,后厝段,.43,都市：其他:道路用地,1,1,全筆移轉,00520003
RPPOMLMJJIHGFDK87DA,后厝段,.28,都市：其他:道路用地,12,2,持分移轉,00800002
RPQNMLPKJIHGFFK48DA,上興段,5.52,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,326,持分移轉,06130000
RPPOMLMJJIHGFDK87DA,后厝段,.04,都市：其他:道路用地,12,2,持分移轉,00800003
RPPOMLMJJIHGFDK87DA,后厝段,.10,都市：其他:道路用地,12,2,持分移轉,01020003
RPPOMLMJJIHGFDK87DA,后厝段,.37,都市：其他:道路用地,12,2,持分移轉,01030001
RPQNMLPKJIHGFFK48DA,上興段,25.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,332,持分移轉,10790000
RPQNMLKKJIHGFAK47DA,桂竹林段,4400.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00310000
RPTNMLTJJIHGFBK68DA,恭敬段,11.60,都市：其他:商業區,100,10,持分移轉,00180000
RPTNMLTJJIHGFBK68DA,恭敬段,.40,都市：其他:商業區,100,10,持分移轉,00190000
RPTNMLTJJIHGFBK68DA,恭敬段,.40,都市：其他:商業區,100,10,持分移轉,00200000
RPTNMLTJJIHGFBK68DA,恭敬段,12.10,都市：其他:商業區,100,10,持分移轉,00210000
RPPNMLRKJIHGFBK18DA,福南段,620.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04800002
RPQNMLRJJIHGFAK08DA,大湖段,36.89,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,107,持分移轉,00420000
RPQNMLSKJIHGFBK38DA,館聖段,4.65,都市：其他:住宅區,1,1,全筆移轉,06050000
RPQNMLSKJIHGFBK38DA,館聖段,92.08,都市：其他:住宅區,1,1,全筆移轉,06070000
RPTOMLMJJIHGFBK08DA,豐年段,45.74,都市：其他:住宅區,1500,7,持分移轉,17080000
RPWNMLOKJIHGFDK78DA,頂科段,12.70,都市：其他:商業區,1587,20,持分移轉,02440000
RPPNMLSKJIHGFEK68EA,九湖南段,10.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,360,10,持分移轉,00720000
RPWNMLTJJIHGFDK56DA,龍椅段,874.82,都市：其他:第一種住宅區,1,1,全筆移轉,04820000
RPSPMLNJJIHGFDK38DA,后厝段,16.81,都市：其他:道路用地,48,15,持分移轉,04550001
RPRNMLSKJIHGFBK58EA,嘉福段,140.53,都市：其他:住宅區,1,1,全筆移轉,13940000
RPQNMLRKJIHGFCK38DA,水尾段,56.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,18,1,持分移轉,06730000
RPQNMLRKJIHGFCK38DA,水尾段,365.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5620,365,持分移轉,06750000
RPUNMLLLJIHGFCK28DA,房北段,110.05,都市：其他:住宅區,1,1,全筆移轉,07090002
RPUNMLLLJIHGFCK28DA,房北段,10.54,都市：其他:住宅區,10,1,持分移轉,07090007
RPPNMLMLJIHGFAK67DA,南湖段,140.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03600004
RPQNMLPKJIHGFBK08DA,館陽段,33.01,都市：其他:住宅區,5,1,持分移轉,01110000
RPTNMLMLJIHGFAK08DA,山下段,133.97,都市：其他:住宅區,1,1,全筆移轉,05040000
RPTNMLSJJIHGFBK58DA,鶴子岡段,1463.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00380006
RPTNMLSJJIHGFBK58DA,鶴子岡段,3371.20,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05860000
RPTNMLSJJIHGFBK58DA,鶴子岡段,184.47,非都市：特定農業區 ; 非都市編定：農牧用地,252,168,持分移轉,05860009
