編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLRKJIHGFFK09DA,坡道平面,0,32.02,地下一樓
RPQNMLPKJIHGFFK48DA,一樓平面,0,13.97,一樓
RPQNMLPKJIHGFBK08DA,一樓平面,0,,一樓
RPSNMLRJJIHGFFK78DA,坡道平面,0,37.79,地下一樓
RPSNMLOJJIHGFFK48DA,一樓平面,0,,一樓
RPWNMLPKJIHGFFK09DA,坡道平面,0,28.48,地下一樓
RPVNMLSKJIHGFDK09DA,坡道平面,0,29.00,地下一樓
RPVNMLSLJIHGFBK98DA,一樓平面,0,,一樓
RPXNMLNLJIHGFDK88DA,坡道平面,0,21.02,地下一樓
RPTNMLKMJIHGFDK28DA,坡道機械,0,,地下二樓
RPOOMLNLJIHGFBK87DA,坡道機械,0,,地下二樓
RPQNMLPJKIHGFCK18DA,一樓平面,500000,,一樓
RPWNMLNLJIHGFDK78DA,坡道平面,0,21.02,地下一樓
RPXNMLLJKIHGFBK38DA,坡道平面,0,13.45,一樓
RPTNMLRJKIHGFBK58DA,坡道平面,0,,地下一樓
RPVNMLOJIIHGFBK28DA,升降平面,0,,一樓
RPQNMLMLIIHGFDK97DA,一樓平面,0,,一樓
RPQPMLLLIIHGFFK28DA,升降機械,0,,地下一樓
RPTNMLPLIIHGFBK38DA,一樓平面,0,,一樓
RPQOMLOLIIHGFDK28DA,升降機械,0,,地下三樓
RPQOMLQLIIHGFFK68DA,坡道機械,0,13.24,地下二樓
RPRNMLRLIIHGFBK48EA,坡道平面,0,,地下二樓
RPROMLOLIIHGFBK18DA,一樓平面,0,,一樓
RPQNMLRJIIHGFFK48DA,坡道平面,0,30.90,地下一樓
RPOOMLOLIIHGFDK08DA,坡道平面,0,28.25,地下三樓
RPOOMLOLIIHGFDK08DA,坡道平面,0,28.25,地下三樓
RPUNMLLJJIHGFBK97DA,坡道平面,0,13.75,地下一樓
RPUNMLOJJIHGFBK38EA,坡道平面,0,,地下一樓
RPUNMLPLIIHGFDK68DA,坡道平面,0,21.02,地下一樓
RPSNMLMJJIHGFDK08DA,坡道平面,0,33.41,地下二樓
RPQNMLMJJIHGFBK67DA,一樓平面,0,,一樓
RPPNMLRJJIHGFFK48DA,坡道平面,0,31.18,地下三樓
RPROMLSJJIHGFDK78EA,坡道平面,0,,地下一樓
RPSOMLRLIIHGFDK78DA,坡道平面,1000000,25.92,地下一樓
RPSNMLOJJIHGFDK28DA,坡道平面,0,,地下二樓
RPUNMLOJJIHGFFK68DA,坡道平面,0,37.90,地下三樓
RPTNMLKKJIHGFFK28DA,坡道平面,0,33.39,地下三樓
RPWOMLOJIIHGFDK68DA,坡道平面,0,20.00,地下一樓
RPSOMLOLIIHGFFK68DA,坡道平面,0,28.47,地下二樓
RPWNMLLKJIHGFFK68DA,坡道平面,0,32.22,地下三樓
RPOOMLLKJIHGFFK97DA,坡道平面,0,39.22,地下二樓
RPPNMLOKJIHGFFK28DA,升降機械,0,16.63,地下一樓
RPTNMLOKJIHGFBK28DA,坡道機械,0,,地下一樓
RPVNMLNKIIHGFBK28DA,坡道平面,0,,一樓
RPTNMLOKJIHGFDK48DA,坡道平面,0,28.25,地下二樓
RPRNMLPLIIHGFDK38DA,坡道平面,0,34.72,地下一樓
RPUNMLLKIIHGFFK38DA,坡道平面,0,,地下一樓
RPQNMLTKIIHGFBK38DA,坡道平面,0,,地下一樓
RPSNMLTJJIHGFDK78DA,坡道平面,0,,地下一樓
RPTNMLSKJIHGFBK78EA,坡道平面,0,,地下一樓
RPRNMLNJJIHGFFK28DA,一樓平面,0,31.73,一樓
RPPNMLLKIIHGFFK87DA,坡道平面,0,30.92,地下一樓
