編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLMKQHHGFDK56CC,大同段,.00,都市：住,,,,14100004
RPUNMLMKQHHGFBK88CC,華清段,.00,都市：住,,,,10730000
RPVNMLMKQHHGFDK56CC,大同段,.00,都市：住,,,,14100005
RPQOMLTKQHHGFBK66CC,縣府段,.00,都市：商,,,,01620000
RPPNMLMLQHHGFEK78CC,朝東段,83.45,都市：住,,,,09660000
RPVNMLTKQHHGFFK47CC,上坪段,.00,都市：住,,,,07170000
RPSNMLMLQHHGFBK78CC,恭敬段,57.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,20850000
RPTNMLMLQHHGFDK09CC,中興段博愛小段,155.00,都市：住,,,,00640006
RPTNMLMLQHHGFDK09CC,中興段博愛小段,155.00,都市：住,,,,00640007
RPTNMLOLQHHGFDK66CC,大同段,.00,都市：住,,,,07220000
RPQNMLOLQHHGFDK98CC,大同段,.00,都市：商,,,,07230000
RPUNMLOLQHHGFDK76CC,大同段,.00,都市：住,,,,13150014
RPRNMLQKQHHGFDK56CC,大同段,.00,都市：住,,,,10730004
RPRNMLQKQHHGFDK56CC,大同段,.00,都市：住,,,,10730001
RPVNMLOLQHHGFDK86CC,大同段,.00,都市：住,,,,12020000
RPVNMLOLQHHGFDK86CC,大同段,.00,都市：住,,,,12030000
RPPOMLMLQHHGFDK78CC,大同段,.00,都市：住,,,,11370000
RPQNMLRLQHHGFDK66CC,大同段,.00,都市：住,,,,12020000
RPQNMLRLQHHGFDK66CC,大同段,.00,都市：住,,,,12030000
RPROMLOLQHHGFDK56CC,大同段,.00,都市：住,,,,07220000
RPPNMLSLQHHGFDK66CC,大同段,.00,都市：住,,,,10730002
RPQNMLSLQHHGFDK76CC,大同段,.00,都市：住,,,,07220000
RPQPMLKMQHHGFDK88CC,環市段,.00,都市：住,,,,14070000
RPWOMLKMQHHGFFK96CC,東民段,.00,都市：住,,,,00800000
RPWNMLLMQHHGFDK76CC,大同段,.00,都市：住,,,,12020000
RPWNMLLMQHHGFDK76CC,大同段,.00,都市：住,,,,12030000
RPVNMLLMQHHGFDK66CC,大同段,.00,都市：住,,,,13390000
RPUNMLLMQHHGFFK76CC,德義段,.00,都市：住,,,,08250000
RPUNMLLMQHHGFFK76CC,德義段,.00,都市：其他:道路用地,,,,08250001
RPWNMLLJRHHGFDK56CC,光復段,.00,都市：商,,,,08830000
RPROMLLMQHHGFDK98CC,光復段,.00,都市：商,,,,08830000
RPWNMLLJRHHGFCK56DC,通西段,28.32,都市：住,,,,12120000
RPRNMLLJRHHGFBK48CC,恭敬段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,19630001
RPUNMLPJRHHGFFK96CC,上興段,77.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06740000
RPRNMLPJRHHGFBK88CC,文發段,176.73,都市：住,,,,14850000
RPRNMLQJRHHGFFK86DC,蟠桃段忠孝小段,.00,都市：住,,,,05980000
RPSNMLRJRHHGFFK07DC,仁愛段,.00,,,,,00480001
RPRNMLRJRHHGFFK86CC,成功段,.00,,,,,06150000
RPVNMLRJRHHGFFK27CC,成功段,.00,都市：住,,,,12620000
RPRNMLNKRHHGFBK78CC,鶴崗段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,07620000
RPTNMLOKRHHGFFK86CC,義民段,.00,都市：住,,,,04230000
RPUNMLOKRHHGFFK96CC,湳湖段,.00,都市：住,,,,11040000
RPVNMLOKRHHGFFK07CC,成功段,.00,都市：住,,,,12620000
RPXNMLOKRHHGFFK27CC,成功段,.00,都市：住,,,,12620000
RPOOMLOKRHHGFFK09CC,成功段,.00,都市：住,,,,12620000
RPTNMLPKRHHGFFK96CC,德義段,.00,都市：住,,,,06630000
RPSNMLPKRHHGFFK96DC,蟠桃段忠孝小段,.00,都市：住,,,,05980000
RPRNMLTKRHHGFFK17CC,蟠桃段忠孝小段,.00,,,,,04330000
RPRNMLKLRHHGFFK98CC,成功段,80.03,都市：住,,,,04330000
RPRNMLKLRHHGFFK98CC,成功段,41.29,都市：住,,,,04350000
RPPNMLKLRHHGFFK88DC,蟠桃段忠孝小段,.00,都市：住,,,,05980000
RPRNMLLLRHHGFFK09CC,民富段,20.35,都市：住,,,,00040000
RPOOMLLLRHHGFFK88CC,上興段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,06670000
RPROMLMLRHHGFFK66CC,和平段,.00,都市：商,,,,11000000
RPPOMLLLRHHGFFK98CC,上興段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,10800000
RPWNMLMLRHHGFBK66CC,恭敬段,.00,都市：商,,,,05820000
RPRNMLNJRHHGFDK88CC,大同段,.00,都市：住,,,,07350000
RPOOMLNLRHHGFDK88CC,大同段,.00,都市：住,,,,12020000
RPOOMLNLRHHGFDK88CC,大同段,.00,都市：住,,,,12030000
RPPNMLTJRHHGFDK66CC,大同段,.00,都市：商,,,,07230000
RPOOMLMJRHHGFDK58CC,大同段,.00,都市：住,,,,07550004
RPWNMLSJRHHGFDK27CC,大同段,.00,都市：住,,,,07350000
RPOOMLMJRHHGFDK58CC,大同段,.00,都市：住,,,,07550009
RPVNMLNLRHHGFDK86CC,大同段,.00,都市：住,,,,07220000
RPRNMLMKRHHGFDK88CC,公園段,.00,都市：商,,,,01910000
RPQNMLOKRHHGFDK98CC,大同段,.00,都市：住,,,,12020000
RPQNMLOKRHHGFDK98CC,大同段,.00,都市：住,,,,12030000
RPQNMLRLRHHGFDK76CC,大同段,.00,都市：住,,,,12020000
RPQNMLRLRHHGFDK76CC,大同段,.00,都市：住,,,,12030000
RPOOMLSLRHHGFDK76CC,大同段,.00,都市：住,,,,10100000
RPSNMLQLRHHGFBK66CC,建功段,21.72,都市：住,,,,08660000
RPPOMLSLRHHGFDK86CC,大同段,.00,都市：住,,,,13400000
RPPNMLRLRHHGFDK66CC,大同段,.00,都市：住,,,,10730001
RPQNMLPLRHHGFDK56CC,大同段,.00,都市：住,,,,12030000
RPPNMLRLRHHGFDK66CC,大同段,.00,都市：住,,,,10730004
RPPOMLNLRHHGFDK98CC,大同段,.00,都市：商,,,,07230000
RPROMLSLRHHGFDK07CC,大同段,.00,,,,,07350006
RPQOMLSLRHHGFDK96CC,大同段,.00,都市：住,,,,10730001
RPSNMLTLRHHGFDK17CC,大同段,.00,,,,,07350006
RPQOMLSLRHHGFDK96CC,大同段,.00,都市：住,,,,10730004
RPQNMLMJIIHGFDK87CC,大同段,.00,都市：住,,,,07220000
RPSNMLNJIIHGFFK38CC,仁愛段,.00,都市：住,,,,00390001
RPPNMLKMRHHGFFK88CC,顯會段,58.33,都市：住,,,,06010000
RPUNMLKMRHHGFDK56CC,光復段,39.03,都市：商,,,,08830000
RPPNMLKMRHHGFDK68CC,龍椅段,91.00,都市：住,,,,09420000
RPOOMLNJIIHGFDK87CC,光復段,39.39,都市：商,,,,04620000
RPROMLOJIIHGFBK08CC,新岡段,290.15,都市：工,,,,01680000
RPROMLOJIIHGFBK08CC,新岡段,150.15,都市：工,,,,01650000
RPROMLOJIIHGFBK08CC,新岡段,14.14,都市：工,,,,01660000
RPROMLOJIIHGFBK08CC,新岡段,19.06,都市：工,,,,01670000
RPROMLOJIIHGFBK08CC,新岡段,40.39,都市：工,,,,01790000
RPQNMLPJIIHGFBK97CC,文峰段,.00,都市：住,,,,05600000
RPQOMLOJIIHGFDK18CC,大同段,.00,都市：住,,,,07350000
RPTNMLPJIIHGFDK58DC,環市段,.00,都市：住,,,,12840000
RPTNMLPJIIHGFDK58DC,環市段,.00,都市：住,,,,12850000
RPTNMLPJIIHGFDK58DC,環市段,.00,都市：住,,,,12860000
RPRNMLPJIIHGFFK48CC,文化段,.00,都市：住,,,,10170000
RPQOMLRJIIHGFFK68CC,永貞段,.00,都市：住,,,,05500000
RPTNMLPJIIHGFFK68CC,和平段,.00,都市：商,,,,11000000
RPXNMLRJIIHGFDK09CC,大同段,.00,都市：住,,,,11390000
RPOOMLRJIIHGFDK28CC,環市段,.00,都市：住,,,,14070000
RPOOMLRJIIHGFFK48CC,中央段,.00,都市：住,,,,12360000
RPTNMLRJIIHGFBK48CC,恭敬段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,19630002
RPSNMLSJIIHGFDK68CC,大同段,.00,都市：住,,,,07220000
RPTNMLLKIIHGFFK38CC,義民段,.00,都市：商,,,,08030000
