編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLPLQHHGFDM66DB,一樓平面,1000000,35.83,一樓
RPSNMLPLQHHGFDM86DB,坡道平面,1000000,35.83,地下一樓
RPRNMLPLQHHGFDM76DB,一樓平面,1000000,35.83,一樓
RPPNMLNLQHHGFBM78DB,坡道平面,1200000,37.00,地下一樓
RPQNMLLMQHHGFAM68DB,坡道平面,1000000,29.00,地下二樓
RPQNMLLMQHHGFAM68DB,坡道平面,1000000,29.00,地下二樓
RPPNMLSLQHHGFBM66DB,坡道平面,1200000,37.00,地下一樓
RPPNMLQJRHHGFAM88DB,坡道平面,1300000,29.00,地下一樓
RPPNMLQJRHHGFAM88DB,坡道平面,1300000,29.00,地下一樓
RPPNMLRJRHHGFCM56DB,坡道平面,1300000,25.00,地下二樓
RPPNMLQJRHHGFAM78CB,一樓平面,1000000,11.57,一樓
RPPNMLNKRHHGFAM58CB,升降機械,550000,,地下一樓
RPQNMLRJRHHGFCM66DB,坡道平面,1300000,25.00,地下二樓
RPPNMLOKRHHGFBM78CB,坡道平面,900000,45.20,地下二樓
RPSNMLKLRHHGFCM88CB,坡道平面,1100000,25.96,地下二樓
RPPNMLKLRHHGFAM48DB,坡道平面,1200000,29.00,地下二樓
RPUNMLKLRHHGFCM09CB,坡道平面,1100000,25.96,地下二樓
RPTNMLKLRHHGFCM98CB,坡道平面,1100000,25.96,地下二樓
RPRNMLKLRHHGFCM78CB,坡道平面,1100000,25.96,地下二樓
RPPNMLNLRHHGFCM98DB,坡道平面,1100000,25.00,地下三樓
RPQNMLNLRHHGFCM09DB,坡道平面,1300000,25.00,地下二樓
RPQNMLNLRHHGFCM09DB,坡道平面,1300000,25.00,地下二樓
RPPNMLNLRHHGFAM68CB,坡道平面,1050000,27.13,地下一樓
RPQNMLNLRHHGFAM78CB,坡道平面,1050000,27.13,地下一樓
RPQNMLKMRHHGFAM58CB,坡道平面,1100000,30.66,地下二樓
RPPNMLKMRHHGFAM48CB,坡道平面,1100000,30.66,地下二樓
RPPNMLRJIIHGFAM08CB,升降機械,550000,,地下一樓
RPPNMLLKIIHGFCM77CB,坡道平面,1250000,25.96,地下一樓
RPRNMLKMRHHGFAM68CB,坡道平面,1000000,30.66,地下二樓
RPPNMLMKIIHGFAM67CB,坡道平面,1000000,27.13,地下一樓
RPQNMLMKIIHGFAM77CB,坡道平面,1050000,27.13,地下一樓
RPPNMLOKIIHGFAM87CB,一樓平面,1000000,11.57,一樓
RPPNMLSKIIHGFCM58DB,一樓平面,1000000,14.25,一樓
RPQNMLTKIIHGFCM78DB,坡道平面,1300000,25.00,地下二樓
RPQNMLSKIIHGFBM48CB,坡道平面,1550000,35.80,地下一樓
RPPNMLSKIIHGFBM38CB,坡道平面,1550000,35.80,地下一樓
RPPNMLTKIIHGFCM68DB,坡道平面,1300000,25.00,地下一樓
RPPNMLTKIIHGFCM68DB,坡道平面,1300000,25.00,地下一樓
RPPNMLLLIIHGFBM77CB,升降機械,850000,15.06,地下一樓
RPPNMLLLIIHGFBM77CB,升降機械,650000,15.06,地下一樓
RPQNMLRLIIHGFBM48CB,坡道平面,1350000,35.80,地下三樓
RPPNMLMJJIHGFDM97CB,一樓平面,1100000,17.90,一樓
RPPNMLMJJIHGFCM87CB,坡道平面,1100000,25.96,地下二樓
RPQNMLOKJIHGFCM38DB,一樓平面,1100000,12.65,一樓
RPPNMLOKJIHGFCM28DB,一樓平面,1100000,12.65,一樓
RPPNMLRKJIHGFBM48DB,坡道平面,1000000,37.00,地下二樓
RPQNMLMLJIHGFBM18DB,坡道平面,1150000,36.65,地下二樓
RPPNMLMLJIHGFBM08DB,坡道平面,1150000,36.65,地下二樓
RPRNMLMLJIHGFBM28DB,坡道平面,1100000,36.65,地下二樓
RPSNMLMLJIHGFBM38DB,坡道平面,1150000,36.65,地下二樓
RPRNMLOKJIHGFCM48DB,一樓平面,900000,12.65,一樓
RPTNMLMLJIHGFBM48DB,坡道平面,1250000,36.65,地下一樓
RPUNMLMLJIHGFBM58DB,坡道平面,1150000,36.65,地下二樓
RPVNMLMLJIHGFBM68DB,坡道平面,1150000,36.65,地下二樓
RPWNMLMLJIHGFBM78DB,坡道平面,1100000,36.65,地下二樓
RPRNMLSJOHIGFAM98CB,坡道平面,1400000,26.45,地下一樓
RPTNMLSJOHIGFAM56CB,坡道平面,1300000,26.45,地下二樓
RPPOMLSJOHIGFAM88CB,坡道平面,1400000,26.45,地下一樓
RPROMLSJOHIGFAM09CB,坡道平面,1300000,26.45,地下二樓
RPWOMLSJOHIGFAM96CB,坡道平面,1300000,26.45,地下二樓
