編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLPKQHHGFAM76CC,19,37.44,住家用,鋼筋混凝土造,93年1月19日,五層,,
RPWNMLPKQHHGFAM96DC,29,52.88,住商用,鋼筋混凝土造,82年7月31日,四層,,
RPUNMLQKQHHGFBM86CC,7,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPUNMLQKQHHGFBM86CC,7,14.08,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLMLQHHGFBM88CC,7,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLMLQHHGFBM88CC,7,14.08,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPVNMLQKQHHGFBM96CC,7,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPVNMLQKQHHGFBM96CC,7,14.03,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLMLQHHGFBM98CC,7,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLMLQHHGFBM98CC,7,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPOOMLQKQHHGFBM98CC,7,23.73,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPOOMLQKQHHGFBM98CC,7,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLQLQHHGFCM76CC,36,44.82,涼棚,鋼鐵造﹙無牆者﹚,75年4月9日,一層,,
RPTNMLTLQHHGFAM07CC,28,133.89,住家用,鋼筋混凝土造,83年9月30日,三層,,
RPPNMLMJRHHGFBM58CC,7,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLMJRHHGFBM58CC,7,14.04,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPPNMLPJRHHGFBM88CC,33,180.96,農舍,鋼鐵架〈有墻〉,78年12月29日,二層,,
RPRNMLTLQHHGFBM96CC,29,80.85,住家用,鋼筋混凝土造,83年1月11日,六層,,
RPWNMLLMQHHGFBM76CC,1,56.55,集合住宅,鋼筋混凝土造,110年9月10日,十五層,,
RPPNMLRJRHHGFAM98CC,26,64.95,住商用,鋼筋混凝土造,85年11月6日,五層,,
RPPNMLTKQHHGFBM66CC,27,109.38,住家用,鋼筋混凝土造,85年1月12日,十層,,
RPRNMLPKRHHGFAM09CC,42,86.94,住家用,鋼筋混凝土加強磚造,70年2月24日,二層,,
RPQNMLKLRHHGFBM68CC,7,23.73,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLKLRHHGFBM68CC,7,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPXNMLTLRHHGFAM57CC,25,26.44,住商用,鋼筋混凝土造,87年1月6日,四層,,
RPSNMLNLRHHGFAM09CC,28,71.66,住家用,鋼筋混凝土造,83年2月17日,五層,,
RPRNMLQJIIHGFBM38CC,7,23.73,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLQJIIHGFBM38CC,7,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLLKIIHGFBM97CC,7,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPRNMLLKIIHGFBM97CC,7,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPTNMLTLRHHGFCM37CC,2,381.75,住家用,ＲＣ造,110年1月11日,二層,,
RPRNMLQJIIHGFAM28CC,32,114.66,住家用,鋼筋混凝土造,79年4月9日,三層,,
RPSNMLMKIIHGFBM18CC,7,24.09,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLMKIIHGFBM18CC,7,13.76,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPVNMLLKIIHGFAM28CC,28,178.20,住家用,鋼筋混凝土造,83年6月27日,三層,,
RPTNMLSKIIHGFAM78CC,25,125.35,住家用,鋼架造,87年3月11日,一層,,
RPVNMLKLIIHGFBM38CC,7,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPVNMLKLIIHGFBM38CC,7,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPVNMLLMIIHGFCM68CC,25,214.74,住家用,鋼筋混凝土造,86年2月1日,三層,,
RPOOMLLMIIHGFCM08CC,36,162.49,住家用,鋼筋混凝土造,75年4月28日,二層,,
RPQNMLPLIIHGFAM28CC,25,133.97,人行道、店舖、住宅、樓梯間,鋼筋混凝土造,87年1月26日,三層,,
RPTNMLMJJIHGFCM38CC,47,59.90,住家用,加強磚造,64年5月22日,一層,,
RPSNMLMJJIHGFCM28CC,28,164.13,住家用,鋼筋混凝土造,83年10月12日,四層,,
RPQNMLMJJIHGFBM97CC,7,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,,
RPQNMLMJJIHGFBM97CC,7,13.67,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,,
RPSNMLNJJIHGFBM28CC,48,69.01,住家用,鋼筋混凝土加強磚造,63年10月5日,二層,,
RPVNMLMJJIHGFCM58CC,36,144.21,店舖、住宅、人行道,鋼筋混凝土造,75年2月6日,二層,,
RPUNMLMJJIHGFCM48CC,1,81.02,集合住宅,ＲＣ造,110年6月8日,十二層,,
RPUNMLMJJIHGFCM48CC,1,61.75,本共有部分之項目有停車空間、管委會使用空間、電梯機房、樓梯間、水管間、水箱間等６項,ＲＣ造,110年6月8日,十二層,,
RPQNMLTJJIHGFBM68CC,26,260.61,住商用,鋼筋混凝土造,86年4月1日,三層,,
