鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鹿港鎮,土地,崙海段98地號,988198.86,,工業區,丁種建築用地,1111210,土地71建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1749111986,1770,,0.0,0,政府機關標讓售；,RPQNMLQJKIHGFCN58DA,0.0,0.0,0.0,無,
芬園鄉,土地,新縣庄段470-1地號,2307.84,,特定農業區,農牧用地,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12231525,5300,,0.0,0,協議價購；,RPTSMLSLIIHGFAN76DA,0.0,0.0,0.0,無,
竹塘鄉,土地,五庄段423地號,111.83,,鄉村區,乙種建築用地,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,5365,,0.0,0,未登記建物；,RPUNMLOJJIHGFGN09DA,0.0,0.0,0.0,無,
芳苑鄉,土地,芳信段250地號,330.0,,特定農業區,農牧用地,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,1515,,0.0,0,,RPRNMLNJJIHGFGN68DA,0.0,0.0,0.0,無,
芳苑鄉,房地(土地+建物),彰化縣芳苑鄉斗苑路頂後段７２０巷１２０弄４２號,9590.0,,特定農業區,農牧用地,1111101,土地1建物1車位0,全,一層,透天厝,其他,有牆鋼骨造,0891011,3843.31,0,0,0,無,無,16000000,4163,,0.0,0,,RPSNMLRJJIHGFGN56DA,3843.31,0.0,0.0,無,
鹿港鎮,土地,龍山段134地號,138.24,都市：其他:第二種保存區,,,1111101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2150000,15553,,0.0,0,第2類保存區 建物維持古風貌親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLLKJIHGFCN97DA,0.0,0.0,0.0,無,
福興鄉,土地,秀安段193-2地號,81.75,,鄉村區,乙種建築用地,1111104,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,980000,11988,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLPKJIHGFCN48DA,0.0,0.0,0.0,無,0001
鹿港鎮,土地,鹿福段1284-2地號,0.63,住,,,1111107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47643,0,,0.0,0,,RPUNMLSJJIHGFCN09DA,0.0,0.0,0.0,無,
二林鎮,房地(土地+建物),彰化縣二林鎮大仁街２５號六樓之五,6.37,住,,,1111108,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,28.150000000000002,1,0,1,有,有,920000,32682,,0.0,0,,RPUNMLPKJIHGFGN66DA,18.39,0.0,3.28,有,0002
埔鹽鄉,土地,光明段2214-9地號,49.6,,特定農業區,甲種建築用地,1111106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,10081,,0.0,0,含土地增值稅或其他稅費42283元；含仲介費5000元；其他 雜支:2717元；未登記建物；,RPRNMLLKJIHGFHN78EA,0.0,0.0,0.0,無,0003
彰化市,房地(土地+建物),彰化縣彰化市成功路１９號,46.0,商,,,1111102,土地1建物1車位0,全,一層,透天厝,住家用,木石磚造（磚石造）,0570112,40.76,3,1,1,有,無,7080000,173700,,0.0,0,其他增建；,RPVNMLPKJIHGFAN78DA,40.76,0.0,0.0,無,0004
伸港鄉,土地,興安段311地號,56.36,,鄉村區,乙種建築用地,1111102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,153600,2725,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOKJIHGFBN18DA,0.0,0.0,0.0,無,
鹿港鎮,土地,鹿福段535地號,20.47,住,,,1111101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1857000,90718,,0.0,0,賣方實拿1857000元，土地增值稅216839元由買方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPWNMLRJJIHGFCN56DA,0.0,0.0,0.0,無,0005
鹿港鎮,土地,東昇段791地號,47.0,,特定農業區,農牧用地,1111110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,320000,6809,,0.0,0,,RPRNMLPKJIHGFCN58DA,0.0,0.0,0.0,無,0006
花壇鄉,房地(土地+建物),彰化縣花壇鄉金墩街１８１巷９號,79.76,,鄉村區,乙種建築用地,1111102,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720426,89.3,6,1,3,有,無,6500000,72788,,0.0,0,頂樓加蓋；其他增建；,RPXNMLQKJIHGFAN09DA,89.3,0.0,0.0,無,0007
