鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北斗鎮,房地(土地+建物),彰化縣北斗鎮文苑路一段260巷,34.11,住,,,1110813,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.31,2,2,2,有,無,5650000,56893,,0.0,0,,RPPNMLOKQHHGFFN56CB,大心,D棟5號
北斗鎮,房地(土地+建物),彰化縣北斗鎮文苑路一段260巷,36.72,住,,,1110814,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,106.66,3,2,2,有,無,5800000,54378,,0.0,0,,RPRNMLOKQHHGFFN76CB,大心,D棟1號
北斗鎮,房地(土地+建物),彰化縣北斗鎮文苑路一段260巷,26.77,住,,,1110814,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.35,2,2,1,有,無,4500000,58177,,0.0,0,,RPTNMLPKQHHGFFN07CB,大心,D棟3號
埤頭鄉,房地(土地+建物),彰化縣埤頭鄉稻香路363巷與平原路的路口,127.86,,鄉村區,乙種建築用地,1110811,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,188.3,3,2,4,有,無,12000000,63728,,0.0,0,,RPPNMLPKQHHGFFN76DB,稻香LaVie,A棟1號
彰化市,房地(土地+建物)+車位,彰化縣彰化市埔內街,37.26,,特定農業區,甲種建築用地,1110812,土地2建物1車位2,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,212.81,3,2,2,有,無,15900000,91730,坡道平面,70.0,2800000,本地號尚未分割，登記以分割後面積為主。,RPPNMLPKQHHGFAN78CB,同成馥,D棟9號
福興鄉,房地(土地+建物)+車位,彰化縣福興鄉番花路,40.8,,鄉村區,乙種建築用地,1110814,土地4建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.31,3,2,2,有,無,6760000,62287,一樓平面,8.44,1100000,,RPPNMLQKQHHGFCN09CB,臻冠富邸,B3棟4F號
花壇鄉,房地(土地+建物),彰化縣花壇鄉金墩街69巷,77.34,,鄉村區,乙種建築用地,1110812,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,130.31,4,2,3,有,無,9600000,73670,,0.0,0,,RPPNMLQKQHHGFAN98DB,金墩新墅,A棟7號
埔鹽鄉,房地(土地+建物)+車位,彰化縣埔鹽鄉永平段385、388地號,26.51,,鄉村區,乙種建築用地,1110815,土地2建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,71.16,2,1,1,有,無,5750000,83671,升降機械,12.0,800000,,RPPNMLRKQHHGFHN07CB,中央悅,A棟6號
溪州鄉,房地(土地+建物),彰化縣溪州鄉太平路旁,38.57,住,,,1110814,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,118.51,3,1,2,有,無,6160000,51979,,0.0,0,,RPPNMLTKQHHGFFN07CB,富邑皇邸22號苑,1棟206號
