編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOOMLPKQHHGFCQ76CC,2,32.36,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPTNMLNLQHHGFCQ07CC,43,107.39,住家用,加強磚造,68年8月24日,二層,,
RPQNMLOLQHHGFDQ96CC,17,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPQNMLOLQHHGFDQ96CC,17,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPWOMLOLQHHGFDQ67CC,17,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPWOMLOLQHHGFDQ67CC,17,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPXNMLPLQHHGFDQ77CC,42,102.21,住家用,鋼筋混凝土加強磚造,69年3月1日,二層,,
RPRPMLOLQHHGFDQ27CC,17,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPRPMLOLQHHGFDQ27CC,17,7.19,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPWNMLPLQHHGFDQ67CC,42,102.21,住家用,鋼筋混凝土加強磚造,69年3月1日,二層,,
RPQNMLMJRHHGFCQ56CC,15,27.04,停車空間、住宅、店舖,鋼筋混凝土造,96年6月11日,四層,,
RPUNMLMJRHHGFDQ07CC,39,106.61,住家用,鋼筋混凝土加強磚造,72年10月5日,二層,,
RPPNMLQJRHHGFCQ86CC,43,124.15,住家用,加強磚造,68年5月2日,二層,,
RPSNMLKMQHHGFCQ76CC,2,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
RPQNMLSJRHHGFCQ17CC,51,655.40,工業用,筋加強磚造,60年9月15日,一層,,
RPQNMLSJRHHGFCQ17CC,51,22.17,警衛室,加強磚造,60年9月15日,一層,,
RPQNMLSJRHHGFCQ17CC,50,655.20,工業用,鋼架加強磚造,62年1月15日,一層,,
RPQNMLSJRHHGFCQ17CC,50,284.00,倉庫．餐廳,加強磚造,62年1月5日,一層,,
RPQNMLSJRHHGFCQ17CC,50,33.39,廁所,磚造,62年1月15日,一層,,
RPSOMLRJRHHGFCQ37CC,16,18.75,集合住宅,鋼筋混凝土造,95年10月19日,五層,,
RPSOMLRJRHHGFCQ37CC,16,11.16,管理委員會空間、集合住宅、停車空間,鋼筋混凝土造,95年10月19日,五層,,
RPSNMLMKRHHGFCQ86CC,15,27.14,停車空間、住宅、店舖,鋼筋混凝土造,96年6月11日,四層,,
RPTNMLMKRHHGFCQ96CC,28,97.42,集合住宅,鋼筋混凝土造,83年8月8日,十一層,,
RPTNMLMKRHHGFCQ96CC,28,15.71,共有部分,鋼筋混凝土造,83年8月8日,十一層,,
RPVNMLPKRHHGFCQ47CC,15,27.14,停車空間、住宅、店舖,鋼筋混凝土造,96年6月11日,四層,,
RPTNMLMKRHHGFCQ96CC,28,19.30,共有部分,鋼筋混凝土造,83年8月8日,十一層,,
RPQNMLLMQHHGFBQ56CC,16,66.75,商業用,鋼筋混凝土造,95年8月28日,八層,,
RPQNMLLMQHHGFBQ56CC,16,40.89,共有部分,鋼筋混凝土造,95年8月28日,,,
RPVPMLMKRHHGFDQ47CC,23,132.56,集合住宅,鋼筋混凝土造,88年5月31日,三層,,
RPQNMLMLQHHGFBQ56CC,16,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPQNMLMLQHHGFBQ56CC,16,4.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPQNMLMLQHHGFBQ56CC,16,7.43,共有部分,鋼筋混凝土造,95年8月28日,,,
RPWNMLPKRHHGFCQ57CC,15,27.14,停車空間、住宅、店舖,鋼筋混凝土造,96年6月11日,四層,,
RPSNMLTKRHHGFCQ57CC,27,168.11,住家用,鋼筋混凝土造,84年7月3日,三層,,
RPRNMLSKQHHGFBQ17CC,16,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPRNMLSKQHHGFBQ17CC,16,4.19,共有部分,鋼筋混凝土造,95年8月28日,,,
RPRNMLSKQHHGFBQ17CC,16,5.78,共有部分,鋼筋混凝土造,95年8月28日,,,
RPUNMLKLRHHGFDQ07CC,29,86.01,集合住宅,鋼筋混凝土造,82年10月6日,九層,,
RPUNMLKLRHHGFDQ07CC,29,13.03,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPUNMLKLRHHGFDQ07CC,29,13.34,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,
RPWNMLMLRHHGFCQ37CC,2,29.54,住家用,鋼筋混凝土造,110年2月2日,三層,,
