鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
萬丹鄉,房地(土地+建物),屏東縣萬丹鄉社安段251 251-1 251-2 地號,23.71,,鄉村區,乙種建築用地,1110812,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,73.54,2,2,2,有,無,4160000,56568,,0.0,0,,RPSNMLMKQHHGFAT76CB,鑫邑,B棟3號
屏東市,房地(土地+建物)+車位,屏東縣屏東市公正四街,22.04,住,,,1110812,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.2,2,2,2,有,無,7950000,75612,坡道平面,29.59,1250000,,RPPNMLPKQHHGFAT76CB,閱山,2棟B6-9F號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.15,,鄉村區,乙種建築用地,1110811,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.45,3,2,2,有,無,7680000,58908,坡道平面,13.75,1100000,,RPQNMLPKQHHGFAT86CB,萬丹印象,A棟1號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,21.84,,鄉村區,乙種建築用地,1110813,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.43,3,2,2,有,無,6260000,61663,坡道平面,13.75,1100000,,RPRNMLPKQHHGFAT96CB,萬丹印象,I棟3號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.15,,鄉村區,乙種建築用地,1110814,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.45,3,2,2,有,無,7800000,59982,坡道平面,13.75,1100000,,RPSNMLPKQHHGFAT07CB,萬丹印象,A棟1號
屏東市,房地(土地+建物)+車位,屏東縣屏東市成功路、西樂街口,22.2,住,,,1110815,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.16,2,2,1,有,無,8470000,86383,坡道平面,27.0,1200000,,RPTNMLNLQHHGFAT07CB,種子聖殿,B棟2號
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,47.65,住,,,1110812,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.46,3,2,2,有,無,7880000,59044,一樓平面,0.0,0,,RPQNMLOLQHHGFAT86CB,森活家2期,A3棟1號
長治鄉,房地(土地+建物)+車位,屏東縣長治鄉合興路,47.65,住,,,1110812,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.46,3,2,2,有,無,7880000,59044,一樓平面,0.0,0,,RPRNMLOLQHHGFAT96CB,森活家2期,A4棟1號
潮州鎮,房地(土地+建物),屏東縣潮州鎮蓬萊里江山路,23.6,,鄉村區,乙種建築用地,1110811,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,72.71,2,2,2,有,無,3980000,54738,,0.0,0,廣告戶促銷優惠價,RPRNMLPLQHHGFCT27CB,蓬萊一品,A棟04號
屏東市,房地(土地+建物)+車位,屏東縣屏東市 崇朝路183號旁,33.33,住,,,1110814,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,99.14,2,2,2,有,無,7820000,75770,一樓平面,13.75,1350000,,RPQNMLTLQHHGFAT37CB,泓喬向陽,B棟2號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.15,,鄉村區,乙種建築用地,1110822,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.45,3,2,2,有,無,7680000,58908,坡道平面,13.75,1100000,,RPRNMLTLQHHGFAT47CB,萬丹印象,D棟2號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,25.15,,鄉村區,乙種建築用地,1110820,土地1建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.15,3,2,2,有,無,6930000,60477,坡道平面,13.75,1100000,,RPSNMLTLQHHGFAT57CB,萬丹印象,D棟3號
萬丹鄉,房地(土地+建物)+車位,屏東縣萬丹鄉萬丹路二段470號旁,29.92,,鄉村區,乙種建築用地,1110823,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,128.41,3,2,2,有,無,7870000,59044,坡道平面,13.75,1100000,,RPUNMLTLQHHGFAT77CB,萬丹印象,D棟1號
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮長春一路,30.46,住,,,1110812,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.01,2,2,2,有,無,7600000,75992,,0.0,1450000,,RPPNMLKMQHHGFDT76CB,長春YES華廈,A3棟3F號
東港鎮,房地(土地+建物),屏東縣東港鎮長春一路,24.94,住,,,1110818,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,68.9,2,2,2,有,無,4950000,71843,,0.0,0,,RPQNMLKMQHHGFDT86CB,長春YES華廈,B6棟5F號
