編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMLQHHGFAU76DB,坡道平面,900000,17.16,地下一樓
RPSNMLLJRHHGFAU76CB,一樓平面,1050000,33.82,一樓
RPWNMLMJRHHGFAU27CB,一樓平面,1300000,11.96,一樓
RPPNMLSJRHHGFAU17CB,坡道平面,455000,12.65,地下一樓
RPQNMLSJRHHGFAU27CB,一樓平面,1400000,1.99,一樓
RPRNMLNKRHHGFAU96CB,一樓平面,1400000,33.06,一樓
RPWNMLQKRHHGFAU77CB,坡道平面,900000,17.16,地下一樓
RPRNMLTKRHHGFAU57CB,坡道平面,1500000,20.33,地下一樓
RPPNMLMLRHHGFAU76CB,升降機械,800000,14.75,一樓
RPPNMLNLRHHGFAU86CB,一樓平面,1050000,33.82,一樓
RPQNMLNLRHHGFAU96CB,一樓平面,1050000,33.82,一樓
RPQNMLOLRHHGFAU07CB,坡道平面,1500000,26.44,地下一樓
RPWNMLSLRHHGFAU08CB,坡道機械,600000,5.15,一樓
RPPNMLKMRHHGFAU66CB,坡道平面,1050000,23.78,地下二樓
RPPNMLKMRHHGFAU66CB,坡道平面,100000,2.06,地下一樓
RPRNMLKMRHHGFAU86CB,坡道平面,1050000,23.78,地下二樓
RPRNMLOJIIHGFAU78CB,坡道平面,1550000,28.00,地下二樓
RPWNMLPJIIHGFAU76CB,坡道平面,1000000,20.17,一樓
RPUNMLPJIIHGFAU56CB,升降機械,600000,13.88,地下二樓
RPTOMLQJIIHGFAU66CB,坡道平面,1500000,26.44,地下一樓
RPPNMLMKIIHGFAU48CB,坡道平面,1300000,25.34,地下一樓
RPPNMLNKIIHGFAU58CB,升降機械,800000,5.15,一樓
RPSNMLNKIIHGFAU88CB,坡道平面,900000,17.16,地下一樓
RPUNMLOKIIHGFAU56CB,坡道平面,1200000,24.72,地下一樓
RPRNMLSKIIHGFAU66CB,坡道平面,900000,17.16,地下一樓
RPSNMLKLIIHGFAU68CB,坡道機械,700000,9.26,地下二樓
RPUNMLKLIIHGFAU88CB,坡道平面,1700000,25.00,地下一樓
RPVNMLKLIIHGFAU98CB,坡道平面,1800000,25.00,地下一樓
RPQNMLNLIIHGFAU78CB,坡道平面,1150000,23.78,地下一樓
RPPNMLPLIIHGFAU88CB,一樓平面,1300000,14.64,一樓
RPPNMLRLIIHGFAU56DB,一樓平面,1670000,21.24,一樓
RPPNMLLMIIHGFAU58CB,坡道平面,1200000,24.75,地下二樓
RPRNMLLMIIHGFAU78CB,坡道平面,1200000,24.72,地下一樓
RPSNMLLMIIHGFAU88CB,坡道平面,1100000,24.72,地下二樓
RPSNMLLMIIHGFAU88CB,坡道平面,1100000,24.72,地下二樓
RPPNMLMJJIHGFAU48CB,一樓平面,1600000,32.94,一樓
RPQNMLMJJIHGFAU68DB,升降平面,1000000,29.90,地下二樓
RPPNMLNJJIHGFAU58CB,坡道平面,1700000,24.72,地下三樓
RPTNMLNJJIHGFAU98CB,坡道平面,1700000,24.72,地下三樓
RPSNMLNJJIHGFAU88CB,坡道平面,1800000,24.72,地下二樓
RPUNMLNJJIHGFAU09CB,坡道平面,1700000,24.72,地下三樓
RPXNMLNJJIHGFAU76CB,坡道平面,1800000,24.72,地下二樓
RPOOMLNJJIHGFAU58CB,坡道平面,1700000,24.72,地下三樓
RPPOMLNJJIHGFAU68CB,坡道平面,1650000,24.14,地下三樓
RPROMLNJJIHGFAU88CB,坡道平面,1650000,24.14,地下三樓
RPSOMLNJJIHGFAU98CB,坡道平面,1650000,24.14,地下三樓
RPTOMLNJJIHGFAU09CB,坡道平面,1900000,24.72,地下一樓
RPUOMLNJJIHGFAU56CB,坡道平面,1900000,24.72,地下一樓
RPPNMLRJJIHGFAU98CB,坡道機械,850000,9.26,地下二樓
RPWNMLRJJIHGFAU07CB,坡道平面,1900000,24.72,地下一樓
RPSNMLRJJIHGFAU66CB,坡道機械,700000,9.26,地下二樓
RPXNMLRJJIHGFAU17CB,坡道平面,1700000,24.72,地下三樓
RPOOMLRJJIHGFAU98CB,坡道平面,1700000,24.72,地下三樓
RPQOMLRJJIHGFAU56CB,坡道平面,1800000,24.72,地下二樓
RPSOMLRJJIHGFAU76CB,坡道平面,1700000,24.72,地下三樓
RPUOMLRJJIHGFAU96CB,坡道平面,1700000,24.72,地下三樓
RPTOMLRJJIHGFAU86CB,坡道平面,1800000,24.72,地下二樓
RPROMLRJJIHGFAU66CB,坡道平面,1900000,24.72,地下一樓
RPVOMLRJJIHGFAU07CB,坡道平面,1700000,24.72,地下三樓
RPWOMLRJJIHGFAU17CB,坡道平面,1700000,24.72,地下三樓
RPOPMLRJJIHGFAU09CB,坡道平面,1800000,24.72,地下二樓
RPXOMLRJJIHGFAU27CB,坡道平面,1700000,24.72,地下三樓
RPPNMLRJJIHGFAU09DB,升降機械,800000,14.75,一樓
RPQNMLTJJIHGFAU66CB,坡道平面,1200000,24.72,地下一樓
RPPPMLRJJIHGFAU56CB,坡道平面,1900000,24.72,地下一樓
RPPNMLTJJIHGFAU56CB,坡道平面,1100000,24.75,地下二樓
RPRNMLTJJIHGFAU76CB,坡道平面,1200000,24.72,地下一樓
RPRNMLTJJIHGFAU76CB,坡道平面,1200000,24.72,地下一樓
RPRNMLTJJIHGFAU76CB,坡道平面,1200000,24.72,地下一樓
RPQNMLMKJIHGFAU68CB,坡道平面,1700000,24.72,地下三樓
RPQNMLPKJIHGFAU98CB,坡道平面,900000,33.82,地下一樓
RPQNMLRKJIHGFAU56CB,坡道平面,1100000,24.72,地下二樓
RPPNMLSKJIHGFAU56CB,坡道平面,1200000,24.72,地下一樓
RPPNMLRKJIHGFAU09CB,坡道平面,1100000,24.72,地下二樓
RPQNMLMLJIHGFAU78CB,一樓平面,1600000,32.94,一樓
RPPNMLLLJIHGFAU58CB,坡道平面,1300000,25.34,地下一樓
RPQNMLPLJIHGFAU09CB,一樓平面,1500000,29.16,一樓
RPRNMLOKKIHGFAU09CB,一樓平面,1500000,29.16,一樓
RPUNMLSLLHIGFAU37CB,坡道平面,1500000,26.44,地下一樓
