編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLPKQHHGFAV77DC,47,443.35,住商用,鐵筋水泥磚,64年5月23日,四層,,
RPVNMLNLQHHGFAV57CC,50,73.28,住家用,鐵筋水泥磚,62年2月20日,二層,,
RPTOMLPKQHHGFAV57CC,8,29.00,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPOOMLNKRHHGFAV96CC,8,29.00,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPUOMLPKQHHGFAV67CC,8,19.00,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPPNMLTLQHHGFAV57CC,27,172.94,住家用,鋼筋混凝土造,85年2月16日,三層,,
RPPNMLSJRHHGFAV37CC,,108.00,住家用,加強磚造．鋼鐵造,,二層,,
RPQNMLTLRHHGFAV77CC,9,125.03,騎樓、店舖、住宅、寄宿舍、車道、樓梯間、水箱,ＲＣ造,102年8月14日,四層,,
RPQOMLRJIIHGFAV66CC,8,29.00,住宅、樓梯間,ＲＣ造,103年9月22日,三層,,
RPSOMLMKIIHGFAV09CC,5,33.00,住宅、樓梯間,ＲＣ造,106年8月31日,二層,,
RPXNMLPLIIHGFAV27CC,22,281.99,住家用,鋼筋混凝土造,89年12月11日,三層,,
RPQNMLKLIIHGFCV98DC,24,152.90,住家用,鋼筋混凝土造,87年11月27日,三層,,
RPTNMLRLIIHGFAV17DC,,117.00,住商用,鐵筋水泥磚,,二層,,
RPWNMLSJJIHGFAV37CC,42,106.22,住家用,鋼筋混凝土加強磚造,69年5月7日,二層,,
