編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLPKQHHGFAV77DC,台東段,81.00,都市：商,,,,04730001
RPVNMLNLQHHGFAV57CC,光明段,55.00,都市：住,,,,05910000
RPTOMLPKQHHGFAV57CC,中心段,.00,都市：住,,,,03450000
RPTOMLPKQHHGFAV57CC,中心段,.00,都市：住,,,,03440006
RPVNMLPKQHHGFAV77DC,台東段,17.00,都市：商,,,,04740009
RPOOMLNKRHHGFAV96CC,中心段,.00,都市：住,,,,03450000
RPOOMLNKRHHGFAV96CC,中心段,.00,都市：住,,,,03440006
RPUOMLPKQHHGFAV67CC,中心段,.00,都市：住,,,,03450000
RPUOMLPKQHHGFAV67CC,中心段,.00,都市：住,,,,03440006
RPPNMLTLQHHGFAV57CC,利家段,19.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,82850000
RPQNMLTLRHHGFAV77CC,新生段,.00,都市：住,,,,02040000
RPPNMLTLQHHGFAV57CC,利家段,112.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,81260000
RPPNMLSJRHHGFAV37CC,豐谷段,108.00,都市：住,,,,07710000
RPQOMLRJIIHGFAV66CC,中心段,.00,都市：住,,,,03450000
RPQOMLRJIIHGFAV66CC,中心段,.00,都市：住,,,,03440006
RPSOMLMKIIHGFAV09CC,興安段,.00,都市：住,,,,03300000
RPXNMLPLIIHGFAV27CC,馬蘭段,174.00,都市：住,,,,16640000
RPQNMLKLIIHGFCV98DC,鹿寮段,176.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,03000000
RPTNMLRLIIHGFAV17DC,台東段,114.00,都市：商,,,,03950001
RPWNMLSJJIHGFAV37CC,豐年段,76.36,都市：住,,,,10070000
