鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
馬公市,土地,五福段959地號,58.34,,鄉村區,乙種建築用地,1111107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1587600,27213,,0.0,0,非屬不動產價格之費用土地增值稅由買方承擔,RPRNMLTJJIHGFAX17EA,0.0,0.0,0.0,無,001
馬公市,土地,四維段710地號,450.86,,一般農業區,農牧用地,1111106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1360000,3016,,0.0,0,,RPVNMLRJJIHGFAX27DA,0.0,0.0,0.0,無,
白沙鄉,土地,赤崁中段1035地號,375.16,,一般農業區,農牧用地,1111101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,620000,1653,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLSJJIHGFAX07EA,0.0,0.0,0.0,無,
湖西鄉,土地,尖山南段1141地號,577.38,,一般農業區,農牧用地,1111109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,1732,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKJIHGFAX76EA,0.0,0.0,0.0,無,002
馬公市,土地,北澳段64地號,62.61,,一般農業區,農牧用地,1111103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,6389,,0.0,0,,RPQOMLLKJIHGFAX98DA,0.0,0.0,0.0,無,003
馬公市,土地,安宅段534地號,2366.45,,一般農業區,農牧用地,1111108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64960000,27450,,0.0,0,權利人共9人土地交易案件之價格含未來興建房屋成本；,RPOOMLSJJIHGFAX76DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市忠孝路７０巷１６號,28.0,住,,,1111107,土地1建物1車位0,全,一層,透天厝,住家用,造,0581115,22.04,1,1,1,有,無,2660000,120690,,0.0,0,,RPVNMLSJJIHGFAX37DA,22.04,0.0,0.0,無,
白沙鄉,土地,鳥嶼新段462地號,20.05,,鄉村區,乙種建築用地,1111107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104260,5200,,0.0,0,政府機關標讓售；,RPPOMLNJJIHGFAX98DA,0.0,0.0,0.0,無,
白沙鄉,土地,通梁南段1257地號,57.03,商,,,1111114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,17535,,0.0,0,,RPPNMLNKJIHGFAX98DA,0.0,0.0,0.0,無,004
馬公市,土地,虎井段1333地號,164.0,,鄉村區,乙種建築用地,1111110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,549,,0.0,0,賣方賣清價土地增值稅由買方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPSOMLLKJIHGFAX56DA,0.0,0.0,0.0,無,
湖西鄉,土地,尖山中段567地號,504.82,,一般農業區,農牧用地,1111122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,594,,0.0,0,,RPRNMLMLJIHGFAX56DA,0.0,0.0,0.0,無,
湖西鄉,土地,湖西北段529地號,790.05,,一般農業區,農牧用地,1111110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1519,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLPKJIHGFAX56DA,0.0,0.0,0.0,無,005
馬公市,土地,興仁段325地號,663.2,,一般農業區,農牧用地,1111114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1003000,1512,,0.0,0,,RPWNMLPKJIHGFAX27DA,0.0,0.0,0.0,無,
白沙鄉,土地,赤崁北段212地號,28.73,,鄉村區,乙種建築用地,1111117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,87000,3028,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLRKJIHGFAX76DA,0.0,0.0,0.0,無,
馬公市,土地,山水北段349-1地號,392.14,,一般農業區,農牧用地,1111121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4080000,10404,,0.0,0,,RPQNMLMLJIHGFAX09DA,0.0,0.0,0.0,無,
西嶼鄉,土地,內垵二段1060地號,117.0,,鄉村區,乙種建築用地,1111124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,6838,,0.0,0,,RPWNMLSLJIHGFAX67DA,0.0,0.0,0.0,無,
馬公市,土地,雙湖段1084-1地號,18.7,,一般農業區,水利用地,1111114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,106403,5690,,0.0,0,政府機關標讓售；,RPUNMLTLJIHGFAX67EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市光明路５７之４號,15.4,商,,,1111124,土地2建物1車位0,五層，電梯樓梯間,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670623,74.36,3,2,1,有,無,3500000,47068,,0.0,0,,RPVNMLPLJIHGFAX27DA,74.36,0.0,0.0,無,006
湖西鄉,土地,鼎灣新段991地號,156.28,,一般農業區,農牧用地,1111122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,407000,2604,,0.0,0,,RPPNMLRLJIHGFAX86DA,0.0,0.0,0.0,無,007
馬公市,土地,文石段1133地號,1488.7,,一般農業區,農牧用地,1111121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,77180000,51844,,0.0,0,土地交易案件之價格含未來興建房屋成本；,RPVNMLSLJIHGFAX57DA,0.0,0.0,0.0,無,008
馬公市,土地,文東段1823地號,2095.84,,一般農業區,農牧用地,1111118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64100000,30584,,0.0,0,本案件權利人共10位。,RPROMLTLJIHGFAX37DA,0.0,0.0,0.0,無,009
馬公市,土地,中衛段453地號,2129.31,工,,,1111123,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39300000,18457,,0.0,0,,RPSOMLTLJIHGFAX47DA,0.0,0.0,0.0,無,010
馬公市,房地(土地+建物),澎湖縣馬公市貿商街１２１號六樓之五,26.48,住,,,1111117,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950710,161.54,3,2,2,有,有,4000000,24762,,0.0,0,,RPXNMLKMJIHGFAX07DA,88.74,0.0,10.18,有,011
馬公市,土地,烏崁新段239地號,587.48,,一般農業區,農牧用地,1111125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2130000,3626,,0.0,0,,RPPOMLTLJIHGFAX17DA,0.0,0.0,0.0,無,
湖西鄉,土地,許家段10地號,3614.8,,一般農業區,農牧用地,1111115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23082000,6385,,0.0,0,,RPXNMLPKJIHGFAX37DA,0.0,0.0,0.0,無,
白沙鄉,土地,鎮海新段135地號,49.69,,鄉村區,乙種建築用地,1111111,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,7245,,0.0,0,,RPPNMLPLJIHGFAX76EA,0.0,0.0,0.0,無,
湖西鄉,土地,城北段349地號,1386.03,,一般農業區,農牧用地,1111108,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,1299,,0.0,0,,RPWNMLLJKIHGFAX86DA,0.0,0.0,0.0,無,
湖西鄉,房地(土地+建物),澎湖縣湖西鄉紅羅４９之１８號,802.87,,一般農業區,農牧用地,1111122,土地1建物1車位0,全,二層,透天厝,農業用,鋼筋混凝土造,1040817,139.09,4,1,5,有,無,9660000,69451,,0.0,0,,RPWNMLMJKIHGFAX96DA,131.94,7.15,0.0,無,
馬公市,土地,四維段930地號,104.28,,鄉村區,乙種建築用地,1111111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1892682,18150,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLSLJIHGFAX96DA,0.0,0.0,0.0,無,
馬公市,土地,國宅段372地號,1882.06,,一般農業區,農牧用地,1111125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8900000,4729,,0.0,0,,RPPOMLSLJIHGFAX07DA,0.0,0.0,0.0,無,
白沙鄉,土地,後寮南段280地號,547.1,,一般農業區,農牧用地,1111128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2376,,0.0,0,,RPXNMLMJKIHGFAX07DA,0.0,0.0,0.0,無,
馬公市,土地,五德東段508地號,191.9,,一般農業區,農牧用地,1111124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,31266,,0.0,0,權利人共1人土地交易案件之價格含未來興建房屋成本；,RPOOMLKMJIHGFAX88DA,0.0,0.0,0.0,無,012
馬公市,土地,國宅段374地號,386.11,,一般農業區,農牧用地,1111125,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3795000,9829,,0.0,0,,RPQOMLSLJIHGFAX17DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市鎖管港２０２號,81.83,住,,,1111110,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700216,78.98,1,1,1,有,無,1680000,21271,,0.0,0,,RPROMLQKJIHGFAX96DA,78.98,0.0,0.0,無,
湖西鄉,土地,城北段1004地號,207.78,,一般農業區,農牧用地,1111003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4250000,20454,,0.0,0,農變建專案核准興建住宅親友、員工、共有人或其他特殊關係間之交易；,RPQOMLRJIIHGFAX76DA,0.0,0.0,0.0,無,013
