鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
信義區,房地(土地+建物),臺北市信義區忠孝東路五段５０１號,3.98,商,,,1120302,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600719,14.8,0,0,0,有,無,3000000,202703,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKJHIGFDA47EA,14.8,0.0,0.0,無,0001
信義區,房地(土地+建物),臺北市信義區忠孝東路五段５０１號,3.98,商,,,1120302,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600719,14.8,0,0,0,有,無,3000000,202703,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOVMLOJJHIGFDA77EA,14.8,0.0,0.0,無,0001
中山區,房地(土地+建物),臺北市中山區長春路８８號三樓之１２,3.83,商,,,1120301,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690201,35.89,1,1,1,有,有,6500000,181109,,0.0,0,,RPOQMLRJLHIGFCA57DA,24.92,0.0,3.51,有,
中山區,房地(土地+建物),臺北市中山區市民大道三段１６９號十三樓之３,8.81,住,,,1120201,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970602,68.81,2,1,1,有,有,13200000,191833,,0.0,0,,RPOOMLSJKHIGFCA47EA,24.54,1.86,3.41,有,0003
萬華區,車位,臺北市萬華區東園街１７３、１７５、１７７、１７７之１、１７７之２、１７７之３號建築物地下二、三層,3.42,商,,,1120201,土地1建物1車位1,地下二層，地下三層,十七層,其他,停車空間,鋼骨鋼筋混凝土造,0921001,30.72,0,0,0,有,有,2600000,,坡道平面,30.72,2600000,車位編號:地下二層166號僅車位交易；,RPQOMLRJKHIGFBA47EA,0.0,0.0,0.0,有,0004
士林區,土地,溪洲段二小段385地號,0.99,住,,,1120203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,64135,0,,0.0,0,,RPROMLSJKHIGFEA97EA,0.0,0.0,0.0,無,0005
信義區,土地,福德段一小段734地號,0.01,都市：其他:道路用地(公共設施用地)。51/9/1,,,1120201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,230,0,,0.0,0,包含公共設施保留地用地；,RPPOMLSJKHIGFDA67EA,0.0,0.0,0.0,無,0006
士林區,房地(土地+建物),臺北市士林區大西路７４巷２號,21.67,商,,,1120204,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610307,57.17,2,2,1,有,無,8520000,149029,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLOJKHIGFEA97DA,57.17,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區林森北路１００號四樓之５,4.19,商,,,1120201,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0710224,51.5,0,0,0,無,有,7800000,151456,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLSJKHIGFCA38EA,40.94,0.0,0.0,有,
