鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南港區,建物,臺北市南港區福德街３１０巷１８弄２號四樓,0.0,住,,,1111026,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661229,76.01,2,2,1,有,無,有,19500,257,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPVOMLLKJIHGFDA57CC
南港區,建物,臺北市南港區重陽路１６６巷４弄２０號二樓,0.0,住,,,1111031,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610317,69.53,3,2,2,有,無,有,24000,345,,0.0,0,加入臺北市社會住宅包租代管第3期計畫,RPXOMLLKJIHGFDA77CC
信義區,建物,臺北市信義區信義路五段１２６號５樓之８,0.0,其他,,,1111018,土地0建物1車位0,五層,25,套房(1房1廳1衛),住家用,鋼骨造、鋼骨鋼筋混凝土造,0931130,221.2,1,1,1,有,有,有,110000,497,,0.0,0,,RPPPMLLKJIHGFDA07CC
松山區,建物,臺北市松山區八德路四段７６５號三樓之１１,0.0,商,,,1111015,土地0建物0車位0,三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860613,29.229999999999997,1,0,1,有,有,有,13000,445,,0.0,0,套房N室,RPRPMLLKJIHGFDA27CC
南港區,建物,臺北市南港區玉成街１３０號,0.0,商,,,1111109,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630923,98.58,0,0,0,無,無,無,120000,1217,,0.0,0,,RPSPMLLKJIHGFDA37CC
松山區,建物,臺北市松山區八德路四段７６５號三樓之１１,0.0,商,,,1111016,土地0建物0車位0,三層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860613,40.91,1,0,1,有,有,有,15000,367,,0.0,0,套房K室,RPTPMLLKJIHGFDA47CC
萬華區,建物,臺北市萬華區成都路１１０號６樓之２,0.0,商,,,1111109,土地0建物1車位0,六層,12,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,0660907,30.509999999999998,1,0,1,有,有,有,12000,393,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫。水電瓦斯費及每月管理費662元由承租人負擔。,RPQNMLLKJIHGFBA76CC
大同區,建物,臺北市大同區民生西路２９０號３樓,0.0,商,,,1111028,土地0建物1車位1,三層,10,辦公商業大樓,商業用,鋼筋混凝土造,0800712,326.15999999999997,3,1,2,有,有,無,90000,276,升降平面,0.0,0,,RPRNMLLKJIHGFBA86CC
萬華區,建物,臺北市萬華區中華路２段４９８巷５號９樓,0.0,住,,,1111025,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680403,59.84,2,1,1,有,無,有,20200,338,,0.0,0,加入國家住宅及都市更新中心新北市109社會住宅包租代管第2期計畫,RPTNMLLKJIHGFBA07CC
大安區,建物,臺北市大安區信義路四段１３７號１樓,0.0,其他,,,1111102,土地0建物1車位0,一層,12,店面(店鋪),見使用執照,鋼筋混凝土造,0690531,375.7,0,0,0,無,有,有,435000,1158,,0.0,0,,RPXNMLLKJIHGFFA87CC
大安區,建物,臺北市大安區仁愛路三段１２５號２樓,0.0,住,,,1111104,土地0建物1車位0,二層,12,辦公商業大樓,住家用,鋼筋混凝土造,0700127,185.72,0,0,0,無,有,無,95000,512,,0.0,0,,RPQOMLLKJIHGFFA27CC
大安區,建物,臺北市大安區信義路三段１３４巷９４號三樓,0.0,住,,,1111103,土地0建物1車位0,三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750415,125.53,3,2,2,有,有,有,45000,358,,0.0,0,,RPUOMLLKJIHGFFA67CC
士林區,建物,臺北市士林區承德路四段２２０號８樓,0.0,工,,,1111025,土地0建物1車位1,八層,9,廠辦,工業用,鋼筋混凝土造,0851227,252.26,0,0,0,無,有,有,75000,297,坡道平面,22.1,0,,RPSNMLLKJIHGFEA27CC
士林區,建物,臺北市士林區承德路四段３３４號三樓,0.0,住,,,1111109,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700820,15.530000000000001,1,0,1,有,無,有,11200,721,,0.0,0,此為分租套房，第三層共分成5間，一間平均面積約為15.53平方公尺。電費及每月垃圾費600元、水費200元皆為承租人負擔。,RPVNMLLKJIHGFEA57CC
北投區,建物,臺北市北投區幽雅路７號七樓之１５,0.0,其他,,,1111104,土地0建物1車位0,七層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980205,57.900000000000006,1,0,1,有,有,有,18000,311,,0.0,0,國家住宅及都市更新中心社會住宅包租代管計畫。水電瓦斯費及每月管理費1548元由承租人負擔。,RPVOMLLKJIHGFEA67CC
北投區,建物,臺北市北投區知行路２２６號,0.0,,,,1111027,土地0建物1車位0,一層,11,店面(店鋪),一般零售業甲組,鋼筋混凝土造,1001122,97.01,0,0,0,無,有,無,50000,515,,0.0,0,,RPRPMLLKJIHGFEA37CC
內湖區,建物,臺北市內湖區安康路３２８巷４號,0.0,工,,,1111013,土地0建物1車位0,見其他登記事項,2,工廠,工業用,鋼筋混凝土造,0680808,408.38,0,0,0,無,無,無,130000,,,0.0,0,,RPQNMLLKJIHGFCA86CC
內湖區,土地,安康段9-5地號,707.51,工,,,1111026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,141,,0.0,0,,RPXNMLLKJIHGFCA57CC
中山區,建物,臺北市中山區松江路２６巷３６號六樓,0.0,住,,,1111031,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0691231,34.9,1,1,1,有,有,有,14500,415,,0.0,0,,RPQOMLLKJIHGFCA96CC
中山區,建物,臺北市中山區新生北路三段１２號八樓之１,0.0,商,,,1111108,土地0建物1車位0,八層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,1011011,58.980000000000004,1,0,1,有,有,有,23000,390,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管計畫。水電費、瓦斯費及每月管理費2676元皆由承租人負擔。,RPTOMLLKJIHGFCA27CC
