編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOLJIHGFDC37CB,坡道平面,1450000,36.84,地下二樓
RPPNMLOLJIHGFDC37CB,坡道平面,1450000,36.84,地下二樓
RPPNMLTKJIHGFDC87DB,坡道平面,1450000,20.65,地下一樓
RPQNMLSLJIHGFDC97DB,塔式車位,1800000,2.53,
RPPNMLPKJIHGFDC47DB,塔式車位,1770000,2.53,
RPPNMLSLJIHGFDC87DB,塔式車位,1800000,2.53,
RPRNMLPLJIHGFDC77DB,坡道平面,1440000,44.99,一樓
RPPNMLNJKIHGFDC27DB,坡道平面,1500000,20.65,地下一樓
RPPNMLOJKIHGFDC27CB,坡道平面,1450000,27.14,地下三樓
RPQNMLPLJIHGFDC67DB,坡道平面,1450000,38.08,二樓含以上
RPQNMLOJKIHGFDC37CB,坡道平面,1550000,27.14,地下二樓
RPTNMLOJKIHGFDC67CB,坡道平面,1900000,27.14,地下二樓
RPUNMLOJKIHGFDC77CB,坡道平面,1800000,29.66,地下四樓
RPSNMLOJKIHGFDC57CB,坡道平面,1450000,27.14,地下二樓
RPVNMLOJKIHGFDC87CB,坡道平面,1650000,29.66,地下四樓
RPWNMLOJKIHGFDC97CB,坡道平面,1350000,29.66,地下三樓
RPXNMLOJKIHGFDC08CB,坡道平面,1650000,29.66,地下四樓
RPOOMLOJKIHGFDC27CB,坡道平面,1650000,29.66,地下二樓
RPPOMLOJKIHGFDC37CB,坡道平面,1700000,29.66,地下三樓
RPQOMLOJKIHGFDC47CB,坡道平面,1750000,29.66,地下四樓
RPSOMLOJKIHGFDC67CB,坡道平面,1550000,29.66,地下四樓
RPROMLOJKIHGFDC57CB,坡道平面,1800000,29.66,地下四樓
RPUOMLOJKIHGFDC87CB,坡道平面,1600000,29.66,地下四樓
RPPNMLPJKIHGFDC37CB,坡道平面,1350000,41.35,地下二樓
RPRNMLPJKIHGFDC57CB,坡道平面,1250000,45.07,地下一樓
RPPNMLSJKIHGFDC77DB,坡道平面,1500000,37.31,地下三樓
RPPNMLKKKIHGFDC96CB,坡道平面,1800000,29.66,地下三樓
RPRNMLKKKIHGFDC17CB,坡道平面,1550000,29.66,地下四樓
RPSNMLKKKIHGFDC27CB,坡道平面,1700000,29.66,地下四樓
RPUNMLKKKIHGFDC47CB,坡道平面,1400000,29.66,地下三樓
RPSNMLKKKIHGFDC27CB,坡道平面,1700000,29.66,地下四樓
RPTNMLKKKIHGFDC37CB,坡道平面,1800000,29.66,地下四樓
RPVNMLKKKIHGFDC57CB,坡道平面,1550000,29.66,地下五樓含以下
RPWNMLKKKIHGFDC67CB,坡道平面,1750000,29.66,地下三樓
RPXNMLKKKIHGFDC77CB,坡道平面,1650000,29.66,地下三樓
RPOOMLKKKIHGFDC96CB,坡道機械,1250000,14.57,地下一樓
RPPNMLMKKIHGFDC17CB,坡道平面,1350000,32.00,地下二樓
RPPNMLPKKIHGFDC47CB,坡道平面,1500000,34.73,地下二樓
RPPNMLTKKIHGFDC87CB,坡道平面,1250000,41.35,地下一樓
RPPNMLLLKIHGFDC17CB,坡道平面,1500000,34.73,地下一樓
RPPNMLLLKIHGFDC27DB,塔式車位,1800000,2.53,
RPPNMLLLKIHGFDC27DB,塔式車位,1800000,2.53,
RPPNMLQLKIHGFDC77DB,坡道平面,1700000,29.66,地下二樓
RPPNMLQLKIHGFDC77DB,坡道平面,1700000,29.66,地下二樓
RPQNMLQLKIHGFDC87DB,坡道平面,1550000,29.66,地下四樓
RPRNMLQLKIHGFDC97DB,坡道平面,1850000,29.66,地下一樓
RPSNMLQLKIHGFDC08DB,坡道平面,1700000,29.66,地下四樓
RPTNMLQLKIHGFDC18DB,坡道平面,1650000,29.66,地下四樓
