編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLSJLHIGFDD87DA,41,109.80,住商用,加強磚造,70年9月21日,二層,一層 二層 騎樓,全筆移轉
RPQNMLQJLHIGFAD57EA,46,1810.59,商業用,鋼筋混凝土造,65年12月15日,九層,一層 二層 三層 四層 五層 六層 七層 八層 九層 騎樓 地下層,全筆移轉
RPPNMLSJLHIGFID48EA,29,169.76,住家用,鋼骨混凝土造,83年7月1日,四層,一層 二層 三層 四層 陽台 騎樓,全筆移轉
RPRNMLQJKHIGFAD47DA,39,101.66,住家用,鋼筋混凝土造,72年12月10日,七層,五層 陽台 走廊,持分移轉
RPRNMLQJKHIGFAD47DA,39,13.94,共有部分,鋼筋混凝土造,72年12月10日,七層,,持分移轉
RPRNMLQJKHIGFHD18DA,29,10.10,梯間，電梯間,鋼筋混凝土造,82年12月7日,十二層,,持分移轉
RPRNMLQJKHIGFHD18DA,29,21.44,守衛室、防空避難室、車道、門廊、屋頂突出物,鋼筋混凝土造,82年12月7日,十二層,,持分移轉
RPRNMLQJKHIGFHD18DA,29,87.66,住家用,鋼筋混凝土造,82年12月7日,十二層,七層 陽台,全筆移轉
RPSNMLQJKHIGFAD57DA,33,25.07,住家用,鋼筋混凝土造,79年5月18日,五層,三層 陽台 平台 花台 通道,全筆移轉
RPSNMLQJKHIGFAD57DA,33,.01,共有部分,鋼筋混凝土造,79年5月18日,五層,,持分移轉
RPQNMLSJKHIGFBD77EA,27,186.79,住家用,鋼筋混凝土造,85年1月16日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPTPMLRJKHIGFAD97DA,45,88.82,住家用,加強磚造,66年12月9日,二層,一層 二層,全筆移轉
RPPNMLTJKHIGFKD58DA,29,28.60,住家用,鋼筋混凝土造,82年12月28日,七層,六層 陽台,全筆移轉
RPPNMLTJKHIGFKD58DA,29,11.65,共有部分,鋼筋混凝土造,82年12月28日,七層,,持分移轉
RPTNMLTJKHIGFAD97DA,,29.73,住家用,磚造,45年0月0日,一層,一層,全筆移轉
RPXNMLKKKHIGFCD77DA,23,32.77,集合住宅,鋼筋混凝土造,88年10月21日,十三層,三層 陽台,持分移轉
RPXNMLKKKHIGFCD77DA,23,5.81,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
RPXNMLKKKHIGFCD77DA,23,11.45,共有部分,鋼筋混凝土造,88年10月21日,十三層,,持分移轉
