編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLLKJIHGFAD86CC,小北段,.00,都市：住,,,,12870000
RPTNMLLKJIHGFAD27CC,北元段,.00,都市：住,,,,03400004
RPUNMLLKJIHGFAD37CC,青年段,52.11,都市：商,,,,06620000
RPRNMLLKJIHGFAD07CC,南門段,.00,都市：住,,,,19980000
RPRNMLLKJIHGFAD07CC,南門段,.00,都市：住,,,,19990000
RPUOMLLKJIHGFAD47CC,北安段,87.30,都市：住,,,,01260000
RPUOMLLKJIHGFAD47CC,北安段,2.70,都市：住,,,,01270000
RPTNMLLKJIHGFCD47CC,新興段,.00,都市：住,,,,02550020
RPROMLLKJIHGFCD37CC,富農段,.00,都市：住,,,,17620000
RPVNMLLKJIHGFKD48CC,鹽新段,598.45,都市：住,,,,09470000
RPOOMLLKJIHGFKD87CC,鹽東段,948.43,都市：住,,,,16110000
RPORMLLKJIHGFKD18CC,六甲頂段,.00,都市：住,,,,10910000
RPPQMLLKJIHGFBD27CC,國安段,19.24,都市：住,,,,15690001
RPPNMLMKJIHGFCD17CC,竹篙厝段,7.77,都市：住,,,,14070000
RPPNMLMKJIHGFCD17CC,竹篙厝段,4.65,都市：住,,,,14070001
RPPNMLMKJIHGFCD17CC,竹篙厝段,.01,都市：住,,,,14070002
RPTOMLLKJIHGFHD08CC,茄拔段一小段,.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,00870000
RPQNMLMKJIHGFAD07CC,金華段,25.29,都市：住,,,,00260007
RPPNMLNKJIHGFDD37CC,永生段,7.41,都市：商,,,,01680000
RPQNMLOKJIHGFKD28CC,二王段,.00,都市：住,,,,09770000
RPOOMLLKJIHGFHD57CC,六塊寮段,85.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,31490015
RPSOMLOKJIHGFKD58CC,自強段,.00,都市：住,,,,07660000
RPUSMLOKJIHGFAD18CC,三民段,.00,都市：商,,,,02380000
RPUSMLOKJIHGFAD18CC,三民段,.00,都市：商,,,,02390000
RPPNMLOKJIHGFCD37CC,鹽埕段,.00,都市：住,,,,00030565
RPWNMLOKJIHGFCD08CC,竹篙厝段,.00,都市：住,,,,16910000
RPPOMLPKJIHGFCD57CC,鹽埕段,.00,都市：住,,,,02900765
RPQOMLPKJIHGFCD67CC,大恩段,.00,都市：住,,,,03050000
RPQOMLPKJIHGFAD47CC,武聖段,11.36,都市：住,,,,23250000
RPRPMLPKJIHGFAD67CC,漁光段,.00,都市：商,,,,08660000
RPTOMLPKJIHGFCD97CC,富農段,1.77,都市：住,,,,00480001
RPRNMLPKJIHGFCD67CC,鹽埕段,.00,都市：住,,,,00030565
RPSNMLPKJIHGFID38CC,保甲段,.00,都市：住,,,,03900000
RPSNMLPKJIHGFID38CC,保甲段,.00,都市：住,,,,03910000
