鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
貢寮區,土地,撈洞段蚊子坑小段203地號,48.5,都市：其他:景觀保護區,,,1120303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,3093,,0.0,0,地清或未辦繼承標售；,RPQNMLQJLHIGFFF28EA,0.0,0.0,0.0,無,
汐止區,車位,新北市汐止區大同路二段２７３、２７５、２７７、２７９、２８１、２８３、２８５、２７３之１、２７３之２、２７９之１、２７９之２、２８１之１、２８１之２、２８１之３、２８３之１、２８３之２號建築物地下二層。,0.09,住,,,1120301,土地1建物1車位1,地下二層,二十四層,其他,見使用執照,鋼筋混凝土造,0840126,33.84,0,0,0,無,有,2000000,,坡道平面,33.84,2000000,僅車位交易；,RPPNMLPJLHIGFDF77DA,0.0,0.0,0.0,有,00001
土城區,土地,永和段728地號,12.85,農,,,1120303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,159490,12412,,0.0,0,地清或未辦繼承標售；,RPRNMLQJLHIGFAF77DA,0.0,0.0,0.0,無,
三芝區,車位,新北市三芝區淡金路二段８９號等共同使用,2.31,住,,,1120301,土地1建物1車位1,,,其他,,,,45.92,0,0,0,無,有,400000,,坡道平面,45.92,400000,僅車位交易；,RPPOMLRJLHIGFEF18DA,0.0,0.0,0.0,有,00002
樹林區,房地(土地+建物),新北市樹林區中華路３４１之５號十樓之１,4.61,住,,,1120301,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870623,46.37,1,1,1,無,有,6000000,129394,,0.0,0,贈床組.電熱水器.冰箱.洗衣機.流理臺.沙發.冷氣.衣櫃,RPPNMLRJLHIGFIF48DA,34.91,0.0,2.63,有,
板橋區,土地,篤行段851地號,44.74,,,,1120303,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1850000,41350,,0.0,0,,RPTNMLTJLHIGFAF28DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段６１９號１９樓之２,8.53,住,,,1120302,土地1建物1車位1,十九層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,112.06,2,1,2,無,有,6739000,66575,坡道機械,21.35,700000,,RPUNMLSJLHIGFDF68EA,62.43,0.0,6.37,有,
瑞芳區,土地,柑子瀨段苧子潭小段12-16地號,67.0,,鄉村區,乙種建築用地,1120303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1532063,22867,,0.0,0,未登記建物之所有權人購買土地,RPPNMLNJLHIGFFF77DA,0.0,0.0,0.0,無,
貢寮區,土地,田寮洋段新社田寮小段4地號,262.0,都市：其他:河川區,,,1120303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,128888,492,,0.0,0,地清或未辦繼承標售；,RPPNMLSJLHIGFFF28DA,0.0,0.0,0.0,無,
中和區,土地,安平段901-1地號,4.93,都市：其他:道路用地,,,1120303,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,380000,77079,,0.0,0,包含公共設施保留地用地；,RPRNMLTJLHIGFHF78DA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物),新北市淡水區中正東路一段２１巷８弄８號,21.72,住,,,1120302,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0820811,129.9,3,1,1,無,有,12300000,94688,,0.0,0,,RPRNMLRJLHIGFEF28DA,105.3,17.28,0.0,有,
新莊區,土地,恒安段222-3地號,44.14,都市：其他:A2FB11203090010,,,1120303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10730000,243090,,0.0,0,未登記建物；,RPOOMLTJLHIGFBF97DA,0.0,0.0,0.0,無,
板橋區,土地,江子翠段第三崁小段49-5地號,0.3,住,,,1120301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,0,,0.0,0,共有土地買賣,RPRPMLMLKHIGFAF67DA,0.0,0.0,0.0,無,
瑞芳區,房地(土地+建物),新北市瑞芳區民族街２４之１號,1.37,商,,,1120201,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0880709,11.76,3,2,1,有,無,1000000,85034,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLJKHIGFFF97DA,7.42,0.0,0.0,有,00003
汐止區,車位,新北市汐止區翠峰街２９號地下一層,0.0,,,,1120202,土地0建物1車位1,地下一層,000,其他,見使用執照,鋼筋混凝土造,0720810,24.75,0,0,0,有,有,980000,,坡道平面,24.75,980000,僅車位交易；,RPWNNLMJKHIGFDF18DA,0.0,0.0,0.0,有,00004
板橋區,房地(土地+建物),新北市板橋區漢生東路３１４號二樓,21.2,住,,,1120201,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690214,90.35,3,1,1,有,無,14000000,154953,,0.0,0,,RPVOMLRJKHIGFAF38EA,90.35,0.0,0.0,無,
永和區,房地(土地+建物),新北市永和區智光街１０７巷９號,25.69,住,,,1120201,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600903,78.11,2,2,2,有,無,16350000,209320,,0.0,0,陽台外推；,RPPOMLSJKHIGFHF58EA,59.75,18.36,0.0,無,
