編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLQKJIHGFAG18CC,坡道平面,0,42.85,地下一樓
RPVOMLSKJIHGFBG68CC,坡道平面,0,,地下一樓
RPRQMLLLJIHGFAG77CC,坡道平面,0,,地下一樓
RPTNMLSLJIHGFAG38CC,坡道平面,0,,地下一樓
RPPQMLSLJIHGFAG28CC,坡道平面,0,,地下一樓
RPOOMLTLJIHGFBG18CC,坡道平面,0,,地下一樓
RPVOMLRJKIHGFBG58CC,坡道平面,0,,地下二樓
RPUNMLOKKIHGFBG18CC,一樓平面,0,,一樓
RPXNMLOKKIHGFBG48CC,坡道平面,0,,地下二樓
RPROMLOKKIHGFBG97CC,坡道平面,0,,地下一樓
RPPNMLTKKIHGFAG08CC,一樓平面,0,,一樓
RPSNMLPKKIHGFAG97CC,坡道平面,0,,地下一樓
RPQOMLOKKIHGFBG87CC,坡道平面,0,,地下二樓
RPXNMLNLKIHGFBG48CC,坡道平面,0,,地下二樓
RPVOMLRLKIHGFBG78CC,坡道平面,0,,地下一樓
RPTOMLRLKIHGFAG48CC,一樓平面,0,,一樓
RPUNMLRJJHIGFBG28CC,坡道平面,0,,地下一樓
RPQOMLLKJHIGFBG47CC,坡道平面,0,,地下一樓
RPQOMLLKJHIGFBG47CC,坡道平面,0,,地下一樓
RPTNMLRKJHIGFAG18CC,一樓平面,0,13.75,一樓
RPOOMLSKJHIGFBG97CC,坡道平面,0,,地下二樓
RPTOMLKMJHIGFAG77CC,一樓平面,0,13.75,一樓
RPUOMLKMJHIGFAG87CC,一樓平面,0,16.61,一樓
RPQNMLLJKHIGFBG37CC,坡道機械,0,,地下一樓
RPQOMLSJKHIGFBG18CC,坡道平面,0,,地下二樓
