編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLJLHIGFAH77DA,三聖段,32.50,都市：其他:保護區,4,1,持分移轉,03600003
RPQNMLTJLHIGFCH48EA,金龍段,3729.49,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉,11810000
RPORMLRJKHIGFBH18DA,中興段,60.13,都市：其他:住宅區,1,1,全筆移轉,02960000
RPVNMLQJLHIGFAH38DA,國際段,385.96,都市：其他:農業區,1200,425,持分移轉,00800000
RPVNMLQJLHIGFAH38DA,皮寮段,561.19,都市：其他:農業區,2500000,580925,持分移轉,00990000
RPVNMLQJLHIGFAH38DA,皮寮段,3.46,都市：其他:鐵路用地(兼供園道使用),2500000,580925,持分移轉,00990001
RPVNMLQJLHIGFAH38DA,皮寮段,1184.39,都市：其他:農業區,2500000,580925,持分移轉,01000000
RPXOMLTJKHIGFCH56EA,高遶段,440.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06010000
RPQOMLQJKHIGFHH68EA,南上段,1.17,都市：其他:乙種工業區,272160,315,持分移轉,03650000
RPUNMLRJLHIGFBH48DA,中壢埔頂段,9.77,都市：其他:住宅區,10000,56,持分移轉,11580000
RPUOMLQJKHIGFCH48DA,民有段,8.91,都市：其他:旅館區,10000,5,持分移轉,11200000
RPUOMLQJKHIGFCH48DA,民有段,3.57,都市：其他:保護區,10000,5,持分移轉,11230000
RPWRMLRJKHIGFBH09EA,草富段,19.44,都市：其他:第二種住宅區,10000,205,持分移轉,05940011
RPWRMLTJKHIGFBH56DA,富溪段,196.79,都市：其他:第二種住宅區,1,1,全筆移轉,04550000
RPXPMLMJKHIGFBH38DA,興南段興南小段,16.00,都市：其他:住宅區,5,1,持分移轉,02220024
RPXPMLMJKHIGFBH38DA,興南段興南小段,2.00,都市：其他:商業區,5,1,持分移轉,02220032
RPUNMLQJKHIGFCH48EA,奎輝段,3809.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,07840000
RPPNMLPJKHIGFCH77DA,埔尾段,8.70,非都市：風景區 ; 非都市編定：水利用地,1,1,全筆移轉,13260001
RPPOMLKKKHIGFGH97EA,賦北段,106.42,都市：其他:農業區,80,2,持分移轉,02580000
RPOOMLNKKHIGFCH77EA,田心子段上田心子小段,30.00,都市：其他:住宅區,4,1,持分移轉,05450000
RPWNMLNKKHIGFCH48EA,九座段,50.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09480000
RPUNMLMJKHIGFEH18DA,水尾段,57.86,都市：其他:乙種工業區,18,1,持分移轉,04380000
RPXRMLRJKHIGFBH09DA,復興段,15.17,都市：其他:住宅區,10000,44,持分移轉,13530000
RPSNMLSJKHIGFBH28DA,上嶺段,66.13,非都市：特定農業區 ; 非都市編定：水利用地,1413050000,3306537,持分移轉,05680000
RPQPMLKKKHIGFCH67DA,烏塗段,98.57,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,14940000
RPPNMLNKKHIGFBH57DA,中北段,4.57,都市：其他:住宅區,700,23,持分移轉,05210000
RPRNMLNJKHIGFBH67DA,中北段,4.48,都市：其他:住宅區,100000,111,持分移轉,02430000
RPPNMLNKKHIGFBH57DA,中北段,3.22,都市：其他:住宅區,700,23,持分移轉,05240000
RPPNMLNKKHIGFBH57DA,中北段,3.22,都市：其他:住宅區,700,23,持分移轉,05250000
RPXNMLOKKHIGFHH56EA,兔子坑段,742.28,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,04640000
RPXNMLOKKHIGFHH56EA,兔子坑段,643.39,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,05490000
RPXNMLOKKHIGFHH56EA,兔子坑段,211.95,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,10000,2330,持分移轉,05540000
RPQNMLNKKHIGFCH87EA,民豐段,115.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00520000
RPVNMLOKKHIGFDH48DA,埔頂段埔頂小段,217.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,17604,4320,持分移轉,18480000
RPVNMLMJKHIGFEH28DA,河底段,4.98,都市：其他:住宅區,10000,10,持分移轉,06000000
RPWSMLOKKHIGFAH88EA,鹽埕段,2.40,都市：其他:工業區,6000,300,持分移轉,04840000
RPWSMLOKKHIGFAH88EA,鹽埕段,.55,都市：其他:工業區,18000,900,持分移轉,04840001
RPPNMLMJKHIGFCH47DA,逸園段,967.31,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05130000
RPPQMLRJKHIGFBH18DA,甘泉段,72.25,都市：其他:住宅區,1,1,全筆移轉,11990000
RPXNMLOKKHIGFAH48EA,大林段,3.89,都市：其他:住宅區,10000,481,持分移轉,06530000
RPXNMLOKKHIGFAH48EA,大林段,7.91,都市：其他:住宅區,10000,481,持分移轉,06560000
RPXNMLOKKHIGFAH48EA,大林段,20.49,都市：其他:住宅區,5,1,持分移轉,06570000
RPROMLKKKHIGFCH67DA,奉慈段,75.17,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01010000
RPRNMLRKKHIGFBH28EA,三座屋段舊社小段,5.03,都市：其他:道路用地,64,1,持分移轉,01700012
RPSNMLPKKHIGFBH18EA,育仁段,24.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,190,持分移轉,04580000
RPTNMLRKKHIGFFH78DA,新興段,20.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,09230000
RPTNMLRKKHIGFFH78DA,新興段,121.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,09230004
RPTNMLRKKHIGFFH78DA,新興段,8.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,5,1,持分移轉,09230006
RPXNMLRJKHIGFEH98DA,河底段,4.98,都市：其他:住宅區,10000,10,持分移轉,06000000
RPXNMLQKKHIGFDH88DA,楊湖段,11.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,121,1,持分移轉,14520007
RPOOMLOKKHIGFGH28EA,湧安段,9.36,都市：其他:住宅區,1,1,全筆移轉,04380005
RPWNMLPKKHIGFHH56EA,興華段,51.96,都市：其他:第二種住宅區,10000,317,持分移轉,05580000
RPQOMLMJLHIGFBH67DA,三座屋段舊社小段,15.01,都市：其他:住宅區,100000,1339,持分移轉,01570015
RPRUMLSJKHIGFBH88DA,仁德段,65.54,都市：其他:農業區,3600,175,持分移轉,02880002
RPSNMLQJKHIGFBH08DA,石頭段,.48,都市：其他:商業區,70000,80,持分移轉,00070022
RPROMLOKKHIGFBH97DA,青溪段,.01,都市：其他:住宅區,100000,1,持分移轉,04110000
RPSPMLPKKHIGFBH28DA,遠東段,7.66,都市：其他:住宅區,10000,372,持分移轉,00730000
RPXNMLRKKHIGFBH78DA,遠東段,7.04,都市：其他:住宅區,100000,118,持分移轉,01200000
RPURMLRJKHIGFBH88EA,老街溪段,6.51,都市：其他:道路用地,10,1,持分移轉,12990000
RPWNMLQKKHIGFDH78DA,楊湖段,11.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,121,1,持分移轉,14520007
RPRNMLRKKHIGFDH38DA,二重溪段,15.96,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,30,持分移轉,01930059
