鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段287-42地號,21.29,,特定農業區,甲種建築用地,1111112,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.86,3,2,2,有,無,7460000,100097,坡道平面,34.32,1300000,,RPPNMLMKJIHGFDJ77CB,讚時代,F棟1號
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉寶新路一段,24.56,住,,,1111111,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.68,2,2,2,有,無,11320000,118845,坡道平面,34.21,1400000,,RPTNMLTKJIHGFCJ78CB,吉韻,B6棟05號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中義段693地號,31.11,住,,,1111112,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,151.5,3,2,2,有,無,12850000,91238,坡道平面,27.1,1500000,,RPPNMLOLJIHGFDJ08CB,昕承,B棟B3-3F號
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路三段,34.49,,特定農業區,甲種建築用地,1111119,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,107.48,3,2,2,有,無,8180000,76107,,0.0,0,,RPVNMLOLJIHGFDJ78DB,成雙,A棟5號
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,15.96,商,,,1111113,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.49,3,2,2,有,無,14460000,101228,坡道平面,27.66,1520000,,RPXNMLOLJIHGFBJ68CB,竹科臻邦,B5棟7F號
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.95,商,,,1111113,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.16,2,2,1,有,無,8830000,93661,坡道機械,31.61,630000,,RPOOMLOLJIHGFBJ87CB,竹科臻邦,C1棟2F號
竹北市,房地(土地+建物)+車位,新竹縣竹北市新民街,31.9,住,,,1111116,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.74,3,2,2,有,無,15450000,122492,坡道平面,32.57,2200000,,RPSOMLOLJIHGFBJ28CB,地傑春天,A棟7號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉綠園段1104地號,22.5,,一般農業區,甲種建築用地,1111115,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,,109.71,2,2,2,有,無,7680000,79629,坡道平面,22.43,730000,,RPPNMLPLJIHGFDJ18CB,弘峻理享城,H5-6F號
新豐鄉,房地(土地+建物),新竹縣新豐鄉新竹縣新豐鄉池和段986.988地號,109.03,,特定農業區,甲種建築用地,1111114,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.28,4,2,4,有,無,11000000,73687,,0.0,0,,RPQNMLPLJIHGFDJ28CB,天空大院 2,E棟E號
新埔鎮,房地(土地+建物),新竹縣新埔鎮內立段342號,81.27,,特定農業區,甲種建築用地,1111112,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,201.49,4,2,5,有,無,13650000,67745,,0.0,0,,RPPNMLQLJIHGFBJ18DB,森．謐境,A棟7號
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬段593號,38.96,住,,,1111118,土地1建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,263.09,4,2,2,有,無,40210000,180009,坡道平面,53.6,2500000,,RPPNMLSLJIHGFBJ28CB,上德逸,B棟12F號
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路,43.73,住,,,1111112,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,211.78,0,0,0,無,無,39980000,215444,坡道平面,39.67,2900000,,RPPNMLTLJIHGFBJ48DB,浩瀚 豐邑之森,A棟16號
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.95,商,,,1111120,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.16,2,2,1,有,無,9220000,96516,坡道機械,31.61,770000,,RPPNMLLJKIHGFBJ47CB,竹科臻邦,C1棟7F號
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街與中正一街交叉路口,10.92,商,,,1111120,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,115.5,2,2,1,有,無,10300000,101662,坡道平面,27.66,1370000,,RPQNMLLJKIHGFBJ57CB,竹科臻邦,A1棟15F號
竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段11地號,19.01,商,,,1111111,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.93,3,2,2,有,無,24030000,194201,坡道平面,30.16,2130000,,RPTNMLLJKIHGFBJ87CB,合新詠遇,C棟2號
竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段11地號,19.01,商,,,1111111,土地1建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.85,3,2,2,有,無,26080000,195974,坡道平面,59.08,3980000,,RPUNMLLJKIHGFBJ97CB,合新詠遇,C棟2號
竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段11地號,21.63,商,,,1111111,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.6,3,2,2,有,無,26740000,190977,坡道平面,30.16,2020000,,RPVNMLLJKIHGFBJ08CB,合新詠遇,E棟1號
竹北市,房地(土地+建物)+車位,新竹縣竹北市世興段11地號,19.01,商,,,1111112,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.93,3,2,2,有,無,24150000,195974,坡道平面,30.16,2050000,,RPWNMLLJKIHGFBJ18CB,合新詠遇,C棟2號
