編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLQKJIHGFDK78CC,坡道平面,0,21.00,地下一樓
RPPNMLSKJIHGFBK38CC,坡道平面,0,,地下一樓
RPUNMLLLJIHGFFK68CC,坡道平面,0,,地下一樓
RPRNMLSLJIHGFDK88CC,坡道平面,0,35.97,地下一樓
RPOOMLTKKIHGFFK98CC,坡道平面,2000,37.83,地下二樓
RPRNMLMLKIHGFBK18CC,坡道平面,1000,25.18,地下一樓
RPTNMLNLKIHGFFK88CC,坡道平面,0,41.91,地下一樓
RPROMLQLKIHGFFK09CC,坡道機械,0,7.56,地下一樓
RPSNMLSLKIHGFDK09CC,一樓平面,0,,一樓
RPPOMLQJJHIGFDK38CC,坡道平面,1000,,地下三樓
RPUNMLQJJHIGFDK78CC,坡道平面,0,35.97,地下二樓
RPWNMLPJJHIGFFK09CC,坡道平面,1500,,地下二樓
RPQNMLMKJHIGFDK08CC,坡道平面,0,,地下二樓
RPVOMLNJKHIGFDK78CC,一樓平面,0,51.08,一樓
RPWNMLRJKHIGFDK56CC,坡道平面,0,35.97,地下二樓
