編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLLJLHIGFAO97DA,,67.50,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPVPMLNJKHIGFAO88DA,14,.03,辦公室,鋼筋混凝土造,98年3月19日,十層,地下二層,持分移轉
RPVPMLNJKHIGFAO88DA,14,5.01,防空避難室兼停車空間、水箱、機房、電信機房、樓梯間,鋼筋混凝土造,98年3月19日,十層,,持分移轉
RPUNMLRKKHIGFAO56EA,10,28.29,集合住宅,鋼筋混凝土造,102年1月30日,十層,七層 陽台 雨遮,全筆移轉
RPUNMLRKKHIGFAO56EA,10,17.10,共有部分,鋼筋混凝土造,102年1月30日,十層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,100.41,停車空間、店舖,鋼筋混凝土造,95年1月10日,五層,一層 騎樓,全筆移轉
RPQQMLQJKHIGFAO78DA,17,133.73,店舖、機電空間,鋼筋混凝土造,95年1月10日,五層,二層 陽台,全筆移轉
RPQQMLQJKHIGFAO78DA,17,133.73,住宅、機電空間,鋼筋混凝土造,95年1月10日,五層,三層 陽台,全筆移轉
RPQQMLQJKHIGFAO78DA,17,133.73,住宅、機電空間,鋼筋混凝土造,95年1月10日,五層,四層 陽台,全筆移轉
RPQQMLQJKHIGFAO78DA,17,133.73,住宅、機電空間,鋼筋混凝土造,95年1月10日,五層,五層 陽台,全筆移轉
RPQQMLQJKHIGFAO78DA,17,44.55,梯間、水箱,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,44.55,梯間、水箱,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,44.55,梯間、水箱,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,44.55,梯間、水箱,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,44.55,梯間、水箱,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,7.33,停車空間,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,164.62,停車空間,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,7.33,停車空間,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,7.33,停車空間,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPQQMLQJKHIGFAO78DA,17,7.33,停車空間,鋼筋混凝土造,95年1月10日,五層,,持分移轉
RPPNMLSKKHIGFAO78EA,28,1.81,見使用執照,鋼筋混凝土造,84年3月15日,五層,一層,持分移轉
RPPNMLSKKHIGFAO78EA,28,84.99,住家用,鋼筋混凝土造,84年3月15日,五層,三層 陽台,全筆移轉
RPPNMLSKKHIGFAO78EA,28,6.68,共有部分,鋼筋混凝土造,84年3月15日,五層,,持分移轉
RPPNMLSKKHIGFAO78EA,28,9.62,共有部分,鋼筋混凝土造,84年3月15日,五層,,持分移轉
RPWNMLKLKHIGFAO68DA,,23.90,住家用,鋼筋混凝土造,,七層,一層 平台,全筆移轉
RPWNMLKLKHIGFAO68DA,32,11.45,住家用,鋼筋混凝土造,80年7月16日,七層,,持分移轉
RPUNMLKLKHIGFAO48DA,18,334.60,住宅、停車空間、梯間,鋼筋混凝土造,94年6月1日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮,全筆移轉
RPTPMLQJLHIGFAO09DA,,49.41,集合住宅,鋼筋混凝土造,111年12月8日,十二層,六層 陽台,全筆移轉
RPTPMLQJLHIGFAO09DA,,45.76,共有部分,鋼筋混凝土造,111年12月8日,十二層,,持分移轉
RPWNMLRKKHIGFAO66DA,12,23.21,辦公室、機電設備空間,鋼筋混凝土造,99年9月20日,五層,三層 雨遮,全筆移轉
RPWNMLRKKHIGFAO66DA,12,3.25,共有部分,鋼筋混凝土造,99年9月20日,五層,,持分移轉
RPWNMLRKKHIGFAO66DA,12,5.87,共有部分,鋼筋混凝土造,99年9月20日,五層,,持分移轉
RPXOMLMLKHIGFAO09DA,50,72.00,住家用,加強磚造,61年11月20日,二層,一層 二層,全筆移轉
RPTNMLQKKHIGFAO88DA,3,.12,店舖,鋼筋混凝土造,108年9月4日,十層,一層,持分移轉
RPTNMLQKKHIGFAO88DA,3,59.79,集合住宅,鋼筋混凝土造,108年9月4日,十層,六層 陽台,全筆移轉
RPTNMLQKKHIGFAO88DA,3,50.60,共有部分,鋼筋混凝土造,108年9月4日,十層,,持分移轉
RPTNMLQKKHIGFAO88DA,3,8.63,共有部分,鋼筋混凝土造,108年9月4日,十層,,持分移轉
RPTNMLQKKHIGFAO88DA,3,.03,共有部分,鋼筋混凝土造,108年9月4日,十層,,持分移轉
RPTNMLQKKHIGFAO88DA,3,15.64,共有部分,鋼筋混凝土造,108年9月4日,十層,,持分移轉
RPSOMLLLKHIGFAO48DA,25,44.66,住宅,鋼筋混凝土造,87年4月10日,十二層,四層 陽台,持分移轉
RPSOMLLLKHIGFAO48DA,25,.15,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPSOMLLLKHIGFAO48DA,25,.10,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPSOMLLLKHIGFAO48DA,25,8.80,國民住宅、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
