編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLPKJIHGFAO58DB,坡道平面,2150000,25.00,地下二樓
RPPNMLOKJIHGFAO18CB,坡道平面,2350000,27.23,地下二樓
RPPNMLPKJIHGFAO28CB,塔式車位,2200000,8.02,
RPQNMLPKJIHGFAO48DB,坡道平面,2200000,25.00,地下二樓
RPPNMLSKJIHGFAO58CB,坡道平面,2400000,29.69,地下二樓
RPVNMLSKJIHGFAO56CB,坡道平面,2450000,27.74,地下一樓
RPOOMLSKJIHGFAO58CB,坡道平面,2350000,26.72,地下二樓
RPOOMLSKJIHGFAO58CB,坡道平面,2350000,26.72,地下二樓
RPSNMLPKJIHGFAO68DB,坡道平面,2150000,25.00,地下三樓
RPPNMLLLJIHGFAO97CB,坡道平面,1860000,31.54,地下一樓
RPRNMLLLJIHGFAO18CB,坡道平面,1910000,32.62,地下一樓
RPWNMLLLJIHGFAO68CB,坡道平面,3600000,51.83,地下一樓
RPPNMLNLJIHGFAO18CB,坡道平面,1820000,29.46,地下二樓
RPPNMLNLJIHGFAO18CB,坡道平面,1820000,29.46,地下二樓
RPRNMLSKJIHGFAO78CB,坡道平面,2500000,41.17,地下二樓
RPQNMLSKJIHGFAO68CB,坡道平面,2400000,28.72,地下二樓
RPRNMLNLJIHGFAO38CB,坡道平面,1920000,29.46,地下一樓
RPQNMLNLJIHGFAO28CB,坡道平面,1920000,29.46,地下一樓
RPQNMLRLJIHGFAO78DB,坡道平面,2300000,25.00,地下一樓
RPRNMLRLJIHGFAO88DB,坡道平面,2300000,25.00,地下一樓
RPPNMLTKJIHGFAO78DB,坡道平面,2200000,25.00,地下二樓
RPPNMLRLJIHGFAO68DB,坡道平面,2100000,25.00,地下三樓
RPSNMLLJKIHGFAO18CB,坡道平面,1500000,34.39,地下一樓
RPPNMLOJKIHGFAO28DB,坡道平面,2200000,25.00,地下二樓
RPQNMLSJKIHGFAO68CB,坡道平面,1920000,29.46,地下一樓
RPPNMLPJKIHGFAO28CB,坡道平面,1800000,29.62,地下二樓
RPPNMLPJKIHGFAO28CB,坡道平面,1800000,29.62,地下二樓
RPQNMLLKKIHGFAO18DB,坡道平面,2200000,25.00,地下二樓
RPPNMLLKKIHGFAO08DB,坡道平面,2200000,25.00,地下二樓
RPPNMLNKKIHGFAO18CB,坡道平面,1750000,15.29,地下一樓
RPPNMLPLKIHGFAO58DB,坡道平面,2200000,25.00,地下二樓
RPQNMLMKKIHGFAO18CB,坡道平面,1910000,32.62,地下一樓
RPQNMLPLKIHGFAO68DB,坡道平面,2150000,25.00,地下三樓
RPPNMLTKKIHGFAO88DB,一樓平面,1800000,16.53,一樓
RPPNMLNLKIHGFAO28CB,坡道平面,1600000,42.98,地下三樓
RPRNMLPLKIHGFAO78DB,坡道平面,2400000,25.00,地下一樓
RPQNMLRLKIHGFAO78CB,坡道平面,2400000,24.73,地下一樓
RPPNMLRLKIHGFAO78DB,一樓平面,0,,一樓
RPPNMLRLKIHGFAO68CB,坡道平面,2500000,30.71,地下二樓
RPRNMLRLKIHGFAO88CB,坡道平面,1300000,36.76,地下一樓
RPRNMLRLKIHGFAO88CB,坡道平面,1300000,36.76,地下一樓
RPSNMLTLKIHGFAO56CB,坡道平面,1850000,28.80,地下四樓
RPSNMLTLKIHGFAO56CB,坡道平面,1600000,23.91,地下四樓
RPTNMLTLKIHGFAO66CB,坡道平面,1850000,28.80,地下三樓
RPTNMLTLKIHGFAO66CB,坡道平面,1850000,28.80,地下三樓
RPUNMLTLKIHGFAO76CB,坡道平面,2000000,28.80,地下三樓
RPRPMLTLKIHGFAO66CB,坡道平面,2000000,28.80,地下三樓
RPOQMLTLKIHGFAO09CB,坡道平面,1850000,28.80,地下四樓
RPVPMLTLKIHGFAO07CB,坡道平面,2000000,28.80,地下三樓
RPPNMLMJJHIGFAO87CB,坡道平面,1750000,15.29,地下一樓
RPUPMLTLKIHGFAO96CB,坡道平面,1850000,28.80,地下四樓
RPSPMLTLKIHGFAO76CB,坡道平面,2000000,28.80,地下三樓
RPTPMLTLKIHGFAO86CB,坡道平面,2000000,28.80,地下三樓
RPRNMLMJJHIGFAO08CB,坡道平面,2500000,26.45,地下四樓
RPRNMLMJJHIGFAO08CB,坡道平面,2500000,26.45,地下四樓
RPQNMLMJJHIGFAO97CB,坡道平面,3000000,26.45,地下二樓
RPWPMLTLKIHGFAO17CB,坡道平面,2150000,28.80,地下二樓
RPXPMLTLKIHGFAO27CB,坡道平面,1800000,23.91,地下三樓
RPXPMLTLKIHGFAO27CB,坡道平面,1850000,28.80,地下三樓
RPSNMLMJJHIGFAO18CB,坡道平面,2200000,26.45,地下五樓含以下
RPPNMLSJJHIGFAO48CB,坡道平面,1600000,23.91,地下四樓
RPTNMLMJJHIGFAO28CB,坡道平面,3000000,26.45,地下一樓
RPQNMLSJJHIGFAO58CB,坡道平面,1800000,23.91,地下三樓
RPUNMLMJJHIGFAO38CB,坡道平面,3000000,26.45,地下一樓
RPUNMLMJJHIGFAO38CB,坡道平面,3000000,26.45,地下一樓
RPSNMLKKJHIGFAO08CB,坡道平面,1700000,28.80,地下四樓
RPPNMLNJJHIGFAO97CB,坡道平面,1800000,29.62,地下二樓
RPPNMLNJJHIGFAO97CB,坡道平面,1800000,29.62,地下二樓
RPUNMLKKJHIGFAO28CB,坡道平面,2000000,28.80,地下三樓
RPQNMLNKJHIGFAO28DB,坡道平面,2200000,25.00,地下二樓
RPPNMLNKJHIGFAO08CB,坡道平面,1750000,15.29,地下一樓
RPTNMLKKJHIGFAO18CB,坡道平面,1850000,28.80,地下三樓
RPRNMLNKJHIGFAO38DB,坡道平面,2150000,25.00,地下三樓
RPPNMLPKJHIGFAO28CB,坡道平面,1850000,28.80,地下四樓
RPPNMLPKJHIGFAO28CB,坡道平面,1700000,28.80,地下四樓
RPQNMLPKJHIGFAO38CB,坡道平面,2000000,28.80,地下三樓
RPRNMLPKJHIGFAO48CB,坡道平面,1820000,29.46,地下二樓
RPPNMLRKJHIGFAO48CB,坡道平面,2350000,43.18,二樓含以上
RPPNMLRKJHIGFAO48CB,坡道平面,2350000,43.18,二樓含以上
RPPNMLQKJHIGFAO38CB,坡道平面,1850000,28.80,地下四樓
RPQNMLRKJHIGFAO58CB,坡道平面,2350000,43.18,二樓含以上
RPQNMLRKJHIGFAO58CB,坡道平面,2350000,43.18,二樓含以上
RPTNMLRKJHIGFAO88CB,坡道平面,2200000,43.18,二樓含以上
RPTNMLRKJHIGFAO88CB,坡道平面,2200000,43.18,二樓含以上
RPSNMLRKJHIGFAO78CB,坡道平面,2200000,43.18,地下三樓
RPSNMLRKJHIGFAO78CB,坡道平面,1900000,39.73,地下三樓
RPUNMLRKJHIGFAO98CB,坡道平面,2350000,43.18,二樓含以上
RPPNMLSKJHIGFAO58CB,坡道平面,1910000,32.62,地下一樓
RPRNMLRKJHIGFAO68CB,坡道平面,2200000,43.18,地下三樓
RPWNMLRKJHIGFAO56CB,坡道平面,2450000,43.18,二樓含以上
RPWNMLRKJHIGFAO56CB,坡道平面,2450000,43.18,二樓含以上
RPVNMLRKJHIGFAO09CB,坡道平面,2450000,43.18,地下一樓
RPQNMLSKJHIGFAO68CB,坡道平面,1900000,38.04,地下一樓
RPRNMLSKJHIGFAO78CB,坡道平面,1800000,38.04,地下二樓
RPOOMLSKJHIGFAO58CB,坡道平面,3300000,49.44,地下二樓
RPOOMLSKJHIGFAO58CB,坡道平面,2200000,49.44,地下二樓
RPOOMLSKJHIGFAO58CB,坡道機械,1650000,19.61,地下三樓
RPOOMLSKJHIGFAO58CB,坡道機械,1600000,19.61,地下三樓
RPVNMLTKJHIGFAO66CB,坡道平面,2200000,26.45,地下五樓含以下
RPWNMLTKJHIGFAO76CB,坡道平面,2500000,26.45,地下四樓
RPQNMLNJKHIGFAO18CB,坡道平面,2100000,32.07,地下一樓
RPPNMLRLJHIGFAO58CB,一樓平面,1600000,34.39,一樓
RPPNMLMJKHIGFAO97CB,一樓平面,2500000,22.20,一樓
RPXNMLTKJHIGFAO86CB,坡道平面,2700000,26.45,地下三樓
RPXNMLTKJHIGFAO86CB,坡道平面,2700000,26.45,地下三樓
RPRNMLNJKHIGFAO28CB,坡道平面,1950000,32.07,地下二樓
RPRNMLNJKHIGFAO28CB,坡道平面,1850000,31.41,地下二樓
RPTNMLLJKHIGFAO28CB,坡道平面,2350000,43.18,二樓含以上
RPSNMLNJKHIGFAO38CB,坡道平面,1950000,32.07,地下二樓
RPSNMLQJKHIGFAO68CB,坡道平面,3000000,26.45,地下一樓
RPSNMLQJKHIGFAO68CB,坡道平面,3000000,26.45,地下一樓
RPSNMLQJKHIGFAO68CB,坡道平面,3000000,26.45,地下一樓
RPSNMLQJKHIGFAO68CB,坡道平面,3000000,26.45,地下一樓
RPTNMLNJKHIGFAO48CB,坡道平面,1850000,31.41,地下二樓
RPTNMLNJKHIGFAO48CB,坡道平面,1950000,32.07,地下二樓
RPUNMLNJKHIGFAO58CB,坡道平面,1950000,32.07,地下二樓
RPUNMLNJKHIGFAO58CB,坡道平面,2050000,32.07,地下二樓
RPVNMLQJKHIGFAO98CB,坡道平面,3000000,26.45,地下一樓
RPVNMLQJKHIGFAO98CB,坡道平面,3000000,26.45,地下一樓
RPUNMLQJKHIGFAO88CB,坡道平面,3000000,26.45,地下一樓
RPUNMLQJKHIGFAO88CB,坡道平面,3000000,26.45,地下一樓
RPTNMLQJKHIGFAO78CB,坡道平面,3000000,26.45,地下一樓
RPTNMLQJKHIGFAO78CB,坡道平面,3000000,26.45,地下一樓
RPPNMLQJKHIGFAO38CB,坡道平面,2200000,43.18,地下三樓
RPPNMLSJKHIGFAO58CB,坡道平面,1820000,29.46,地下二樓
RPVOMLRJKHIGFAO56CB,坡道平面,2400000,24.73,地下一樓
RPQNMLKKKHIGFAO08DB,坡道平面,1000000,33.73,地下一樓
RPPNMLOKKHIGFAO28CB,坡道平面,2350000,43.18,二樓含以上
RPQNMLKLKHIGFAO08CB,坡道平面,1550000,18.03,一樓
RPRNMLKLKHIGFAO18CB,坡道平面,1600000,18.03,一樓
RPPNMLPKKHIGFAO38CB,坡道平面,2200000,43.18,二樓含以上
RPQNMLLLKHIGFAO28DB,升降平面,1600000,33.69,地下四樓
RPRNMLLLKHIGFAO38DB,升降平面,1800000,33.69,地下二樓
RPQNMLMLKHIGFAO28CB,坡道平面,1500000,18.03,地下一樓
RPQNMLMLKHIGFAO28CB,坡道平面,1550000,18.03,地下一樓
RPTNMLMLKHIGFAO58CB,坡道平面,1750000,18.03,地下一樓
RPRNMLMLKHIGFAO38CB,坡道平面,1800000,18.03,地下一樓
RPQNMLTJKHIGFAO78CB,坡道平面,2200000,43.18,地下三樓
RPQNMLTJKHIGFAO78CB,坡道平面,2200000,43.18,地下三樓
RPPNMLTJKHIGFAO68CB,坡道平面,2350000,43.18,地下二樓
RPPNMLTJKHIGFAO68CB,坡道平面,2050000,39.73,地下二樓
RPUNMLMLKHIGFAO68CB,坡道平面,1600000,18.03,一樓
RPRNMLTJKHIGFAO88CB,坡道平面,2450000,43.18,地下一樓
RPVNMLMLKHIGFAO78CB,坡道平面,1800000,18.03,地下一樓
RPWNMLMLKHIGFAO88CB,坡道平面,1800000,18.03,地下一樓
RPTOMLMLKHIGFAO68CB,坡道平面,1600000,18.03,一樓
RPRQMLMLKHIGFAO68CB,坡道平面,1800000,18.03,地下一樓
RPWQMLMLKHIGFAO56CB,坡道平面,1750000,18.03,地下一樓
RPUQMLMLKHIGFAO98CB,坡道平面,1600000,18.03,一樓
RPTQMLMLKHIGFAO88CB,坡道平面,1800000,18.03,地下一樓
RPXQMLMLKHIGFAO66CB,坡道平面,1600000,18.03,地下一樓
RPQRMLMLKHIGFAO68CB,坡道平面,1600000,18.03,一樓
RPPNMLNLKHIGFAO38DB,升降平面,1600000,33.69,地下四樓
RPQNMLNLKHIGFAO48DB,升降平面,1600000,33.69,地下四樓
RPRNMLNLKHIGFAO58DB,升降平面,1800000,33.69,地下二樓
RPSNMLNLKHIGFAO68DB,升降平面,1800000,33.69,地下二樓
RPTNMLNLKHIGFAO78DB,升降平面,1600000,33.69,地下四樓
RPPNMLNJLHIGFAO18CB,坡道平面,1550000,18.03,一樓
RPTNMLNJLHIGFAO58CB,坡道平面,2080000,24.48,地下二樓
RPVNMLNJLHIGFAO78CB,坡道平面,1980000,22.53,地下二樓
RPUNMLNJLHIGFAO68CB,坡道平面,2180000,24.48,地下一樓
RPTNMLRJLHIGFAO98CB,坡道平面,1800000,26.13,地下二樓
RPWNMLRJLHIGFAO66CB,坡道平面,1880000,26.13,地下一樓
RPXNMLRJLHIGFAO76CB,坡道平面,1900000,26.13,地下一樓
RPVNMLRJLHIGFAO56CB,坡道平面,1800000,26.13,地下二樓
RPPNMLQJLHIGFAO48CB,坡道平面,2700000,26.45,地下三樓
RPPNMLQJLHIGFAO48CB,坡道平面,2700000,26.45,地下三樓
RPUNMLPKLHIGFAO98CB,坡道平面,1900000,26.13,地下一樓
RPVNMLPKLHIGFAO09CB,坡道平面,1900000,26.13,地下一樓
