編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLTLJIHGFCQ17CB,坡道機械,880000,16.87,地下一樓
RPWNMLTLJIHGFCQ27CB,坡道平面,1100000,29.27,一樓
RPXNMLTLJIHGFCQ37CB,坡道平面,1100000,29.27,一樓
RPTNMLTLJIHGFCQ96CB,坡道機械,880000,16.87,地下一樓
RPOOMLTLJIHGFCQ56CB,坡道平面,1100000,28.21,一樓
RPPOMLTLJIHGFCQ66CB,坡道平面,1100000,29.27,一樓
RPSOMLTLJIHGFCQ96CB,坡道平面,1100000,29.27,一樓
RPQOMLTLJIHGFCQ76CB,坡道平面,1100000,29.27,一樓
RPROMLTLJIHGFCQ86CB,坡道平面,1100000,29.27,一樓
RPTOMLTLJIHGFCQ07CB,坡道平面,1100000,29.27,一樓
RPSNMLLJKIHGFDQ68CB,坡道平面,1450000,16.82,地下二樓
RPTNMLLJKIHGFDQ78CB,坡道平面,1500000,16.82,地下一樓
RPUNMLLJKIHGFDQ88CB,坡道平面,1450000,14.26,地下一樓
RPPNMLTJKIHGFDQ56CB,一樓平面,950000,22.63,一樓
RPPNMLMKKIHGFCQ48CB,坡道機械,780000,13.43,地下一樓
RPQNMLMKKIHGFCQ58CB,坡道機械,780000,13.43,地下一樓
RPQNMLPKKIHGFDQ98CB,坡道平面,1450000,16.82,地下一樓
RPRNMLPKKIHGFDQ09CB,坡道平面,1380000,14.26,地下二樓
RPPNMLPKKIHGFDQ88CB,坡道平面,1450000,16.82,地下一樓
RPTNMLPKKIHGFDQ66CB,坡道平面,1450000,16.82,地下二樓
RPPNMLTKKIHGFCQ56CB,一樓平面,0,,一樓
RPPNMLNLKIHGFDQ78CB,坡道平面,1450000,16.82,地下二樓
RPQNMLNLKIHGFDQ88CB,坡道平面,1450000,16.82,地下二樓
RPRNMLNLKIHGFDQ98CB,坡道平面,1450000,16.82,地下二樓
RPSNMLNLKIHGFDQ09CB,坡道平面,1400000,14.26,地下一樓
RPPNMLNLKIHGFBQ58CB,一樓平面,850000,22.15,一樓
RPQNMLNLKIHGFBQ68CB,一樓平面,850000,22.15,一樓
RPUNMLRLKIHGFCQ07DB,一樓平面,850000,18.00,一樓
RPPNMLSLKIHGFDQ66CB,坡道平面,1400000,16.82,地下二樓
RPPNMLTLKIHGFCQ66CB,升降平面,650000,7.25,一樓
RPPNMLKMKIHGFCQ48CB,坡道機械,780000,13.43,地下一樓
RPRNMLKMKIHGFCQ68CB,坡道機械,780000,13.43,地下一樓
RPPNMLNJJHIGFCQ48DB,升降機械,800000,13.00,地下一樓
RPRNMLNJJHIGFCQ68DB,升降機械,790000,13.00,地下一樓
RPPNMLSKJHIGFCQ98CB,坡道機械,780000,13.43,地下一樓
RPSNMLKMJHIGFDQ78CB,坡道平面,1300000,16.82,地下一樓
RPTNMLKMJHIGFDQ88CB,坡道平面,1400000,16.82,地下二樓
RPUNMLKMJHIGFDQ98CB,坡道平面,1350000,14.26,地下一樓
RPWNMLKMJHIGFDQ56CB,坡道平面,1350000,14.26,地下二樓
RPOOMLKMJHIGFDQ48CB,坡道平面,1400000,14.26,地下二樓
RPPOMLKMJHIGFDQ58CB,坡道平面,1350000,14.26,地下一樓
RPXNMLKMJHIGFDQ66CB,坡道平面,1350000,14.26,地下二樓
RPVNMLKMJHIGFDQ09CB,坡道平面,1350000,14.26,地下二樓
RPRNMLRJKHIGFDQ56CB,坡道平面,1350000,14.26,地下二樓
RPSNMLRJKHIGFDQ66CB,坡道平面,1300000,16.82,地下二樓
RPTNMLRJKHIGFDQ76CB,坡道平面,1400000,14.26,地下一樓
RPRNMLRJKHIGFBQ09DB,一樓平面,700000,25.00,一樓
RPPNMLNJJHIGFBQ28CB,一樓平面,850000,22.15,一樓
RPPNMLSKKHIGFDQ56CB,一樓平面,600000,,一樓
RPPNMLMLKHIGFCQ58CB,坡道機械,780000,13.43,地下一樓
RPQNMLMLKHIGFCQ68CB,坡道機械,780000,13.43,地下一樓
RPQNMLOLKHIGFDQ98CB,升降機械,500000,14.69,一樓
RPQNMLOLKHIGFDQ98CB,升降機械,500000,14.69,一樓
RPQNMLNLKHIGFDQ88CB,一樓平面,1150000,22.31,一樓
