鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛一街１９６之８號五樓,20.72,住,,,1111106,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730625,91.55,3,2,1,有,無,有,12000,131,,0.0,0,,RPSNMLQKJIHGFAU76CC
花蓮市,建物,花蓮縣花蓮市中山路３３５-１號一樓,0.0,商,,,1111107,土地0建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0630104,40.0,0,0,0,無,無,有,18000,450,,0.0,0,,RPTNMLQKJIHGFAU86CC
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號三樓,0.0,住,,,1111114,土地0建物0車位0,三層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,23.14,1,0,1,有,無,有,8500,367,,0.0,0,302室,RPSOMLQKJIHGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街５１號７樓之７,8.51,住,,,1111113,土地1建物1車位0,七層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830811,46.239999999999995,1,0,1,有,有,有,8000,173,,0.0,0,,RPTOMLQKJIHGFAU96CC
吉安鄉,建物,花蓮縣吉安鄉建國路一段１０３號,11.75,住,,,1111110,土地0建物0車位0,四層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0801218,23.14,1,0,1,有,無,有,6000,259,,0.0,0,,RPPNMLRKJIHGFAU56CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路４段１３６號,125.0,住,,,1111109,土地1建物1車位0,二層,2,店面(店鋪),住商用,鋼骨造,0890831,154.61,1,2,2,有,無,有,25000,162,,0.0,0,,RPUNMLRKJIHGFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路３３５-１號,64.0,商,,,1111107,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0630104,40.0,0,0,0,無,無,有,18000,450,,0.0,0,,RPROMLRKJIHGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市球崙二路２１１號四樓之三,11.53,住,,,1111116,土地1建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,63.16,2,1,1,有,有,有,10000,158,,0.0,0,水電瓦斯費、網路費及每月管理費1052元由承租人負擔。,RPQOMLSKJIHGFAU86CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路４９８巷１弄４號,21.98,住,,,1111120,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0690806,118.89,3,2,3,有,無,有,12000,101,,0.0,0,,RPSNMLOLJIHGFAU66CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街５１號十樓之三,3.17,商,,,1111031,土地1建物1車位0,十層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,33.44,1,0,1,有,有,有,6600,197,,0.0,0,水電瓦斯費、網路費及每月管理費600元由承租人負擔。,RPPOMLOLJIHGFAU09CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十一街３２號３樓之２,16.53,住,,,1111112,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0851005,64.43,2,1,1,有,有,有,10000,155,,0.0,0,,RPSOMLOLJIHGFAU76CC
吉安鄉,建物,花蓮縣吉安鄉中央路三段６１２號二樓,0.0,住,,,1111118,土地0建物0車位0,二層,5,套房(1房1廳1衛),旅館,鋼筋混凝土造,1100224,24.23,1,0,1,有,無,有,8500,351,,0.0,0,,RPVOMLOLJIHGFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十七街１０號二樓之八,22.7,住,,,1111121,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0810121,105.06,3,1,1,有,有,有,13000,124,,0.0,0,,RPXOMLPLJIHGFAU37CC
