編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLSKKHIGFAW37DA,坡道平面,0,12.30,地下一樓
RPQNMLLKJHIGFAW88EA,坡道平面,0,25.57,地下一樓
RPQNMLKKKHIGFAW88EA,坡道平面,900000,24.34,地下二樓
RPRNMLLLKHIGFAW56EA,坡道平面,0,26.93,地下一樓
RPVNMLPJKIHGFAW07DA,坡道平面,0,26.94,地下一樓
RPTNMLLLKIHGFAW66DA,坡道平面,0,36.10,地下一樓
RPTNMLLLKIHGFAW66DA,坡道平面,0,36.10,地下一樓
RPSNMLNJJHIGFAW09DA,坡道平面,1000000,36.10,地下二樓
RPPNMLTJKIHGFAW86DA,坡道平面,0,13.76,地下一樓
RPRNMLKKJHIGFAW78DA,坡道機械,0,,地下一樓
RPQNMLNJJHIGFAW88DA,坡道平面,1200000,36.10,地下二樓
RPRNMLNJJHIGFAW98DA,坡道平面,1200000,36.10,地下二樓
RPVNMLQKJHIGFAW17DA,坡道平面,950000,36.18,地下一樓
RPOOMLPKJIHGFAW09DA,升降機械,400000,14.25,一樓
RPTNMLPKKIHGFAW96DA,升降機械,0,19.17,地下一樓
RPTNMLPKKIHGFAW96DA,升降機械,0,19.17,地下一樓
RPXNMLPKJIHGFAW27DA,升降機械,400000,14.25,一樓
RPQNMLPKKIHGFAW66DA,升降機械,0,19.17,地下一樓
RPQNMLPKKIHGFAW66DA,升降機械,0,19.17,地下一樓
RPPNMLOKKIHGFAW09DA,升降平面,1000000,36.98,地下一樓
RPPNMLNKKIHGFAW98DA,一樓平面,400000,7.60,一樓
RPPPMLNJJIHGFAW98DA,升降機械,450000,14.25,一樓
RPXOMLNJJIHGFAW07DA,升降機械,450000,14.25,一樓
RPWOMLNJJIHGFAW96DA,升降機械,450000,14.25,一樓
RPUPMLOJJIHGFAW96DA,升降機械,380000,14.25,一樓
RPROMLNJJIHGFAW09DA,升降機械,450000,14.25,一樓
RPXNMLNJJIHGFAW96DA,升降機械,450000,14.25,一樓
RPRNMLNKKIHGFAW56DA,一樓平面,500000,7.60,一樓
