鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南竿鄉,土地,四維段820地號,294.15,,,,1120301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3559131,12100,,0.0,0,含土地增值稅或其他稅費115001元；其他 印花登記費:1000元；,RPQNMLLJLHIGFAZ56DA,0.0,0.0,0.0,無,
南竿鄉,土地,介壽段37-1地號,14.84,,,,1120307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,139121,9375,,0.0,0,,RPPNMLRJLHIGFAZ07DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段396-1地號,26.88,,,,1120208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36000,1339,,0.0,0,,RPPNMLSJKHIGFAZ07DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段396地號,16.69,,,,1120220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24000,1438,,0.0,0,,RPPNMLKLKHIGFAZ09DA,0.0,0.0,0.0,無,
南竿鄉,土地,福沃段348地號,73.92,,,,1120223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,16234,,0.0,0,,RPPNMLNLKHIGFAZ76DA,0.0,0.0,0.0,無,
南竿鄉,土地,四維段788-6地號,196.8,,,,1120107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,189315,962,,0.0,0,,RPPNMLSKJHIGFAZ07DA,0.0,0.0,0.0,無,
南竿鄉,土地,復興段493地號,178.01,,,,1120108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2580000,14494,,0.0,0,,RPPNMLQKJHIGFAZ86DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段352地號,43.18,,,,1111212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,13895,,0.0,0,,RPPNMLNKKIHGFAZ66DA,0.0,0.0,0.0,無,01
北竿鄉,土地,后沃段185地號,64.4,,,,1111216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,487000,7562,,0.0,0,,RPQNMLQKKIHGFAZ07DA,0.0,0.0,0.0,無,
莒光鄉,土地,田沃段352地號,43.18,,,,1111227,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,13895,,0.0,0,,RPPNMLRLKIHGFAZ17DA,0.0,0.0,0.0,無,01
南竿鄉,土地,介壽段986地號,56.84,,,,1111205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,7037,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKKIHGFAZ96DA,0.0,0.0,0.0,無,
南竿鄉,土地,仁愛段422地號,40.74,,,,1111213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,36819,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLKIHGFAZ07DA,0.0,0.0,0.0,無,
北竿鄉,土地,里段4地號,144.66,,,,1111220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,14517,,0.0,0,,RPPNMLRKJHIGFAZ96DA,0.0,0.0,0.0,無,
北竿鄉,土地,芹壁段333-6地號,135.76,,,,1111202,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,13259,,0.0,0,,RPPNMLMJKHIGFAZ09DA,0.0,0.0,0.0,無,
北竿鄉,土地,芹壁段309-3地號,112.47,,,,1111202,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,11559,,0.0,0,,RPQNMLMJKHIGFAZ56DA,0.0,0.0,0.0,無,
莒光鄉,土地,大坪段553地號,39.46,,,,1111102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195722,4960,,0.0,0,政府機關標讓售；,RPPNMLRJJIHGFAZ86DA,0.0,0.0,0.0,無,
