編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQJOHIGFEB18DA,太白段,1442.28,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03530000
RPPNMLQJOHIGFGB08DA,石圍墻段石圍墻小段,1000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10740012
RPUNMLMJNHIGFAB47DA,公館段,1.11,都市：其他:第二種住宅區,1000000,351,持分移轉,00620001
RPPNMLPJNHIGFJB28EA,樹德段,18.21,都市：其他:住宅區,22,1,持分移轉,10090000
RPUNMLMJNHIGFAB47DA,公館段,.96,都市：其他:第一種商業區,1000000,351,持分移轉,00630001
RPPNMLTJNHIGFCB97EA,惠民段,24.26,都市：其他:第六種新市政中心專用區,100000,842,持分移轉,00160000
RPSNMLTJNHIGFIB78DA,向學段,20.47,都市：其他:住宅區,10000,121,持分移轉,13300000
RPPOMLKKNHIGFFB47DA,晉江北段,8.23,都市：其他:第三種住宅區。,417100,817,持分移轉,01080000
RPRNMLMJNHIGFEB57DA,中海段,1603.72,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06680000
RPPNMLLKNHIGFEB47EA,中海段,76.40,非都市：特定農業區 ; 非都市編定：農牧用地,24,1,持分移轉,06300000
RPRNMLKKNHIGFFB57DA,興安西段,4.46,都市：其他:第四種住宅區,100000,453,持分移轉,04290000
RPTNMLLKNHIGFBB47DA,東義段,5.45,都市：其他:第二種商業區,30000,129,持分移轉,03310000
RPPNMLKKNHIGFFB37DA,興安西段,4.46,都市：其他:第四種住宅區,100000,453,持分移轉,04290000
RPSNMLMKNHIGFJB28DA,頭汴坑段,74.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1388,74,持分移轉,10910000
RPSNMLMKNHIGFJB28DA,頭汴坑段,49.00,非都市：山坡地保育區 ; 非都市編定：林業用地,933,49,持分移轉,10910014
RPSNMLMKNHIGFJB28DA,頭汴坑段,545.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,10910015
RPQNMLLKNHIGFEB47DA,安中段,75.87,都市：其他:住宅區,1,1,全筆移轉,07760000
RPWQMLKKNHIGFCB08DA,廣安段,25.14,都市：其他:農業區,1350000,9639,持分移轉,04470000
RPRNMLLKNHIGFCB37DA,西屯段,14.00,都市：其他:道路用地,1,1,全筆移轉,11800001
RPQNMLRJNHIGFFB08DA,東英段,21.59,都市：其他:第二種住宅區,100000,6805,持分移轉,11000021
RPPNMLMKNHIGFGB67DA,新盛段,.58,都市：其他:住宅區,100000,3092,持分移轉,01230000
RPPNMLMKNHIGFGB67DA,新盛段,25.83,都市：其他:住宅區,100000,3092,持分移轉,01240000
RPPNMLMKNHIGFGB67DA,新盛段,4.04,都市：其他:住宅區,100000,3092,持分移轉,01250000
RPPNMLMKNHIGFGB67DA,新盛段,.39,都市：其他:住宅區,100000,3092,持分移轉,01760000
RPQNMLRJNHIGFFB08DA,東英段,60.50,都市：其他:第二種住宅區,1,1,全筆移轉,11000028
RPROMLLKNHIGFAB27DA,大益段,4.61,都市：其他:第二種住宅區,10000,56,持分移轉,00250000
RPRNMLLKNHIGFJB08DA,勤益段,4.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,127,持分移轉,04530000
RPSNMLLKNHIGFFB77DA,新竹林段,56.55,都市：其他:第三種住宅區。,1,1,全筆移轉,05920001
RPPNMLNKNHIGFEB57DA,幼獅段,83.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,03570000
RPRNMLMKNHIGFFB77DA,六福段,10.82,都市：其他:第二種住宅區,1,1,全筆移轉,06930000
RPRNMLMKNHIGFFB77DA,六福段,15.33,都市：其他:第二種住宅區,120,1,持分移轉,07060000
RPROMLTJNHIGFIB78DA,西湖北段,2.10,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,05440001
RPROMLTJNHIGFIB78DA,西湖北段,7.27,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05500002
RPROMLTJNHIGFIB78DA,西湖北段,8.76,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,05510000
RPPNMLPKNHIGFCB57DA,國安段,7.42,都市：其他:第一種之一住宅區,10000,29,持分移轉,02920002
RPQNMLPKNHIGFDB77DA,豐新段,5.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,01720000
RPRPMLPJNHIGFBB77DA,錦村段,4.84,都市：其他:第二種住宅區,300000,201,持分移轉,00610000
RPQNMLPKNHIGFDB77DA,豐新段,9.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,01730000
RPSNMLOJNHIGFDB77DA,圳寮段,6.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,168,持分移轉,03850000
RPUOMLOJNHIGFBB87DA,北屯段,51.60,,5,3,持分移轉,02980049
RPUOMLOJNHIGFBB87DA,北屯段,34.40,,5,2,持分移轉,02980049
RPPNMLMKNHIGFCB37EA,大明段,8.36,都市：其他:第二種住宅區,10000,333,持分移轉,00600000
RPTNMLQKNHIGFFB38DA,信義段,22.58,都市：其他:農業區,216000,4500,持分移轉,05910001
RPPNMLQKNHIGFFB08EA,高美南段,164.27,都市：其他:農業區,1,1,全筆移轉,00770000
RPWNMLMKNHIGFBB87DA,東光段,69.00,都市：其他:第二種住宅區,1,1,全筆移轉,00490005
RPTOMLPKNHIGFCB08DA,廣福段,25.85,都市：其他:農業區,1,1,全筆移轉,02680001
RPTOMLPKNHIGFCB08DA,廣福段,5.45,都市：其他:農業區,1,1,全筆移轉,02680002
RPUNMLQKNHIGFFB48DA,信義段,11.29,都市：其他:農業區,216000,2250,持分移轉,05910001
RPTOMLPKNHIGFCB08DA,廣福段,22.31,都市：其他:農業區,1,1,全筆移轉,02710004
RPROMLMKNHIGFAB37DA,正義段五小段,21.00,都市：其他:道路用地,1,1,全筆移轉,00010052
RPPNMLRKNHIGFGB28EA,糖廍段,1699.62,都市：其他:乙種工業區,1,1,全筆移轉,00980000
RPVOMLMKNHIGFCB97DA,楓樹段,34.00,都市：其他:道路用地,1,1,全筆移轉,04490003
RPPNMLQKNHIGFGB18EA,石圍墻段石圍墻小段,1092.45,非都市：山坡地保育區 ; 非都市編定：農牧用地,140,21,持分移轉,11420001
RPUNMLRJNHIGFBB08DA,錦村段,4.82,都市：其他:第二種住宅區,10000,182,持分移轉,03800005
RPSNMLQKNHIGFBB97EA,大興段,116.33,都市：其他:風景區,10000,1239,持分移轉,01540003
RPROMLPKNHIGFCB87DA,大墩段,23.44,都市：其他:第二種住宅區,10000,62,持分移轉,00150000
RPPNMLNKNHIGFAB17DA,柳川段一小段,1.57,都市：其他:第二種商業區,100000,57,持分移轉,00040000
RPPNMLNKNHIGFAB17DA,柳川段一小段,.36,都市：其他:第一種商業區,100000,57,持分移轉,00040006
RPTNMLQKNHIGFHB58DA,東寶七段,13.50,都市：其他:住宅區,10000,329,持分移轉,01220000
RPRNMLRKNHIGFGB38DA,新廣興段,187.80,都市：其他:住宅區,1,1,全筆移轉,03520000
RPRNMLRKNHIGFGB38DA,新廣興段,1.26,都市：其他:道路用地,1,1,全筆移轉,03520007
RPQPMLKKNHIGFAB17DA,公館段,1.26,都市：其他:第二種住宅區,1000000,398,持分移轉,00620001
RPOOMLQKNHIGFCB67DA,惠國段,82.57,都市：其他:第三種新市政中心專用區,10000,337,持分移轉,00550000
RPQPMLKKNHIGFAB17DA,公館段,1.09,都市：其他:第一種商業區,1000000,398,持分移轉,00630001
RPSNMLRKNHIGFGB48DA,東勢段石角小段,192.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01680009
RPSNMLRKNHIGFGB48DA,東勢段石角小段,683.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680027
RPQOMLSJNHIGFCB97DA,寶山段,6.23,都市：其他:第二種住宅區,100000,387,持分移轉,12340000
RPRPMLLJNHIGFBB37DA,太原段,24.62,都市：其他:第三種住宅區。,100000,122,持分移轉,01400004
RPRNMLRKNHIGFBB87DA,松茂段,22.72,都市：其他:第二種住宅區,10000,65,持分移轉,09650000
SPRNMLRKNHIGFEB28DA,武陵段,159.11,非都市：特定農業區 ; 非都市編定：甲種建築用地,3551,2067,持分移轉,02260000
TPRNMLRKNHIGFEB38DA,武陵段,1918.25,非都市：特定農業區 ; 非都市編定：農牧用地,3551,2067,持分移轉,02270000
RPVNMLMKNHIGFFB18DA,興仁段,9.88,都市：其他:第四種住宅區,24,1,持分移轉,02850000
RPVNMLMKNHIGFFB18DA,興仁段,19.51,都市：其他:第四種住宅區,24,1,持分移轉,02860000
RPVNMLMKNHIGFFB18DA,興仁段,3.14,都市：其他:第四種住宅區,24,1,持分移轉,02870000
RPQNMLKMNHIGFGB77DA,新廣興段,187.80,都市：其他:住宅區,1,1,全筆移轉,03520000
RPQNMLKMNHIGFGB77DA,新廣興段,1.26,都市：其他:道路用地,1,1,全筆移轉,03520007
RPRNMLQKNHIGFGB28DA,新萬安段,45.71,都市：其他:住宅區,72,3,持分移轉,09890000
RPRNMLQKNHIGFGB28DA,新萬安段,1.97,都市：其他:道路用地,24,1,持分移轉,11760000
RPWNMLQKNHIGFFB68DA,清水段清水小段,60.00,都市：其他:第四種住宅區,1,1,全筆移轉,03150004
RPWNMLQKNHIGFFB68DA,清水段清水小段,52.00,都市：其他:第四種住宅區,1,1,全筆移轉,03150065
RPRNMLRKNHIGFEB18DA,武陵段,351.52,非都市：特定農業區 ; 非都市編定：農牧用地,1548,361,持分移轉,02220000
RPPPMLRKNHIGFFB28DA,西勢段,169.37,都市：其他:農業區,1200,27,持分移轉,02780000
RPOOMLMKNHIGFJB97DA,新福段,5.14,都市：其他:住宅區,9594,46,持分移轉,07460000
RPSNMLPKNHIGFGB28DA,社寮角段梅子樹腳小段,13.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,489,13,持分移轉,03080038
RPSNMLPKNHIGFGB28DA,社寮角段梅子樹腳小段,69.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03080059
RPPPMLQKNHIGFAB67DA,後壠子段,3.13,都市：其他:第二種住宅區,10000,46,持分移轉,01490002
RPPPMLQKNHIGFAB67DA,後壠子段,1.88,都市：其他:第一種商業區,10000,46,持分移轉,01490003
RPQOMLLJNHIGFFB57DA,明秀段,23.46,都市：其他:第二種住宅區,200000,1578,持分移轉,14900000
RPQOMLLJNHIGFFB57DA,明秀段,1.65,都市：其他:第二種住宅區,234,2,持分移轉,15220000
RPQNMLQKNHIGFIB38DA,大峰段,7.03,都市：其他:住宅區,1152,48,持分移轉,06850000
RPQNMLQKNHIGFIB38DA,大峰段,2.74,,1152,48,持分移轉,06860000
RPPNMLTKNHIGFFB38EA,梧棲段,85.00,都市：其他:第三種商業區,1,1,全筆移轉,28350010
RPTNMLLJNHIGFAB27DA,下橋子頭段,45.00,都市：其他:第二種住宅區,1,1,全筆移轉,00870146
RPPOMLRKNHIGFIB48DA,益民段,96.27,,2000,1000,持分移轉,08730000
RPTNMLKKNHIGFDB57DA,一心段,47.43,都市：其他:第二種住宅區,13600,455,持分移轉,02000000
RPUOMLQKNHIGFIB88DA,立仁段,12.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,50000,90,持分移轉,02870000
RPURMLTJNHIGFBB68DA,東山段,1.70,都市：其他:第一種商業區,100000,82,持分移轉,02210000
RPPNMLPKNHIGFAB37DA,重慶段六小段,.60,都市：其他:第二種商業區,100,4,持分移轉,00010090
RPPNMLPKNHIGFAB37DA,重慶段六小段,.64,都市：其他:第二種商業區,100,4,持分移轉,00010091
RPPNMLPKNHIGFAB37DA,重慶段六小段,2.24,都市：其他:第二種商業區,100,4,持分移轉,00010102
RPPNMLPKNHIGFAB37DA,重慶段六小段,2.24,都市：其他:第二種商業區,100,4,持分移轉,00010103
RPUNMLQKNHIGFDB28DA,大洲段,333.98,都市：其他:農業區,400,99,持分移轉,10400000
RPSOMLRKNHIGFAB97DA,麻園頭段,4.85,都市：其他:第二之一種商業區,10000,45,持分移轉,00460000
RPPNMLSKNHIGFHB38DA,興龍段,67.19,非都市：山坡地保育區 ; 非都市編定：農牧用地,438700,6690,持分移轉,05790000
