鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路與敦富十街口,26.6,住,,,1120213,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,200.4,3,2,2,有,無,28000000,161527,坡道平面,50.58,3800000,,RPPNMLOKKHIGFBB07CB,寶輝THE SPRINGS,A6棟11號
太平區,房地(土地+建物)+車位,臺中市太平區環中東路三段育賢段181-1號地號,19.14,住,,,1120211,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.44,2,2,1,有,無,12300000,109924,坡道平面,26.01,1700000,,RPUNMLOKKHIGFJB38CB,勝美欣,F棟9F-1號
太平區,房地(土地+建物)+車位,臺中市太平區新平路三段,29.98,住,,,1120211,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.7,3,2,2,有,無,15280000,105909,坡道平面,33.06,1550000,,RPVNMLOKKHIGFJB48CB,日日幸福,12F-A號
太平區,房地(土地+建物)+車位,臺中市太平區中山路一段402巷,28.67,,鄉村區,乙種建築用地,1120214,土地1建物1車位1,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.7,3,2,2,有,無,8700000,72504,坡道機械,7.43,850000,,RPXNMLOKKHIGFJB68CB,豐閱榮曜5,1棟2F-A號
太平區,房地(土地+建物)+車位,臺中市太平區中山路一段402巷,28.67,,鄉村區,乙種建築用地,1120214,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.71,3,2,2,有,無,9400000,78969,坡道機械,7.44,850000,,RPOOMLOKKHIGFJB87CB,豐閱榮曜5,1棟7F-A號
太平區,房地(土地+建物)+車位,臺中市太平區中山路一段402巷,28.67,,鄉村區,乙種建築用地,1120214,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.71,3,2,2,有,無,9350000,78969,坡道機械,7.44,800000,,RPPOMLOKKHIGFJB97CB,豐閱榮曜5,1棟7F-B號
大安區,房地(土地+建物)+車位,臺中市大安區松圳路,19.37,,鄉村區,乙種建築用地,1120213,土地1建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.08,3,2,2,有,無,6950000,61728,其他,7.21,600000,,RPPNMLOKKHIGFEB37CB,天闊,B棟4樓號
大甲區,房地(土地+建物)+車位,臺中市大甲區彈正路,25.08,住,,,1120212,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.0,3,2,2,有,無,9080000,74621,坡道平面,25.4,1200000,,RPRNMLOKKHIGFEB57CB,帝堡NO.27,11樓A5號
大甲區,房地(土地+建物),臺中市大甲區彈正路,24.95,住,,,1120212,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,104.9,3,2,2,有,無,7310000,69685,,0.0,0,,RPSNMLOKKHIGFEB67CB,帝堡NO.27,3樓A5號
大安區,房地(土地+建物),臺中市大安區興安路,27.13,,鄉村區,乙種建築用地,1120213,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.1,3,2,2,有,無,6750000,70978,,0.0,0,,RPTNMLOKKHIGFEB77CB,天山興家II,6A棟6樓號
