編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLLKNHIGFAG77DA,內城段,.50,非都市：一般農業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,01720009
RPQNMLLKNHIGFBG77EA,大三鬮段,48.56,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01780000
RPSNMLLKNHIGFAG77DA,內城段,278.62,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01720011
RPSNMLLKNHIGFAG77DA,內城段,74.60,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01720012
RPQNMLLKNHIGFBG77EA,大三鬮段,243.24,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01820000
RPQNMLLKNHIGFBG77EA,大三鬮段,192.29,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,01830000
RPSNMLSJNHIGFAG48EA,仲岳段,5000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00010405
RPQNMLPKNHIGFAG08EA,柯林一段,1082.31,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08200000
RPPOMLKKNHIGFAG57EA,松羅段,2630.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04080000
RPTNMLLKNHIGFAG87DA,內城段,278.56,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01720004
RPTNMLLKNHIGFAG87DA,內城段,12.57,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01720008
RPTNMLLKNHIGFAG87DA,內城段,.50,非都市：一般農業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,01720009
RPPNMLPKNHIGFAG97EA,廣興段,372.48,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02380000
RPPNMLPKNHIGFAG97EA,廣興段,4351.31,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02750000
RPROMLRKNHIGFAG38DA,國民二段,33.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,516,持分移轉,04160000
RPROMLRKNHIGFAG38DA,國民二段,.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,516,持分移轉,04160001
RPROMLRKNHIGFAG38DA,國民二段,.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,516,持分移轉,04160002
RPVOMLRKNHIGFAG78DA,協孝段,19.46,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,447,持分移轉,09500000
RPQNMLTKNHIGFBG58EA,茭白段,1229.44,都市：其他:農業區,1,1,全筆移轉,10650000
RPQNMLTKNHIGFBG58EA,茭白段,330.59,都市：其他:農業區,1,1,全筆移轉,10650001
RPQNMLRKNHIGFBG38EA,中崙段,36.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,958,116,持分移轉,01230000
RPRNMLRKNHIGFBG38DA,玉石段,.81,都市：其他:健康休閒專用區七,10000,32,持分移轉,08850000
RPRNMLRKNHIGFBG38DA,玉石段,.37,都市：其他:健康休閒專用區七,10000,32,持分移轉,08850002
RPRNMLRKNHIGFBG38DA,玉石段,1.22,都市：其他:健康休閒專用區七,10000,32,持分移轉,08850003
RPRNMLMLNHIGFBG08EA,黎明段,54.53,都市：其他:住宅區,1,1,全筆移轉,01690000
RPQOMLOJNHIGFBG97DA,慈安段,11.06,都市：其他:住宅區,10000,71,持分移轉,08690000
RPQOMLOJNHIGFBG97DA,慈安段,.20,都市：其他:兒童遊樂場用地,10000,71,持分移轉,08690001
RPRNMLMLNHIGFAG97EA,中原段,109.44,都市：其他:商業區,1,1,全筆移轉,06170000
RPSNMLSJNHIGFAG38DA,大隱一段,90.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08850000
RPOOMLRKNHIGFBG18DA,進士一段,489.00,都市：其他:農業區,240417,48900,持分移轉,10650000
RPWNMLRKNHIGFBG88DA,進士一段,331.00,都市：其他:農業區,240417,33100,持分移轉,10650000
RPXOMLNLNHIGFAG68DA,維揚段,34.36,都市：其他:住宅區,10000,79,持分移轉,01410000
RPWNMLTKNHIGFAG98DA,水源段,24.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,175130,2465,持分移轉,04300000
RPWNMLTKNHIGFAG98DA,水源段,.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,5810,85,持分移轉,04300001
RPPNMLTKNHIGFAG38EA,國華段,29.00,都市：其他:住宅區,10,1,持分移轉,01210000
RPSOMLOJNHIGFBG18DA,五峰段,14.54,都市：其他:住宅區,10000,89,持分移轉,00820000
RPQPMLNLNHIGFAG08DA,新隆恩段,2660.09,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00320000
RPVNMLMLNHIGFAG28DA,鹿安一段,.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,28,1,持分移轉,11100006
RPVNMLMLNHIGFAG28DA,鹿安一段,13.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11100043
RPVNMLMLNHIGFAG28DA,鹿安一段,50.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11100061
RPWPMLNLNHIGFAG68DA,山明段,2785.94,都市：其他:農業區,1,1,全筆移轉,06250000
RPQNMLNLNHIGFBG08EA,泰山段,322.45,都市：其他:農業區,3,1,持分移轉,00620000
RPQNMLNLNHIGFBG08EA,泰山段,95.96,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,00630000
RPPNMLOLNHIGFBG08EA,宜興段,56.82,都市：其他:商業區,1,1,全筆移轉,08620000
RPWNMLSJNHIGFBG88DA,宜福段,240.00,非都市：特定農業區 ; 非都市編定：農牧用地,252,72,持分移轉,02630000
RPQNMLLKNHIGFBG67DA,下埔段,6.99,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,11580000
RPQNMLLKNHIGFBG67DA,下埔段,.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,11600000
RPQNMLLKNHIGFBG67DA,下埔段,.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,1,持分移轉,11730000
RPQNMLLKNHIGFBG67DA,下埔段,1.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,1,持分移轉,11750000
RPPNMLLKNHIGFBG57DA,大三鬮段,58.13,非都市：特定農業區 ; 非都市編定：農牧用地,60,29,持分移轉,00390000
RPWNMLOLNHIGFBG68DA,乾門三段,11.38,都市：其他:商業區,4,1,持分移轉,00590000
RPUNMLSKNHIGFAG68DA,石圍段,2616.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06070000
RPPOMLPLNHIGFAG08DA,和平段,11.35,都市：其他:道路用地,1,1,全筆移轉,03260001
RPPOMLPLNHIGFAG08DA,和平段,89.84,都市：其他:住宅區,1,1,全筆移轉,03270004
