編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKKHIGFAG67CC,46,99.90,住家用,鋼筋混凝土加強磚造,65年11月5日,二層,,
RPSNMLNKKHIGFAG77CC,53,109.54,住家用,鋼筋混凝土加強磚造,59年5月10日,二層,,
RPSNMLNKKHIGFBG87CC,29,95.81,住家用,鋼筋混凝土造,83年4月19日,七層,,
RPTNMLNKKHIGFAG87CC,28,75.72,住家用,鋼筋混凝土造,84年3月21日,五層,,
RPSNMLNKKHIGFBG87CC,29,39.47,共有部份,鋼筋混凝土造,83年4月19日,七層,,
RPTNMLNKKHIGFAG87CC,28,10.41,Ｊ（梯間通道）共同使用,鋼筋混凝土造,84年3月21日,五層,,
RPQNMLNKKHIGFBG67CC,27,23.10,住家用,鋼筋混凝土造,84年9月15日,八層,,
RPQNMLNKKHIGFBG67CC,28,3.19,共有部份,鋼筋混凝土造,84年7月15日,八層,,
RPSNMLOKKHIGFBG97CC,,159.03,住商用,鋼筋混凝土加強磚造,,三層,,
RPQNMLNKKHIGFBG67CC,28,4.72,共有部份,鋼筋混凝土造,84年7月15日,八層,,
RPTNMLOKKHIGFBG08CC,1,68.41,集合住宅,鋼筋混凝土造,111年3月10日,十四層,,
RPTNMLOKKHIGFBG08CC,1,57.20,本共有部分之項目有：停車空間、車道、安全梯、昇降設備、梯廳、消防機房、雨水機房、水箱、防空避難室兼停車空間、台電配電場所、受電箱區、發電機室、電信室、管委會使用空間、戶外安全梯、垃圾處理空間、機械式、屋頂平台等１８項。,鋼筋混凝土造,111年3月10日,十四層,,
RPPNMLPKKHIGFBG77CC,2,54.37,集合住宅,鋼筋混凝土造,110年3月30日,十四層,,
RPPNMLPKKHIGFBG77CC,2,46.11,本共有部分之項目有：停車空間、電梯間、安全梯、水箱、機械機房、消防機房、排風機房、防空避難室兼停車空間、電信室、泳池機房、景觀機房、台電配電室、發電機室、防災中心、公共服務空間、垃圾儲藏空間等１６項,鋼筋混凝土造,110年3月30日,十八層,,
RPPNMLPKKHIGFBG77CC,2,16.63,本共有部分之項目有：樓梯間、梯廳、消防中繼機械室、水錶區、水箱、機械室等６項,鋼筋混凝土造,110年3月30日,十四層,,
RPPOMLOKKHIGFBG77CC,29,188.49,住家用,鋼筋混凝土造,83年7月28日,四層,,
RPTNMLPKKHIGFAG08CC,37,1221.04,辦公室．廠房．單身宿舍,ＲＣ加強磚造．ＲＣ造,74年11月15日,二層,,
RPRNMLPKKHIGFAG87CC,30,83.55,住家用,鋼筋混凝土造,82年4月29日,五層,,
RPRNMLPKKHIGFAG87CC,30,3.65,共有部份,鋼筋混凝土造,82年4月29日,五層,,
RPSNMLPKKHIGFAG97CC,17,241.86,住宅．停車空間,鋼筋混凝土造,95年5月23日,三層,,
RPPNMLKLKHIGFAG27CC,1,407.51,工場（廠）．樓梯間,鋼筋混凝土造,111年1月21日,二層,,
RPPNMLRKKHIGFAG87CC,,61.44,住家用,鋼筋混凝土加強磚造,,三層,,
RPPNMLLLKHIGFAG37CC,28,89.98,住家用,鋼筋混凝土造,84年6月23日,八層,,
RPPNMLLLKHIGFAG37CC,28,17.76,防空避難室、停車場、穿廊共同使用部份,鋼筋混凝土造,84年6月23日,八層,,
RPPNMLLLKHIGFAG37CC,28,6.81,梯間、通道共同使用部份,鋼筋混凝土造,84年6月23日,八層,,
RPQNMLLLKHIGFAG47CC,28,35.44,住家用,鋼筋混凝土造,84年5月24日,十二層,,
RPQNMLLLKHIGFAG47CC,28,9.01,共同使用部份（防空避難室．停車場．門廳．梯間．通道．守衛室）,鋼筋混凝土造,84年5月24日,十二層,,
RPQNMLLLKHIGFAG47CC,28,.34,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,
RPQNMLLLKHIGFAG47CC,28,.34,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,
RPQNMLLLKHIGFAG47CC,28,7.14,共同使用部份（通道．梯間）,鋼筋混凝土造,84年5月24日,十二層,,
RPPNMLNLKHIGFAG57CC,27,174.57,鄉村住宅．停車場,鋼筋混凝土造,84年9月19日,四層,,
RPQNMLNLKHIGFAG67CC,11,199.11,住家用,鋼筋混凝土造,100年11月8日,三層,,
RPRNMLNLKHIGFAG77CC,28,139.11,住商用,鋼筋混凝土造,84年2月24日,五層,,
RPRNMLNLKHIGFAG77CC,28,16.08,通道、梯間、機房、水箱、共同使用,鋼筋混凝土造,84年2月24日,五層,,
RPRNMLNLKHIGFAG77CC,28,.78,變電室﹙公共設施﹚、共同使用,鋼筋混凝土造,84年2月24日,五層,,
RPSNMLNLKHIGFAG87CC,3,64.00,集合住宅,鋼筋混凝土造,109年2月15日,五層,,
RPSNMLNLKHIGFAG87CC,3,15.40,本共有部分之項目有停車空間等１項。,鋼筋混凝土造,109年2月15日,五層,,
RPSNMLNLKHIGFAG87CC,3,12.96,本共有部分之項目有樓梯間等１項。,鋼筋混凝土造,109年2月15日,五層,,
RPSNMLNLKHIGFAG87CC,3,.17,本共有部分之項目有電信室等１項。,鋼筋混凝土造,109年2月15日,五層,,
RPTNMLNLKHIGFAG97CC,,48.92,集合住宅,鋼筋混凝土造,111年8月17日,五層,,
RPTNMLNLKHIGFAG97CC,,12.56,本共有部分之項目有樓梯間、機械室及儲水槽等３項。,鋼筋混凝土造,111年8月17日,五層,,
RPTNMLNLKHIGFAG97CC,,7.35,本共有部分之項目有停車空間、機電空間等２項。,鋼筋混凝土造,111年8月17日,五層,,
RPQNMLQKKHIGFBG97CC,5,114.27,停車空間、店舖、騎樓、集合住宅、樓梯間,鋼筋混凝土造,107年1月23日,三層,,
RPRNMLQKKHIGFBG08CC,1,59.68,集合住宅,鋼筋混凝土造,110年9月16日,六層,,
RPQNMLQKKHIGFBG97CC,5,31.27,本共有部分項目：防空避難室兼停車空間、蓄水池、緊急發電機室兼消防泵浦室、管委會使用空間、騎樓、停車空間、台電配電室、機房、車道、公共空間、樓梯間、電梯間、水箱、機械室等１４項。,鋼筋混凝土造,107年1月23日,十四層,,
RPRNMLQKKHIGFBG08CC,1,11.99,本共有部分之項目有：室內停車空間等１項,鋼筋混凝土造,110年9月16日,六層,,
RPRNMLRKKHIGFBG18CC,,43.75,集合住宅,鋼筋混凝土造,111年6月17日,五層,,
RPRNMLQKKHIGFBG08CC,1,13.66,本共有部分之項目有升降設備、梯廳、安全梯、梯間等四項,鋼筋混凝土造,110年9月16日,六層,,
RPRNMLRKKHIGFBG18CC,,17.76,本共有部分之項目有：管委會、停車空間、電信機房等３項,鋼筋混凝土造,111年6月17日,五層,,
RPQNMLKLKHIGFBG47CC,48,46.64,住家用,鋼筋混凝土造,64年5月31日,三層,,
RPPNMLKLKHIGFBG37CC,37,86.95,住家用,鋼筋混凝土造,75年2月6日,五層,,
RPQNMLLLKHIGFBG57CC,25,91.68,住家用,鋼筋混凝土造,87年4月16日,七層,,
RPPNMLKLKHIGFBG37CC,37,6.55,樓梯間,鋼筋混凝土造,75年2月6日,五層,,
RPQNMLLLKHIGFBG57CC,25,28.78,停車場﹒防空避難室﹒台電受電室﹒梯間,鋼筋混凝土造,87年4月16日,七層,,
RPUNMLQKKHIGFBG38CC,5,38.10,集合住宅,鋼筋混凝土造,106年8月14日,十五層,,
RPTNMLQKKHIGFBG28CC,26,78.00,住家用,鋼筋混凝土造,86年8月1日,七層,,
RPTNMLQKKHIGFBG28CC,26,17.91,共有部份,鋼筋混凝土造,86年8月1日,七層,,
RPPNMLLLKHIGFBG47CC,29,94.74,住家用,鋼筋混凝土造,83年8月2日,七層,,
RPTNMLQKKHIGFBG28CC,26,15.59,共有部份,鋼筋混凝土造,86年8月1日,七層,,
RPPNMLNLKHIGFBG67CC,30,24.65,共有部份,鋼筋混凝土造,82年7月29日,五層,,
RPPNMLLLKHIGFBG47CC,29,16.93,共有部份,鋼筋混凝土造,83年8月2日,七層,,
RPPNMLNLKHIGFBG67CC,30,84.49,住家用,鋼筋混凝土造,82年7月29日,五層,,
RPRNMLRKKHIGFBG18CC,,10.68,本共有部分之項目有：安全梯、梯廳、電梯等３項,鋼筋混凝土造,111年6月17日,五層,,
RPQNMLNLKHIGFBG77CC,27,256.44,住商用,鋼筋混凝土造,84年11月16日,四層,,
RPTNMLOLKHIGFAG08CC,43,85.41,住家用,ＲＣ造,68年11月30日,五層,,
RPPNMLLJLHIGFAG27CC,29,100.61,住家用,鋼筋混凝土造,83年8月2日,八層,,
RPPNMLLJLHIGFAG27CC,29,27.38,共同使用防空避難室、停車場、梯間、走道及車道,鋼筋混凝土造,83年8月2日,八層,,
RPRNMLOLKHIGFAG87CC,51,80.31,住家用,鋼筋混凝土加強磚造,60年10月20日,三層,,
RPPNMLOLKHIGFAG67CC,35,112.92,住家用,鋼筋混凝土造,76年11月3日,五層,,
RPPNMLOLKHIGFAG67CC,35,10.56,地下室及停車間,鋼筋混凝土造,76年11月3日,五層,,
RPSNMLOLKHIGFAG97CC,,68.26,集合住宅,鋼筋混凝土（ＲＣ）,111年8月23日,六層,,
RPRNMLNLKHIGFBG87CC,,72.00,住家用,鋼筋混凝土加強磚造,,二層,,
RPSNMLOLKHIGFAG97CC,,23.39,本共有部分之項目有：停車空間、管委會空間、樓梯間等３項。,鋼筋混凝土（ＲＣ）,111年8月23日,六層,,
RPPNMLOLKHIGFBG77CC,30,105.09,住家用,鋼筋混凝土造,82年7月5日,六層,,
RPPNMLOLKHIGFBG77CC,30,39.21,共有部份,鋼筋混凝土造,82年7月5日,六層,,
RPQNMLOLKHIGFAG77CC,28,100.94,住家用,鋼筋混凝土造,84年3月15日,五層,,
RPQNMLOLKHIGFAG77CC,28,2.20,屋頂突出物（梯間及水箱）,鋼筋混凝土造,84年3月15日,五層,,
RPSNMLNLKHIGFBG97CC,26,56.43,住家用,鋼筋混凝土造,85年12月20日,七層,,
RPSNMLNLKHIGFBG97CC,27,7.71,共有部份,鋼筋混凝土造,85年2月20日,七層,,
RPSNMLNLKHIGFBG97CC,26,7.22,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPSNMLNLKHIGFBG97CC,26,.73,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLQJLHIGFAG77CC,13,366.15,工廠．消防機械室,鋼鐵（骨）造有牆．鋼筋混凝土造,99年3月15日,一層,,
RPRNMLQJLHIGFBG18DC,5,251.70,停車空間、住宅、樓梯間,鋼筋混凝土造,106年11月14日,四層,,
RPRNMLKKLHIGFAG47CC,35,484.05,住家用,鋼筋混凝土造,76年11月2日,四層,,
RPPNMLRJLHIGFAG87CC,4,49.87,集合住宅,鋼筋混凝土（ＲＣ）,108年7月11日,十三層,,
RPPNMLRJLHIGFAG87CC,4,24.39,共有部份,鋼筋混凝土（ＲＣ）,108年7月11日,十三層,,
RPQNMLRJLHIGFAG97CC,26,93.26,住家用,鋼筋混凝土造,85年11月9日,十三層,,
RPQNMLRJLHIGFAG97CC,26,10.30,防空避難室、停車場、通道．共同使用部份,鋼筋混凝土造,85年11月9日,十三層,,
RPQNMLRJLHIGFAG97CC,26,13.09,梯間．共同使用部份,鋼筋混凝土造,85年11月9日,十三層,,
RPQNMLLJLHIGFBG47CC,1,37.73,集合住宅,鋼筋混凝土造,110年10月25日,八層,,
RPQNMLLJLHIGFBG47CC,1,3.35,本共有部分之項目有：防空避難室兼做停車空間等１項,鋼筋混凝土造,110年10月25日,十層,,
RPQNMLLJLHIGFBG47CC,1,3.01,本共有部分之項目有：管委會等１項,鋼筋混凝土造,110年10月25日,八層,,
RPQNMLLJLHIGFBG47CC,1,12.70,本共有部分之項目有：樓梯間、水箱、機械室等３項,鋼筋混凝土造,110年10月25日,八層,,
RPPNMLNKLHIGFBG67CC,7,284.07,住宅、樓梯間,鋼筋混凝土造,104年10月14日,三層,,
RPPNMLRJLHIGFBG97CC,25,22.30,住家用,鋼筋混凝土造,86年11月24日,六層,,
RPPNMLRJLHIGFBG97CC,25,12.82,共有部份,鋼筋混凝土造,86年11月24日,六層,,
RPPNMLLJLHIGFBG37CC,26,10.50,共有部份,鋼筋混凝土造,86年1月21日,七層,,
RPPNMLLJLHIGFBG37CC,26,27.86,住家用,鋼筋混凝土造,86年1月21日,七層,,
RPQNMLQJLHIGFBG97CC,30,26.28,住家用,鋼筋混凝土造,82年7月8日,七層,,
RPQNMLOKLHIGFBG87CC,42,86.16,住家用,鋼筋混凝土加強磚造,69年9月16日,二層,,
RPQNMLQJLHIGFBG97CC,30,13.00,共有部份,鋼筋混凝土造,82年7月8日,七層,,
RPSNMLOKLHIGFBG08CC,26,96.10,住家用,鋼筋混凝土造,86年3月12日,七層,,
RPSNMLOKLHIGFBG08CC,26,15.15,梯間,鋼筋混凝土造,86年3月12日,七層,,
RPSNMLOKLHIGFBG08CC,26,38.10,停車場、防空避難室,鋼筋混凝土造,86年3月12日,七層,,
RPRNMLOKLHIGFBG97CC,25,33.45,住家用,鋼筋混凝土造,86年11月24日,六層,,
RPRNMLOKLHIGFBG97CC,25,19.21,共有部份,鋼筋混凝土造,86年11月24日,六層,,
RPPNMLOKLHIGFBG77CC,,127.18,住家用,鋼筋混凝土加強磚造,,二層,,
RPPNMLQJLHIGFBG87CC,1,66.06,店鋪,鋼筋混凝土造,111年3月10日,十四層,,
RPPNMLQJLHIGFBG87CC,1,56.01,本共有部分之項目有：停車空間、車道、安全梯、昇降設備、梯廳、消防機房、雨水機房、水箱、防空避難室兼停車空間、台電配電場所、受電箱區、發電機室、電信室、管委會使用空間、戶外安全梯、垃圾處理空間、機械式、屋頂平台等１８項。,鋼筋混凝土造,111年3月10日,十四層,,
RPPNMLOKLHIGFAG67CC,20,69.75,商場．住宅,鋼筋混凝土造,92年1月30日,三層,,
RPRNMLOKLHIGFAG87CC,53,170.38,住家用,鋼筋混凝土加強磚造,59年6月15日,三層,,
RPSNMLOKLHIGFAG97CC,31,156.63,住家用,鋼筋混凝土造,81年7月16日,三層,,
RPUNMLOKLHIGFAG18CC,25,110.27,住家用,鋼筋混凝土造,87年6月2日,四層,,
RPUNMLOKLHIGFAG18CC,25,43.10,防空避難室.停車場.梯間.共同使用部份,鋼筋混凝土造,87年6月2日,四層,,
RPVNMLOKLHIGFAG28CC,12,27.51,店舖、住宅,鋼筋混凝土造,100年2月11日,五層,,
RPPNMLTKLHIGFBG28CC,26,46.25,住家用,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLTKLHIGFBG28CC,27,5.93,共有部份,鋼筋混凝土造,85年2月20日,七層,,
RPPNMLTKLHIGFBG28CC,26,7.25,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLTKLHIGFBG28CC,26,.56,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPRNMLTKLHIGFBG48CC,1,59.12,集合住宅,鋼筋混凝土造,110年11月29日,四層,,
RPRNMLTKLHIGFBG48CC,1,16.86,本共有部分之項目有：樓梯間、停車空間等２項。,鋼筋混凝土造,110年11月29日,四層,,
RPQNMLTKLHIGFBG38CC,25,43.44,住家用,鋼筋混凝土造,86年9月3日,八層,,
RPQNMLTKLHIGFBG38CC,25,23.39,共有部份,鋼筋混凝土造,86年9月3日,八層,,
RPPNMLKLLHIGFBG47CC,28,54.54,住家用,鋼筋混凝土造,84年8月9日,五層,,
RPPNMLLLLHIGFBG57CC,26,65.87,住家用,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLKLLHIGFBG47CC,28,8.32,共有部份,鋼筋混凝土造,84年8月9日,五層,,
RPPNMLLLLHIGFBG57CC,27,8.89,共有部份,鋼筋混凝土造,85年2月20日,七層,,
RPPNMLLLLHIGFBG57CC,26,9.61,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLLLLHIGFBG57CC,26,.88,共有部份,鋼筋混凝土造,85年12月20日,七層,,
RPPNMLMLLHIGFBG67CC,53,110.17,住家用,鋼筋混凝土加強磚造,59年6月30日,三層,,
RPRNMLMLLHIGFBG87CC,38,96.90,住家用,鋼筋混凝土造,74年8月26日,五層,,
RPRNMLMLLHIGFBG87CC,37,7.15,共有部份,鋼筋混凝土造,75年8月26日,,,
RPRNMLMLLHIGFBG87CC,38,8.89,共有部份,鋼筋混凝土造,74年8月26日,五層,,
RPSNMLMLLHIGFBG97CC,29,60.25,住家用,鋼筋混凝土造,82年10月6日,七層,,
RPSNMLMLLHIGFBG97CC,29,22.58,共有部份,鋼筋混凝土造,82年10月6日,七層,,
RPPNMLNLLHIGFBG77CC,28,41.25,住家用,鋼筋混凝土造,84年5月1日,五層,,
RPPNMLNLLHIGFBG77CC,28,4.83,共有部份,鋼筋混凝土造,84年5月1日,五層,,
RPPNMLNLLHIGFBG77CC,28,9.13,共有部份,鋼筋混凝土造,84年5月1日,五層,,
RPQNMLNLLHIGFBG87CC,29,93.33,住家用,鋼筋混凝土造,82年10月5日,六層,,
RPQNMLNLLHIGFBG87CC,29,35.86,共有部份,鋼筋混凝土造,82年10月5日,六層,,
RPRNMLNLLHIGFBG97CC,25,88.88,住家用,鋼筋混凝土造,87年4月2日,七層,,
RPRNMLNLLHIGFBG97CC,25,49.38,共有部份,鋼筋混凝土造,87年4月2日,七層,,
RPSNMLNLLHIGFBG08CC,41,77.23,住家用,鋼筋混凝土造,71年2月27日,五層,,
RPSNMLNLLHIGFBG08CC,41,7.46,共有部份,鋼筋混凝土造,71年2月27日,五層,,
RPSNMLNLLHIGFBG08CC,41,13.26,共有部份,鋼筋混凝土造,71年2月27日,五層,,
RPTNMLNLLHIGFBG18CC,41,116.56,住家用,鋼筋混凝土造,70年11月10日,五層,,
RPTNMLNLLHIGFBG18CC,41,9.95,共有部份,鋼筋混凝土造,70年11月10日,五層,,
RPSNMLTKLHIGFAG48CC,40,142.18,住家用,加強磚造,72年6月24日,二層,,
RPUNMLTKLHIGFAG68CC,40,87.09,住家用,鋼筋混凝土造,72年7月19日,十一層,,
RPUNMLTKLHIGFAG68CC,40,14.56,電梯及走道,鋼筋混凝土造,72年7月19日,十一層,,
RPUNMLTKLHIGFAG68CC,,6.09,電梯．走道及公共設施,鋼筋混凝土造,,十層,,
RPPNMLMLLHIGFAG57CC,31,105.03,住家用,鋼筋混凝土造,80年12月24日,五層,,
RPPNMLTKLHIGFAG18CC,29,50.76,住家用,鋼筋混凝土造,83年6月8日,七層,,
RPPNMLTKLHIGFAG18CC,29,7.59,防空避難室、共同使用部份,鋼筋混凝土造,83年6月8日,七層,,
RPPNMLTKLHIGFAG18CC,29,2.28,屋頂突出物．雨遮．共同使用部份,鋼筋混凝土造,83年6月8日,七層,,
RPPNMLTKLHIGFAG18CC,29,15.39,梯間、共同使用部份,鋼筋混凝土造,83年6月8日,七層,,
RPWNMLOKLHIGFAG38CC,12,46.80,店舖、住宅,鋼筋混凝土造,100年2月11日,五層,,
RPPNMLPKLHIGFAG77CC,30,113.47,住家用,鋼筋混凝土造,82年8月12日,五層,,
