編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLMLLHIGFBH28EA,63,29.90,住商用,加強磚造,50年3月6日,二層,一層 二層 騎樓,持分移轉
RPOOMLTJNHIGFBH38DA,30,6.53,辦公室,鋼筋混凝土造,82年7月22日,十五層,十五層 陽台,持分移轉
RPOOMLTJNHIGFBH38DA,30,1.31,共有部份,鋼筋混凝土造,82年7月22日,十五層,,持分移轉
RPTNMLLJNHIGFCH08DA,28,18.44,自用停車場、水箱,鋼筋混凝土造,83年11月21日,五層,,持分移轉
RPTNMLLJNHIGFCH08DA,28,160.65,住家用,鋼筋混凝土造,83年11月21日,五層,二層 三層 四層 五層 陽台 屋頂突出物 露台 花台 雨遮,全筆移轉
RPRNMLKKNHIGFDH97DA,18,97.30,住家用,鋼筋混凝土造,94年1月15日,十層,十層 陽台 雨遮,全筆移轉
RPRNMLKKNHIGFDH97DA,18,11.60,梯間、水箱、機械室,鋼筋混凝土造,94年1月15日,十層,,持分移轉
RPRNMLKKNHIGFDH97DA,18,52.12,停車空間、蓄水池、設備空間、消防泵浦室、發電機室、防空避難室、台電受電室、電信室、人行道、管理室、門廳、停車位數量共計２２１個,鋼筋混凝土造,94年1月15日,十層,,持分移轉
RPVNMLKKNHIGFCH38EA,45,84.82,住家用,加強磚造,66年12月14日,二層,一層 二層,全筆移轉
RPPNMLKKNHIGFAH57EA,31,26.36,倉庫．商場,鋼筋混凝土造,81年9月7日,十層,地下一層,持分移轉
RPPNMLKKNHIGFAH57EA,31,4.49,共有部份,鋼筋混凝土造,81年9月7日,十層,,持分移轉
RPQNMLKKNHIGFHH38EA,28,100.83,住家用,鋼筋混凝土造,84年10月26日,五層,二層 陽台,全筆移轉
RPQNMLKKNHIGFHH38EA,28,19.35,共有部份,鋼筋混凝土造,84年10月26日,五層,,持分移轉
RPQNMLKKNHIGFHH38EA,28,5.46,共有部份,鋼筋混凝土造,84年10月26日,五層,,持分移轉
RPXNMLLKNHIGFBH48DA,29,88.51,住家用,鋼筋混凝土造,83年2月2日,八層,六層 陽台 花台,全筆移轉
RPXNMLLKNHIGFBH48DA,29,35.63,共有部份,鋼筋混凝土造,83年2月2日,八層,,持分移轉
RPXNMLLKNHIGFBH48DA,29,10.29,共有部份,鋼筋混凝土造,83年2月2日,八層,,持分移轉
RPQNMLMKNHIGFFH38EA,43,81.20,住家用,鋼筋混凝土造,69年9月24日,五層,三層 陽台,全筆移轉
RPQNMLLJNHIGFHH28DA,53,33.98,住家用,鋼筋混凝土造,58年12月16日,一層,一層,全筆移轉
RPPNMLMKNHIGFFH28EA,41,84.00,住家用,鋼筋混凝土造,70年11月20日,四層,四層 陽台,全筆移轉
