編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKKHIGFBH77CB,青平段,24.88,都市：商,1000000,3664,持分移轉,01050000
RPWNMLOKKHIGFDH58CB,二重溪段,29.85,都市：住,100000,618,持分移轉,00660004
RPPNMLOKKHIGFCH87DB,和原段,73.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,176,持分移轉,10440000
RPPNMLNKKHIGFBH57CB,月眉段,26.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1167,持分移轉,19230000
RPVNMLOKKHIGFDH48CB,二重溪段,20.67,都市：住,100000,428,持分移轉,00660004
RPRNMLOKKHIGFGH38CB,西社段,17.53,都市：住,100000,4143,持分移轉,06220000
RPRNMLOKKHIGFGH38CB,西社段,23.49,都市：住,100000,4143,持分移轉,06240000
RPUNMLOKKHIGFDH38CB,二重溪段,20.19,都市：住,100000,418,持分移轉,00660004
RPSNMLOKKHIGFGH48CB,湧豐段,35.01,都市：住,100000,950,持分移轉,06280000
RPQNMLOKKHIGFGH28CB,西社段,17.53,都市：住,100000,4143,持分移轉,06220000
RPQNMLOKKHIGFGH28CB,西社段,23.49,都市：住,100000,4143,持分移轉,06240000
RPUNMLPKKHIGFHH88CB,善捷段,4.76,都市：商,1000000,650,持分移轉,00440000
RPTNMLPKKHIGFHH78CB,善捷段,4.41,都市：商,1000000,603,持分移轉,00440000
RPTNMLQKKHIGFBH28CB,青平段,21.76,都市：商,1000000,3204,持分移轉,01050000
RPSNMLQKKHIGFBH18CB,青平段,24.88,都市：商,1000000,3664,持分移轉,01050000
RPSNMLQKKHIGFEH48CB,福德段,24.07,都市：住,100000,1357,持分移轉,16330000
RPPNMLRKKHIGFHH58CB,善捷段,4.76,都市：商,1000000,650,持分移轉,00440000
RPRNMLRKKHIGFHH78CB,善捷段,4.76,都市：商,1000000,650,持分移轉,00440000
RPPNMLSKKHIGFDH28CB,高洲段,29.12,都市：住,100000,453,持分移轉,12140000
RPRNMLTKKHIGFEH68CB,客運二段,26.31,都市：住,100000,1546,持分移轉,00570000
RPTNMLSKKHIGFEH78CB,青峰段,5.68,都市：住,100000,704,持分移轉,02720000
RPTNMLSKKHIGFEH78CB,青峰段,19.23,都市：住,100000,704,持分移轉,02730001
RPSNMLTKKHIGFEH78CB,青山段,27.39,都市：住,100000,487,持分移轉,03250000
RPTNMLTKKHIGFEH88CB,青山段,28.35,都市：住,100000,504,持分移轉,03250000
RPQNMLKLKHIGFAH37CB,三民段,6.32,都市：住,100000,674,持分移轉,02820000
RPQNMLKLKHIGFAH37CB,三民段,5.75,都市：住,100000,674,持分移轉,02830000
RPQNMLKLKHIGFAH37CB,三民段,6.42,都市：住,100000,674,持分移轉,02840000
RPQNMLKLKHIGFAH37CB,三民段,12.93,都市：住,100000,674,持分移轉,02850000
